學年別,縣市別,二專總計計,二專總計男,二專總計女,二專國立計,二專國立男,二專國立女,二專私立計,二專私立男,二專私立女,二技總計計,二技總計男,二技總計女,二技國立計,二技國立男,二技國立女,二技私立計,二技私立男,二技私立女
101學年,雲林縣,1224,469,755,-,-,-,1224,469,755,617,301,316,289,196,93,328,105,223
101學年,嘉義縣,525,303,222,-,-,-,525,303,222,505,330,175,-,-,-,505,330,175
101學年,屏東縣,928,523,405,-,-,-,928,523,405,856,355,501,-,-,-,856,355,501
101學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,花蓮縣,-,-,-,-,-,-,-,-,-,106,2,104,-,-,-,106,2,104
101學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,基隆市,1035,433,602,-,-,-,1035,433,602,744,217,527,-,-,-,744,217,527
101學年,新竹市,159,100,59,-,-,-,159,100,59,-,-,-,-,-,-,-,-,-
101學年,嘉義市,143,77,66,-,-,-,143,77,66,-,-,-,-,-,-,-,-,-
101學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,20869,11375,9494,3774,1589,2185,17095,9786,7309,15524,8240,7284,5056,2979,2077,10468,5261,5207
100學年,新北市,2389,1340,1049,-,-,-,2389,1340,1049,1287,564,723,-,-,-,1287,564,723
100學年,臺北市,3644,1995,1649,1227,463,764,2417,1532,885,2895,1755,1140,1489,1100,389,1406,655,751
100學年,臺中市,3269,1660,1609,2547,1126,1421,722,534,188,2440,1281,1159,1944,920,1024,496,361,135
100學年,臺南市,1162,775,387,-,-,-,1162,775,387,544,338,206,-,-,-,544,338,206
100學年,高雄市,3426,1959,1467,-,-,-,3426,1959,1467,2959,1800,1159,1194,680,514,1765,1120,645
100學年,宜蘭縣,336,204,132,-,-,-,336,204,132,343,218,125,-,-,-,343,218,125
