學年別,縣市別,總計計,總計國立,總計直轄市立,總計私立,專科學校計,專科學校國立,專科學校直轄市立,專科學校私立,獨立學院計,獨立學院國立,獨立學院直轄市立,獨立學院私立,大學計,大學國立,大學直轄市立,大學私立
105學年,臺中市,8,2,-,6,-,-,-,-,-,-,-,-,8,2,-,6
105學年,臺南市,9,1,-,8,2,1,-,1,-,-,-,-,7,-,-,7
105學年,高雄市,14,4,-,10,3,-,-,3,2,-,-,2,9,4,-,5
105學年,宜蘭縣,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
105學年,新竹縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
105學年,苗栗縣,3,-,-,3,1,-,-,1,1,-,-,1,1,-,-,1
105學年,彰化縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
105學年,南投縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
105學年,雲林縣,3,2,-,1,-,-,-,-,-,-,-,-,3,2,-,1
105學年,嘉義縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
105學年,屏東縣,4,1,-,3,1,-,-,1,-,-,-,-,3,1,-,2
105學年,臺東縣,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
105學年,花蓮縣,3,-,-,3,-,-,-,-,2,-,-,2,1,-,-,1
105學年,澎湖縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
105學年,基隆市,2,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-
105學年,新竹市,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
105學年,嘉義市,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
105學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,87,17,-,70,13,2,-,11,15,1,-,14,59,14,-,45
104學年,新北市,12,-,-,12,1,-,-,1,4,-,-,4,7,-,-,7
104學年,臺北市,10,5,-,5,1,-,-,1,1,1,-,-,8,4,-,4
104學年,桃園市,6,-,-,6,1,-,-,1,1,-,-,1,4,-,-,4
104學年,臺中市,8,2,-,6,-,-,-,-,-,-,-,-,8,2,-,6
104學年,臺南市,9,1,-,8,2,1,-,1,-,-,-,-,7,-,-,7
104學年,高雄市,14,4,-,10,3,-,-,3,2,-,-,2,9,4,-,5
104學年,宜蘭縣,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
104學年,新竹縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
104學年,苗栗縣,3,-,-,3,1,-,-,1,1,-,-,1,1,-,-,1
104學年,彰化縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
104學年,南投縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
104學年,雲林縣,3,2,-,1,-,-,-,-,-,-,-,-,3,2,-,1
104學年,嘉義縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
104學年,屏東縣,4,1,-,3,1,-,-,1,-,-,-,-,3,1,-,2
104學年,臺東縣,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
104學年,花蓮縣,3,-,-,3,-,-,-,-,2,-,-,2,1,-,-,1
104學年,澎湖縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
104學年,基隆市,2,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-
104學年,新竹市,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
104學年,嘉義市,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
104學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,88,17,-,71,14,2,-,12,17,1,-,16,57,14,-,43
103學年,新北市,11,-,-,11,1,-,-,1,4,-,-,4,6,-,-,6
103學年,臺北市,12,5,-,7,2,-,-,2,2,1,-,1,8,4,-,4
103學年,臺中市,8,2,-,6,-,-,-,-,-,-,-,-,8,2,-,6
103學年,臺南市,9,1,-,8,2,1,-,1,-,-,-,-,7,-,-,7
103學年,高雄市,14,4,-,10,3,-,-,3,2,-,-,2,9,4,-,5
103學年,宜蘭縣,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
103學年,桃園縣,6,-,-,6,1,-,-,1,1,-,-,1,4,-,-,4
103學年,新竹縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
103學年,苗栗縣,3,-,-,3,1,-,-,1,1,-,-,1,1,-,-,1
103學年,彰化縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
103學年,南投縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
103學年,雲林縣,3,2,-,1,-,-,-,-,-,-,-,-,3,2,-,1
103學年,嘉義縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
103學年,屏東縣,4,1,-,3,1,-,-,1,-,-,-,-,3,1,-,2
103學年,臺東縣,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
103學年,花蓮縣,3,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-
103學年,澎湖縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
103學年,基隆市,2,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-
103學年,新竹市,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
103學年,嘉義市,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
103學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,91,18,-,73,14,2,-,12,22,3,-,19,55,13,-,42
102學年,新北市,11,-,-,11,1,-,-,1,5,-,-,5,5,-,-,5
102學年,臺北市,12,5,-,7,2,-,-,2,3,2,-,1,7,3,-,4
102學年,臺中市,8,2,-,6,-,-,-,-,-,-,-,-,8,2,-,6
102學年,臺南市,9,1,-,8,2,1,-,1,-,-,-,-,7,-,-,7
102學年,高雄市,14,4,-,10,3,-,-,3,2,-,-,2,9,4,-,5
102學年,宜蘭縣,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
102學年,桃園縣,6,-,-,6,1,-,-,1,1,-,-,1,4,-,-,4
102學年,新竹縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
102學年,苗栗縣,3,-,-,3,1,-,-,1,1,-,-,1,1,-,-,1
102學年,彰化縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
102學年,南投縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
102學年,雲林縣,3,2,-,1,-,-,-,-,-,-,-,-,3,2,-,1
102學年,嘉義縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
102學年,屏東縣,7,2,-,5,1,-,-,1,3,1,-,2,3,1,-,2
102學年,臺東縣,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
102學年,花蓮縣,3,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-
102學年,澎湖縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
102學年,基隆市,2,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-
102學年,新竹市,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
102學年,嘉義市,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
102學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,91,18,-,73,14,2,-,12,24,3,-,21,53,13,-,40
101學年,新北市,11,-,-,11,1,-,-,1,5,-,-,5,5,-,-,5
101學年,臺北市,12,5,-,7,2,-,-,2,3,2,-,1,7,3,-,4
101學年,臺中市,8,2,-,6,-,-,-,-,-,-,-,-,8,2,-,6
101學年,臺南市,9,1,-,8,2,1,-,1,1,-,-,1,6,-,-,6
101學年,高雄市,14,4,-,10,3,-,-,3,3,-,-,3,8,4,-,4
101學年,宜蘭縣,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
101學年,桃園縣,6,-,-,6,1,-,-,1,1,-,-,1,4,-,-,4
101學年,新竹縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
101學年,苗栗縣,3,-,-,3,1,-,-,1,1,-,-,1,1,-,-,1
101學年,彰化縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
101學年,南投縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
101學年,雲林縣,3,2,-,1,-,-,-,-,-,-,-,-,3,2,-,1
101學年,嘉義縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
101學年,屏東縣,7,2,-,5,1,-,-,1,3,1,-,2,3,1,-,2
101學年,臺東縣,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
101學年,花蓮縣,3,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-
101學年,澎湖縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
101學年,基隆市,2,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-
101學年,新竹市,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
101學年,嘉義市,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
101學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,92,19,-,73,15,3,-,12,28,4,-,24,49,12,-,37
100學年,新北市,11,-,-,11,1,-,-,1,6,-,-,6,4,-,-,4
100學年,臺北市,12,5,-,7,2,-,-,2,4,2,-,2,6,3,-,3
100學年,臺中市,9,3,-,6,1,1,-,-,1,1,-,-,7,1,-,6
100學年,臺南市,9,1,-,8,2,1,-,1,1,-,-,1,6,-,-,6
100學年,高雄市,14,4,-,10,3,-,-,3,3,-,-,3,8,4,-,4
100學年,宜蘭縣,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
100學年,桃園縣,6,-,-,6,1,-,-,1,1,-,-,1,4,-,-,4
100學年,新竹縣,2,-,-,2,-,-,-,-,1,-,-,1,1,-,-,1
100學年,苗栗縣,3,-,-,3,1,-,-,1,1,-,-,1,1,-,-,1
100學年,彰化縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
100學年,南投縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
100學年,雲林縣,3,2,-,1,-,-,-,-,-,-,-,-,3,2,-,1
100學年,嘉義縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
100學年,屏東縣,7,2,-,5,1,-,-,1,3,1,-,2,3,1,-,2
100學年,臺東縣,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
100學年,花蓮縣,3,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-
100學年,澎湖縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
100學年,基隆市,2,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-
100學年,新竹市,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
100學年,嘉義市,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
100學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,92,19,-,73,15,3,-,12,31,4,-,27,46,12,-,34
99學年,臺北市,12,5,-,7,2,-,-,2,4,2,-,2,6,3,-,3
99學年,高雄市,5,3,-,2,1,-,-,1,1,-,-,1,3,3,-,-
99學年,臺北縣,11,-,-,11,1,-,-,1,6,-,-,6,4,-,-,4
99學年,宜蘭縣,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
99學年,桃園縣,6,-,-,6,1,-,-,1,2,-,-,2,3,-,-,3
99學年,新竹縣,2,-,-,2,-,-,-,-,1,-,-,1,1,-,-,1
99學年,苗栗縣,3,-,-,3,1,-,-,1,1,-,-,1,1,-,-,1
99學年,臺中縣,4,1,-,3,-,-,-,-,1,-,-,1,3,1,-,2
99學年,彰化縣,2,-,-,2,-,-,-,-,1,-,-,1,1,-,-,1
99學年,南投縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
99學年,雲林縣,3,2,-,1,-,-,-,-,-,-,-,-,3,2,-,1
99學年,嘉義縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
99學年,臺南縣,8,-,-,8,1,-,-,1,1,-,-,1,6,-,-,6
99學年,高雄縣,9,1,-,8,2,-,-,2,2,-,-,2,5,1,-,4
99學年,屏東縣,7,2,-,5,1,-,-,1,3,1,-,2,3,1,-,2
99學年,臺東縣,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
99學年,花蓮縣,3,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-
99學年,澎湖縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
99學年,基隆市,2,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-
99學年,新竹市,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
99學年,臺中市,5,2,-,3,1,1,-,-,1,1,-,-,3,-,-,3
99學年,嘉義市,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
99學年,臺南市,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
99學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,93,20,-,73,15,3,-,12,37,7,-,30,41,10,-,31
98學年,臺北市,12,5,-,7,2,-,-,2,5,3,-,2,5,2,-,3
98學年,高雄市,5,3,-,2,1,-,-,1,2,1,-,1,2,2,-,-
98學年,臺北縣,11,-,-,11,1,-,-,1,6,-,-,6,4,-,-,4
98學年,宜蘭縣,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
98學年,桃園縣,6,-,-,6,1,-,-,1,2,-,-,2,3,-,-,3
98學年,新竹縣,2,-,-,2,-,-,-,-,1,-,-,1,1,-,-,1
98學年,苗栗縣,3,-,-,3,1,-,-,1,1,-,-,1,1,-,-,1
98學年,臺中縣,4,1,-,3,-,-,-,-,1,-,-,1,3,1,-,2
98學年,彰化縣,2,-,-,2,-,-,-,-,1,-,-,1,1,-,-,1
98學年,南投縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
98學年,雲林縣,3,2,-,1,-,-,-,-,1,-,-,1,2,2,-,-
98學年,嘉義縣,1,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-
98學年,臺南縣,8,-,-,8,1,-,-,1,1,-,-,1,6,-,-,6
98學年,高雄縣,9,1,-,8,2,-,-,2,2,-,-,2,5,1,-,4
98學年,屏東縣,7,2,-,5,1,-,-,1,4,1,-,3,2,1,-,1
98學年,臺東縣,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
98學年,花蓮縣,3,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-
98學年,澎湖縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
98學年,基隆市,2,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-
98學年,新竹市,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
98學年,臺中市,5,2,-,3,1,1,-,-,1,1,-,-,3,-,-,3
98學年,嘉義市,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
98學年,臺南市,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
98學年,金門縣,1,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,93,20,-,73,15,3,-,12,40,7,-,33,38,10,-,28
97學年,臺北市,12,5,-,7,2,-,-,2,6,3,-,3,4,2,-,2
97學年,高雄市,5,3,-,2,1,-,-,1,2,1,-,1,2,2,-,-
97學年,臺北縣,11,-,-,11,1,-,-,1,6,-,-,6,4,-,-,4
97學年,宜蘭縣,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
97學年,桃園縣,6,-,-,6,1,-,-,1,2,-,-,2,3,-,-,3
97學年,新竹縣,2,-,-,2,-,-,-,-,1,-,-,1,1,-,-,1
97學年,苗栗縣,3,-,-,3,1,-,-,1,2,-,-,2,-,-,-,-
97學年,臺中縣,4,1,-,3,-,-,-,-,1,-,-,1,3,1,-,2
97學年,彰化縣,2,-,-,2,-,-,-,-,1,-,-,1,1,-,-,1
97學年,南投縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
97學年,雲林縣,3,2,-,1,-,-,-,-,1,-,-,1,2,2,-,-
97學年,嘉義縣,1,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-
97學年,臺南縣,8,-,-,8,1,-,-,1,1,-,-,1,6,-,-,6
97學年,高雄縣,9,1,-,8,2,-,-,2,2,-,-,2,5,1,-,4
97學年,屏東縣,7,2,-,5,1,-,-,1,4,1,-,3,2,1,-,1
97學年,臺東縣,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
97學年,花蓮縣,3,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-
97學年,澎湖縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
97學年,基隆市,2,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-
97學年,新竹市,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
97學年,臺中市,5,2,-,3,1,1,-,-,2,1,-,1,2,-,-,2
97學年,嘉義市,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
97學年,臺南市,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
97學年,金門縣,1,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
