學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
105學年,基隆市,149,84,65,-,-,-,-,-,-,146,83,63,3,1,2,61,28,33,-,-,-,-,-,-,61,28,33,-,-,-
105學年,新竹市,163,46,117,7,1,6,-,-,-,153,45,108,3,-,3,73,28,45,-,-,-,-,-,-,72,28,44,1,-,1
105學年,嘉義市,97,49,48,7,3,4,-,-,-,90,46,44,-,-,-,47,25,22,-,-,-,-,-,-,47,25,22,-,-,-
105學年,金門縣,44,20,24,-,-,-,-,-,-,44,20,24,-,-,-,27,21,6,-,-,-,-,-,-,27,21,6,-,-,-
105學年,連江縣,21,9,12,-,-,-,-,-,-,21,9,12,-,-,-,13,8,5,-,-,-,-,-,-,13,8,5,-,-,-
104學年,總計,10130,5334,4796,61,18,43,5672,2830,2842,4285,2443,1842,112,43,69,3962,1972,1990,-,-,-,2211,1062,1149,1693,875,818,58,35,23
104學年,新北市,982,479,503,-,-,-,965,475,490,-,-,-,17,4,13,353,157,196,-,-,-,353,157,196,-,-,-,-,-,-
104學年,臺北市,849,375,474,13,3,10,799,356,443,-,-,-,37,16,21,360,161,199,-,-,-,351,155,196,-,-,-,9,6,3
104學年,桃園市,788,372,416,-,-,-,781,369,412,-,-,-,7,3,4,342,157,185,-,-,-,336,153,183,-,-,-,6,4,2
104學年,臺中市,1201,589,612,7,4,3,1172,579,593,-,-,-,22,6,16,426,227,199,-,-,-,422,224,198,-,-,-,4,3,1
104學年,臺南市,753,433,320,7,3,4,742,427,315,-,-,-,4,3,1,312,165,147,-,-,-,305,160,145,-,-,-,7,5,2
104學年,高雄市,1213,624,589,-,-,-,1213,624,589,-,-,-,-,-,-,444,213,231,-,-,-,444,213,231,-,-,-,-,-,-
104學年,宜蘭縣,251,154,97,-,-,-,-,-,-,251,154,97,-,-,-,126,73,53,-,-,-,-,-,-,126,73,53,-,-,-
104學年,新竹縣,282,128,154,-,-,-,-,-,-,280,127,153,2,1,1,142,56,86,-,-,-,-,-,-,136,53,83,6,3,3
104學年,苗栗縣,359,193,166,-,-,-,-,-,-,359,193,166,-,-,-,155,74,81,-,-,-,-,-,-,155,74,81,-,-,-
104學年,彰化縣,790,457,333,-,-,-,-,-,-,790,457,333,-,-,-,213,117,96,-,-,-,-,-,-,213,117,96,-,-,-
104學年,南投縣,375,231,144,-,-,-,-,-,-,370,229,141,5,2,3,146,60,86,-,-,-,-,-,-,140,58,82,6,2,4
104學年,雲林縣,436,234,202,-,-,-,-,-,-,430,231,199,6,3,3,169,92,77,-,-,-,-,-,-,156,83,73,13,9,4
104學年,嘉義縣,335,210,125,-,-,-,-,-,-,335,210,125,-,-,-,116,59,57,-,-,-,-,-,-,116,59,57,-,-,-
104學年,屏東縣,445,305,140,7,2,5,-,-,-,438,303,135,-,-,-,181,103,78,-,-,-,-,-,-,175,100,75,6,3,3
