學年別,等級別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立4年級小計,國立4年級男,國立4年級女,國立5年級小計,國立5年級男,國立5年級女,國立延修生小計,國立延修生男,國立延修生女,直轄市立計小計,直轄市立計男,直轄市立計女,直轄市立1年級小計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級小計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級小計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級小計,直轄市立4年級男,直轄市立4年級女,直轄市立5年級小計,直轄市立5年級男,直轄市立5年級女,直轄市立延修生小計,直轄市立延修生男,直轄市立延修生女
101學年,學士班,13696,4945,8751,3104,1179,1925,3731,1505,2226,1996,958,1038,1016,289,727,3849,1014,2835,-,-,-,11381,3829,7552,2462,867,1595,2058,701,1357,1996,958,1038,1016,289,727,3849,1014,2835,-,-,-,2315,1116,1199,642,312,330,1673,804,869,-,-,-,-,-,-,-,-,-,-,-,-
100學年,二專,6333,2365,3968,2214,862,1352,1855,729,1126,1618,546,1072,-,-,-,-,-,-,646,228,418,6333,2365,3968,2214,862,1352,1855,729,1126,1618,546,1072,-,-,-,-,-,-,646,228,418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,二技,4048,1338,2710,-,-,-,-,-,-,1400,508,892,1178,365,813,1454,454,1000,16,11,5,4048,1338,2710,-,-,-,-,-,-,1400,508,892,1178,365,813,1454,454,1000,16,11,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,學士班,14988,5623,9365,3248,1211,2037,4401,2045,2356,1970,941,1029,1047,283,764,4322,1143,3179,-,-,-,12664,4513,8151,2613,928,1685,2712,1218,1494,1970,941,1029,1047,283,764,4322,1143,3179,-,-,-,2324,1110,1214,635,283,352,1689,827,862,-,-,-,-,-,-,-,-,-,-,-,-
99學年,二專,7449,2943,4506,2649,1101,1548,2158,883,1275,1892,651,1241,-,-,-,-,-,-,750,308,442,7449,2943,4506,2649,1101,1548,2158,883,1275,1892,651,1241,-,-,-,-,-,-,750,308,442,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,二技,4659,1326,3333,-,-,-,-,-,-,1453,467,986,1493,436,1057,1693,410,1283,20,13,7,4659,1326,3333,-,-,-,-,-,-,1453,467,986,1493,436,1057,1693,410,1283,20,13,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,學士班,16726,6534,10192,3930,1552,2378,4667,2241,2426,2246,1091,1155,1116,331,785,4767,1319,3448,-,-,-,13853,5158,8695,2910,1112,1798,2814,1305,1509,2246,1091,1155,1116,331,785,4767,1319,3448,-,-,-,2873,1376,1497,1020,440,580,1853,936,917,-,-,-,-,-,-,-,-,-,-,-,-
98學年,二專,8727,3687,5040,3268,1413,1855,2745,1306,1439,2022,711,1311,151,48,103,114,30,84,427,179,248,8727,3687,5040,3268,1413,1855,2745,1306,1439,2022,711,1311,151,48,103,114,30,84,427,179,248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,二技,5296,1442,3854,-,-,-,-,-,-,1851,607,1244,1732,430,1302,1693,394,1299,20,11,9,5296,1442,3854,-,-,-,-,-,-,1851,607,1244,1732,430,1302,1693,394,1299,20,11,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,學士班,16029,5803,10226,3909,1664,2245,4347,2018,2329,1496,430,1066,1081,286,795,5196,1405,3791,-,-,-,13887,4748,9139,3205,1302,1903,2909,1325,1584,1496,430,1066,1081,286,795,5196,1405,3791,-,-,-,2142,1055,1087,704,362,342,1438,693,745,-,-,-,-,-,-,-,-,-,-,-,-
97學年,二專,10389,4947,5442,3824,1770,2054,3703,2149,1554,2015,710,1305,400,127,273,160,54,106,287,137,150,10389,4947,5442,3824,1770,2054,3703,2149,1554,2015,710,1305,400,127,273,160,54,106,287,137,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,二技,5831,1477,4354,-,-,-,-,-,-,2088,551,1537,1742,416,1326,1987,501,1486,14,9,5,5831,1477,4354,-,-,-,-,-,-,2088,551,1537,1742,416,1326,1987,501,1486,14,9,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,學士班,16751,5521,11230,4357,1828,2529,3686,1382,2304,1485,405,1080,1207,330,877,6016,1576,4440,-,-,-,14727,4519,10208,3790,1553,2237,2229,655,1574,1485,405,1080,1207,330,877,6016,1576,4440,-,-,-,2024,1002,1022,567,275,292,1457,727,730,-,-,-,-,-,-,-,-,-,-,-,-
""
