學年別,學校級別,總計計小計,總計計教授,總計計副教授,總計計助理教授,總計計講師,總計計其他,總計國立小計,總計國立教授,總計國立副教授,總計國立助理教授,總計國立講師,總計國立其他,總計直轄市立小計,總計直轄市立教授,總計直轄市立副教授,總計直轄市立助理教授,總計直轄市立講師,總計直轄市立其他,總計私立小計,總計私立教授,總計私立副教授,總計私立助理教授,總計私立講師,總計私立其他,博士計小計,博士計教授,博士計副教授,博士計助理教授,博士計講師,博士計其他,博士國立小計,博士國立教授,博士國立副教授,博士國立助理教授,博士國立講師,博士國立其他,博士直轄市立小計,博士直轄市立教授,博士直轄市立副教授,博士直轄市立助理教授,博士直轄市立講師,博士直轄市立其他,博士私立小計,博士私立教授,博士私立副教授,博士私立助理教授,博士私立講師,博士私立其他,碩士計小計,碩士計教授,碩士計副教授,碩士計助理教授,碩士計講師,碩士計其他,碩士國立小計,碩士國立教授,碩士國立副教授,碩士國立助理教授,碩士國立講師,碩士國立其他,碩士直轄市立小計,碩士直轄市立教授,碩士直轄市立副教授,碩士直轄市立助理教授,碩士直轄市立講師,碩士直轄市立其他,碩士私立小計,碩士私立教授,碩士私立副教授,碩士私立助理教授,碩士私立講師,碩士私立其他,學士計小計,學士計教授,學士計副教授,學士計助理教授,學士計講師,學士計其他,學士國立小計,學士國立教授,學士國立副教授,學士國立助理教授,學士國立講師,學士國立其他,學士直轄市立小計,學士直轄市立教授,學士直轄市立副教授,學士直轄市立助理教授,學士直轄市立講師,學士直轄市立其他,學士私立小計,學士私立教授,學士私立副教授,學士私立助理教授,學士私立講師,學士私立其他,專科計小計,專科計教授,專科計副教授,專科計助理教授,專科計講師,專科計其他,專科國立小計,專科國立教授,專科國立副教授,專科國立助理教授,專科國立講師,專科國立其他,專科直轄市立小計,專科直轄市立教授,專科直轄市立副教授,專科直轄市立助理教授,專科直轄市立講師,專科直轄市立其他,專科私立小計,專科私立教授,專科私立副教授,專科私立助理教授,專科私立講師,專科私立其他,其他計小計,其他計教授,其他計副教授,其他計助理教授,其他計講師,其他計其他,其他國立小計,其他國立教授,其他國立副教授,其他國立助理教授,其他國立講師,其他國立其他,其他直轄市立小計,其他直轄市立教授,其他直轄市立副教授,其他直轄市立助理教授,其他直轄市立講師,其他直轄市立其他,其他私立小計,其他私立教授,其他私立副教授,其他私立助理教授,其他私立講師,其他私立其他
100學年,專科學校,2027,13,31,183,1638,162,180,1,3,20,144,12,-,-,-,-,-,-,1847,12,28,163,1494,150,341,6,16,115,109,95,21,1,1,19,-,-,-,-,-,-,-,-,320,5,15,96,109,95,1340,1,10,29,1298,2,138,-,2,1,135,-,-,-,-,-,-,-,1202,1,8,28,1163,2,277,6,4,29,198,40,13,-,-,-,8,5,-,-,-,-,-,-,264,6,4,29,190,35,50,-,-,8,24,18,6,-,-,-,1,5,-,-,-,-,-,-,44,-,-,8,23,13,19,-,1,2,9,7,2,-,-,-,-,2,-,-,-,-,-,-,17,-,1,2,9,5
100學年,獨立學院,5147,86,256,576,3826,403,1049,34,84,158,771,2,161,9,17,9,47,79,3937,43,155,409,3008,322,741,51,146,479,63,2,205,16,46,132,11,-,15,3,3,5,4,-,521,32,97,342,48,2,3795,18,73,71,3513,120,726,7,23,21,675,-,130,6,10,3,42,69,2939,5,40,47,2796,51,343,13,25,15,161,129,69,8,8,2,51,-,13,-,3,-,1,9,261,5,14,13,109,120,127,2,5,5,34,81,17,1,2,1,12,1,3,-,1,1,-,1,107,1,2,3,22,79,141,2,7,6,55,71,32,2,5,2,22,1,-,-,-,-,-,-,109,-,2,4,33,70
100學年,大學,37041,3287,3588,6746,21398,2022,13314,1983,1863,2870,5700,898,372,51,63,89,155,14,23355,1253,1662,3787,15543,1110,10691,2449,2286,5330,465,161,5302,1515,1208,2268,229,82,156,36,38,76,3,3,5233,898,1040,2986,233,76,22363,509,871,882,19307,794,6163,274,432,389,4692,376,209,15,23,13,150,8,15991,220,416,480,14465,410,3370,294,385,500,1440,751,1584,167,195,189,680,353,7,-,2,-,2,3,1779,127,188,311,758,395,304,13,24,17,86,164,113,7,13,14,46,33,-,-,-,-,-,-,191,6,11,3,40,131,313,22,22,17,100,152,152,20,15,10,53,54,-,-,-,-,-,-,161,2,7,7,47,98
99學年,總計,45147,3675,4043,6951,26679,3799,15854,2284,2009,2991,6996,1574,618,79,99,110,239,91,28675,1312,1935,3850,19444,2134,11899,2670,2640,5599,592,398,6084,1709,1364,2460,292,259,208,55,47,92,6,8,5607,906,1229,3047,294,131,28039,549,913,771,23987,1819,7619,309,410,319,5862,719,381,22,46,17,229,67,20039,218,457,435,17896,1033,4268,418,434,532,1817,1067,1841,240,204,191,731,475,28,2,5,1,4,16,2399,176,225,340,1082,576,514,24,35,28,167,260,175,15,16,11,71,62,1,-,1,-,-,-,338,9,18,17,96,198,427,14,21,21,116,255,135,11,15,10,40,59,-,-,-,-,-,-,292,3,6,11,76,196
99學年,專科學校,1923,13,28,155,1428,299,237,2,5,19,172,39,-,-,-,-,-,-,1686,11,23,136,1256,260,181,5,15,109,41,11,25,2,3,18,2,-,-,-,-,-,-,-,156,3,12,91,39,11,1473,1,8,14,1284,166,189,-,2,1,163,23,-,-,-,-,-,-,1284,1,6,13,1121,143,216,7,5,27,94,83,20,-,-,-,7,13,-,-,-,-,-,-,196,7,5,27,87,70,32,-,-,4,7,21,1,-,-,-,-,1,-,-,-,-,-,-,31,-,-,4,7,20,21,-,-,1,2,18,2,-,-,-,-,2,-,-,-,-,-,-,19,-,-,1,2,16
99學年,獨立學院,5752,107,269,586,4209,581,1432,44,104,195,1075,14,151,10,13,9,45,74,4169,53,152,382,3089,493,793,58,161,471,77,26,241,18,58,146,17,2,26,7,5,7,3,4,526,33,98,318,57,20,4310,29,72,85,3881,243,1043,17,29,38,959,-,103,1,4,1,40,57,3164,11,39,46,2882,186,399,16,29,24,182,148,112,7,12,10,74,9,21,2,3,1,2,13,266,7,14,13,106,126,130,4,5,3,39,79,23,2,3,-,16,2,1,-,1,-,-,-,106,2,1,3,23,77,120,-,2,3,30,85,13,-,2,1,9,1,-,-,-,-,-,-,107,-,-,2,21,84
99學年,大學,37472,3555,3746,6210,21042,2919,14185,2238,1900,2777,5749,1521,467,69,86,101,194,17,22820,1248,1760,3332,15099,1381,10925,2607,2464,5019,474,361,5818,1689,1303,2296,273,257,182,48,42,85,3,4,4925,870,1119,2638,198,100,22256,519,833,672,18822,1410,6387,292,379,280,4740,696,278,21,42,16,189,10,15591,206,412,376,13893,704,3653,395,400,481,1541,836,1709,233,192,181,650,453,7,-,2,-,2,3,1937,162,206,300,889,380,352,20,30,21,121,160,151,13,13,11,55,59,-,-,-,-,-,-,201,7,17,10,66,101,286,14,19,17,84,152,120,11,13,9,31,56,-,-,-,-,-,-,166,3,6,8,53,96
98學年,總計,44787,3930,4438,6509,27418,2492,15527,2381,2188,2831,7186,941,606,81,84,119,232,90,28654,1468,2166,3559,20000,1461,11662,2885,2849,5225,455,248,5864,1797,1446,2295,153,173,202,58,47,96,1,-,5596,1030,1356,2834,301,75,28155,595,1008,715,24864,973,7523,335,455,295,6045,393,352,20,34,20,216,62,20280,240,519,400,18603,518,4033,414,511,535,1813,760,1808,230,250,228,861,239,52,3,3,3,15,28,2173,181,258,304,937,493,510,15,36,18,158,283,153,5,13,6,57,72,-,-,-,-,-,-,357,10,23,12,101,211,427,21,34,16,128,228,179,14,24,7,70,64,-,-,-,-,-,-,248,7,10,9,58,164
98學年,專科學校,1739,14,29,138,1384,174,211,1,6,17,167,20,-,-,-,-,-,-,1528,13,23,121,1217,154,160,8,19,97,29,7,22,1,3,13,5,-,-,-,-,-,-,-,138,7,16,84,24,7,1343,1,5,19,1250,68,159,-,3,4,151,1,-,-,-,-,-,-,1184,1,2,15,1099,67,185,5,5,21,97,57,22,-,-,-,11,11,-,-,-,-,-,-,163,5,5,21,86,46,34,-,-,1,7,26,3,-,-,-,-,3,-,-,-,-,-,-,31,-,-,1,7,23,17,-,-,-,1,16,5,-,-,-,-,5,-,-,-,-,-,-,12,-,-,-,1,11
98學年,獨立學院,6485,132,305,531,4913,604,1487,54,123,182,1085,43,163,9,15,9,40,90,4835,69,167,340,3788,471,738,74,164,403,79,18,247,24,65,126,27,5,5,3,2,-,-,-,486,47,97,277,52,13,4984,40,101,88,4488,267,1047,24,47,37,909,30,113,4,11,7,29,62,3824,12,43,44,3550,175,472,16,33,30,224,169,122,5,8,14,90,5,45,2,2,2,11,28,305,9,23,14,123,136,164,2,5,7,76,74,47,1,2,5,37,2,-,-,-,-,-,-,117,1,3,2,39,72,127,-,2,3,46,76,24,-,1,-,22,1,-,-,-,-,-,-,103,-,1,3,24,75
98學年,大學,36563,3784,4104,5840,21121,1714,13829,2326,2059,2632,5934,878,443,72,69,110,192,-,22291,1386,1976,3098,14995,836,10764,2803,2666,4725,347,223,5595,1772,1378,2156,121,168,197,55,45,96,1,-,4972,976,1243,2473,225,55,21828,554,902,608,19126,638,6317,311,405,254,4985,362,239,16,23,13,187,-,15272,227,474,341,13954,276,3376,393,473,484,1492,534,1664,225,242,214,760,223,7,1,1,1,4,-,1705,167,230,269,728,311,312,13,31,10,75,183,103,4,11,1,20,67,-,-,-,-,-,-,209,9,20,9,55,116,283,21,32,13,81,136,150,14,23,7,48,58,-,-,-,-,-,-,133,7,9,6,33,78
97學年,總計,45621,4030,4652,6060,28773,2106,14944,2389,2121,2512,7069,853,596,83,90,105,230,88,30081,1558,2441,3443,21474,1165,11446,2984,3004,4886,370,202,5560,1805,1391,2045,147,172,225,67,57,100,1,-,5661,1112,1556,2741,222,30,29140,582,1043,626,26146,743,7234,326,425,244,5920,319,321,14,27,5,224,51,21585,242,591,377,20002,373,4077,422,536,516,1940,663,1772,231,266,210,856,209,39,2,5,-,5,27,2266,189,265,306,1079,427,548,16,41,14,206,271,219,13,22,5,98,81,4,-,1,-,-,3,325,3,18,9,108,187,410,26,28,18,111,227,159,14,17,8,48,72,7,-,-,-,-,7,244,12,11,10,63,148
97學年,專科學校,1449,12,26,117,1140,154,171,3,7,16,100,45,-,-,-,-,-,-,1278,9,19,101,1040,109,167,7,17,77,59,7,24,2,4,13,2,3,-,-,-,-,-,-,143,5,13,64,57,4,1085,2,4,12,986,81,126,1,3,2,94,26,-,-,-,-,-,-,959,1,1,10,892,55,159,3,5,27,87,37,16,-,-,1,4,11,-,-,-,-,-,-,143,3,5,26,83,26,29,-,-,1,8,20,4,-,-,-,-,4,-,-,-,-,-,-,25,-,-,1,8,16,9,-,-,-,-,9,1,-,-,-,-,1,-,-,-,-,-,-,8,-,-,-,-,8
97學年,獨立學院,7269,151,344,551,5775,448,1301,45,115,130,987,24,139,10,17,9,36,67,5829,96,212,412,4752,357,794,95,181,455,58,5,193,24,59,94,14,2,23,7,6,9,1,-,578,64,116,352,43,3,5769,30,110,63,5421,145,961,11,39,21,877,13,86,2,7,-,30,47,4722,17,64,42,4514,85,433,23,41,22,202,145,77,8,12,8,44,5,27,1,3,-,5,18,329,14,26,14,153,122,149,2,8,5,52,82,36,1,2,4,26,3,3,-,1,-,-,2,110,1,5,1,26,77,124,1,4,6,42,71,34,1,3,3,26,1,-,-,-,-,-,-,90,-,1,3,16,70
97學年,大學,36903,3867,4282,5392,21858,1504,13472,2341,1999,2366,5982,784,457,73,73,96,194,21,22974,1453,2210,2930,15682,699,10485,2882,2806,4354,253,190,5343,1779,1328,1938,131,167,202,60,51,91,-,-,4940,1043,1427,2325,122,23,22286,550,929,551,19739,517,6147,314,383,221,4949,280,235,12,20,5,194,4,15904,224,526,325,14596,233,3485,396,490,467,1651,481,1679,223,254,201,808,193,12,1,2,-,-,9,1794,172,234,266,843,279,370,14,33,8,146,169,179,12,20,1,72,74,1,-,-,-,-,1,190,2,13,7,74,94,277,25,24,12,69,147,124,13,14,5,22,70,7,-,-,-,-,7,146,12,10,7,47,70
""
