學年別,學門別,總計計,總計男,總計女,副學士(五專)計,副學士(五專)男,副學士(五專)女,副學士(二專)計,副學士(二專)男,副學士(二專)女,學士後學士學位計,學士後學士學位男,學士後學士學位女,二年制學士(含二技)計,二年制學士(含二技)男,二年制學士(含二技)女,四年制學士(含四技)計,四年制學士(含四技)男,四年制學士(含四技)女,碩士計,碩士男,碩士女,博士計,博士男,博士女
97學年,人文學門,24778,6100,18678,1693,202,1491,292,110,182,-,-,-,2241,448,1793,17555,4431,13124,2757,810,1947,240,99,141
97學年,設計學門,7520,2835,4685,149,50,99,319,147,172,-,-,-,1037,433,604,5182,1791,3391,819,402,417,14,12,2
97學年,社會及行為科學學門,11356,4967,6389,-,-,-,-,-,-,-,-,-,103,30,73,7217,2953,4264,3864,1873,1991,172,111,61
97學年,傳播學門,5881,2139,3742,-,-,-,83,52,31,-,-,-,285,115,170,4872,1715,3157,631,255,376,10,2,8
97學年,商業及管理學門,65548,24122,41426,1761,346,1415,2819,1185,1634,-,-,-,10317,3369,6948,39292,13193,26099,10972,5811,5161,387,218,169
97學年,法律學門,4133,1991,2142,40,12,28,-,-,-,-,-,-,87,55,32,3146,1428,1718,839,477,362,21,19,2
97學年,生命科學學門,5482,2975,2507,-,-,-,-,-,-,-,-,-,258,67,191,3468,1952,1516,1571,839,732,185,117,68
97學年,自然科學學門,5446,3927,1519,-,-,-,-,-,-,-,-,-,1,1,-,3283,2377,906,1878,1313,565,284,236,48
97學年,數學及統計學門,3735,2285,1450,-,-,-,-,-,-,-,-,-,-,-,-,2820,1723,1097,862,519,343,53,43,10
97學年,電算機學門,19493,12222,7271,952,498,454,1649,1006,643,-,-,-,3736,2492,1244,10944,6611,4333,2150,1571,579,62,44,18
97學年,工程學門,77323,67909,9414,1763,1614,149,3565,3200,365,-,-,-,9817,8814,1003,42863,37471,5392,17880,15502,2378,1435,1308,127
97學年,建築及都市規劃學門,3088,1674,1414,53,44,9,51,28,23,-,-,-,179,109,70,1966,984,982,814,493,321,25,16,9
97學年,農業科學學門,5871,2814,3057,28,14,14,170,102,68,-,-,-,366,162,204,3983,1860,2123,1220,601,619,104,75,29
97學年,獸醫學門,429,195,234,-,-,-,-,-,-,-,-,-,-,-,-,282,121,161,130,63,67,17,11,6
97學年,醫藥衛生學門,27713,6478,21235,6259,562,5697,1234,343,891,-,-,-,7206,597,6609,10305,3920,6385,2402,881,1521,307,175,132
97學年,社會服務學門,9696,659,9037,62,-,62,1420,26,1394,-,-,-,2381,78,2303,5441,489,4952,383,63,320,9,3,6
97學年,民生學門,19663,6755,12908,233,52,181,2941,1183,1758,-,-,-,2874,993,1881,12322,3940,8382,1288,583,705,5,4,1
97學年,運輸服務學門,2628,1307,1321,44,32,12,173,94,79,-,-,-,295,125,170,1677,781,896,420,260,160,19,15,4
97學年,環境保護學門,811,548,263,-,-,-,12,12,-,-,-,-,92,72,20,484,306,178,222,157,65,1,1,-
97學年,軍警國防安全學門,140,124,16,-,-,-,-,-,-,-,-,-,47,41,6,93,83,10,-,-,-,-,-,-
97學年,其他學門,31,10,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,10,21,-,-,-
96學年,總計,323540,161169,162371,14914,4387,10527,20901,10600,10301,-,-,-,51340,24310,27030,178858,86009,92849,54387,33569,20818,3140,2294,846
96學年,教育學門,11184,3913,7271,-,-,-,-,-,-,-,-,-,244,93,151,5632,1833,3799,5098,1872,3226,210,115,95
96學年,藝術學門,5250,1400,3850,47,22,25,261,107,154,-,-,-,496,93,403,3132,801,2331,1306,373,933,8,4,4
96學年,人文學門,25379,6082,19297,1908,251,1657,579,194,385,-,-,-,2790,607,2183,17415,4197,13218,2488,739,1749,199,94,105
96學年,設計學門,7105,2683,4422,147,39,108,406,190,216,-,-,-,1188,497,691,4692,1590,3102,658,354,304,14,13,1
96學年,社會及行為科學學門,10814,4747,6067,-,-,-,-,-,-,-,-,-,132,35,97,6806,2715,4091,3711,1881,1830,165,116,49
96學年,傳播學門,5963,2130,3833,-,-,-,158,93,65,-,-,-,401,150,251,4792,1637,3155,603,248,355,9,2,7
96學年,商業及管理學門,68308,24317,43991,2452,483,1969,4191,1595,2596,-,-,-,12991,4025,8966,38118,12427,25691,10208,5585,4623,348,202,146
96學年,法律學門,3898,1873,2025,27,11,16,-,-,-,-,-,-,114,70,44,3001,1358,1643,734,418,316,22,16,6
96學年,生命科學學門,5057,2746,2311,-,-,-,-,-,-,-,-,-,217,62,155,3211,1788,1423,1470,801,669,159,95,64
96學年,自然科學學門,5354,3847,1507,-,-,-,-,-,-,-,-,-,15,12,3,3283,2358,925,1802,1271,531,254,206,48
96學年,數學及統計學門,3768,2375,1393,-,-,-,-,-,-,-,-,-,-,-,-,2866,1791,1075,846,537,309,56,47,9
96學年,電算機學門,21925,13532,8393,1283,708,575,2823,1728,1095,-,-,-,5067,3383,1684,10794,6259,4535,1906,1419,487,52,35,17
96學年,工程學門,81699,72108,9591,2326,2130,196,5051,4690,361,-,-,-,14474,13105,1369,41316,35907,5409,17290,15157,2133,1242,1119,123
96學年,建築及都市規劃學門,3166,1773,1393,111,85,26,64,30,34,-,-,-,250,170,80,1898,970,928,819,503,316,24,15,9
96學年,農業科學學門,5865,2783,3082,70,40,30,165,83,82,-,-,-,511,233,278,3944,1843,2101,1098,535,563,77,49,28
96學年,獸醫學門,346,151,195,1,-,1,-,-,-,-,-,-,-,-,-,221,92,129,112,52,60,12,7,5
96學年,醫藥衛生學門,27577,6400,21177,6168,507,5661,1643,461,1182,-,-,-,7143,674,6469,10130,3753,6377,2227,858,1369,266,147,119
96學年,社會服務學門,9984,540,9444,64,-,64,2152,18,2134,-,-,-,2305,39,2266,5158,436,4722,299,46,253,6,1,5
96學年,民生學門,17535,5899,11636,242,67,175,3221,1308,1913,-,-,-,2697,891,1806,10291,3120,7171,1082,512,570,2,1,1
96學年,運輸服務學門,2409,1182,1227,42,27,15,166,82,84,-,-,-,199,85,114,1593,713,880,394,265,129,15,10,5
96學年,環境保護學門,814,572,242,26,17,9,21,21,-,-,-,-,76,56,20,488,349,139,203,129,74,-,-,-
96學年,軍警國防安全學門,107,102,5,-,-,-,-,-,-,-,-,-,30,30,-,77,72,5,-,-,-,-,-,-
96學年,其他學門,33,14,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,14,19,-,-,-
""
