學年別,縣市別,總計計,總計男,總計女,國立計,國立男,國立女,直轄市立計,直轄市立男,直轄市立女,縣市立計,縣市立男,縣市立女,私立計,私立男,私立女
102學年,苗栗縣,2,-,2,-,-,-,-,-,-,2,-,2,-,-,-
102學年,彰化縣,125,42,83,-,-,-,-,-,-,125,42,83,-,-,-
102學年,南投縣,25,1,24,-,-,-,-,-,-,25,1,24,-,-,-
102學年,雲林縣,49,6,43,-,-,-,-,-,-,49,6,43,-,-,-
102學年,嘉義縣,10,-,10,-,-,-,-,-,-,10,-,10,-,-,-
102學年,屏東縣,80,10,70,-,-,-,-,-,-,80,10,70,-,-,-
102學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,花蓮縣,45,22,23,-,-,-,-,-,-,24,1,23,21,21,-
102學年,澎湖縣,31,1,30,-,-,-,-,-,-,31,1,30,-,-,-
102學年,基隆市,40,4,36,-,-,-,-,-,-,40,4,36,-,-,-
102學年,新竹市,8,-,8,-,-,-,-,-,-,8,-,8,-,-,-
102學年,嘉義市,19,5,14,-,-,-,-,-,-,19,5,14,-,-,-
102學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,2010,488,1522,-,-,-,1170,196,974,746,198,548,94,94,-
101學年,新北市,444,59,385,-,-,-,444,59,385,-,-,-,-,-,-
101學年,臺北市,115,11,104,-,-,-,115,11,104,-,-,-,-,-,-
101學年,臺中市,259,57,202,-,-,-,259,57,202,-,-,-,-,-,-
101學年,臺南市,116,53,63,-,-,-,84,21,63,-,-,-,32,32,-
101學年,高雄市,268,48,220,-,-,-,268,48,220,-,-,-,-,-,-
101學年,宜蘭縣,51,9,42,-,-,-,-,-,-,51,9,42,-,-,-
101學年,桃園縣,219,107,112,-,-,-,-,-,-,186,74,112,33,33,-
101學年,新竹縣,15,1,14,-,-,-,-,-,-,15,1,14,-,-,-
101學年,苗栗縣,4,1,3,-,-,-,-,-,-,4,1,3,-,-,-
101學年,彰化縣,165,64,101,-,-,-,-,-,-,165,64,101,-,-,-
101學年,南投縣,28,4,24,-,-,-,-,-,-,28,4,24,-,-,-
101學年,雲林縣,48,6,42,-,-,-,-,-,-,48,6,42,-,-,-
101學年,嘉義縣,35,7,28,-,-,-,-,-,-,35,7,28,-,-,-
101學年,屏東縣,83,5,78,-,-,-,-,-,-,83,5,78,-,-,-
101學年,臺東縣,8,1,7,-,-,-,-,-,-,8,1,7,-,-,-
101學年,花蓮縣,51,34,17,-,-,-,-,-,-,22,5,17,29,29,-
101學年,澎湖縣,10,2,8,-,-,-,-,-,-,10,2,8,-,-,-
101學年,基隆市,59,12,47,-,-,-,-,-,-,59,12,47,-,-,-
101學年,新竹市,7,2,5,-,-,-,-,-,-,7,2,5,-,-,-
101學年,嘉義市,25,5,20,-,-,-,-,-,-,25,5,20,-,-,-
101學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,2208,555,1653,-,-,-,1348,232,1116,783,246,537,77,77,-
100學年,新北市,559,95,464,-,-,-,559,95,464,-,-,-,-,-,-
100學年,臺北市,120,17,103,-,-,-,120,17,103,-,-,-,-,-,-
100學年,臺中市,332,66,266,-,-,-,332,66,266,-,-,-,-,-,-
100學年,臺南市,121,52,69,-,-,-,90,21,69,-,-,-,31,31,-
100學年,高雄市,247,33,214,-,-,-,247,33,214,-,-,-,-,-,-
100學年,宜蘭縣,75,18,57,-,-,-,-,-,-,75,18,57,-,-,-
100學年,桃園縣,217,105,112,-,-,-,-,-,-,193,81,112,24,24,-
100學年,新竹縣,19,5,14,-,-,-,-,-,-,19,5,14,-,-,-
100學年,苗栗縣,5,-,5,-,-,-,-,-,-,5,-,5,-,-,-
100學年,彰化縣,158,74,84,-,-,-,-,-,-,158,74,84,-,-,-
100學年,南投縣,40,9,31,-,-,-,-,-,-,40,9,31,-,-,-
100學年,雲林縣,57,13,44,-,-,-,-,-,-,57,13,44,-,-,-
100學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,屏東縣,87,18,69,-,-,-,-,-,-,87,18,69,-,-,-
100學年,臺東縣,7,4,3,-,-,-,-,-,-,7,4,3,-,-,-
100學年,花蓮縣,48,28,20,-,-,-,-,-,-,26,6,20,22,22,-
100學年,澎湖縣,20,-,20,-,-,-,-,-,-,20,-,20,-,-,-
100學年,基隆市,54,8,46,-,-,-,-,-,-,54,8,46,-,-,-
100學年,新竹市,15,2,13,-,-,-,-,-,-,15,2,13,-,-,-
100學年,嘉義市,27,8,19,-,-,-,-,-,-,27,8,19,-,-,-
100學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,2223,495,1728,-,-,-,1325,230,1095,833,200,633,65,65,-
99學年,新北市,507,75,432,-,-,-,507,75,432,-,-,-,-,-,-
99學年,臺北市,150,26,124,-,-,-,150,26,124,-,-,-,-,-,-
99學年,臺中市,272,56,216,-,-,-,272,56,216,-,-,-,-,-,-
99學年,臺南市,112,30,82,-,-,-,97,15,82,-,-,-,15,15,-
99學年,高雄市,299,58,241,-,-,-,299,58,241,-,-,-,-,-,-
99學年,宜蘭縣,123,24,99,-,-,-,-,-,-,123,24,99,-,-,-
99學年,桃園縣,273,98,175,-,-,-,-,-,-,244,69,175,29,29,-
99學年,新竹縣,16,1,15,-,-,-,-,-,-,16,1,15,-,-,-
99學年,苗栗縣,14,5,9,-,-,-,-,-,-,14,5,9,-,-,-
99學年,彰化縣,123,40,83,-,-,-,-,-,-,123,40,83,-,-,-
99學年,南投縣,32,7,25,-,-,-,-,-,-,32,7,25,-,-,-
99學年,雲林縣,57,15,42,-,-,-,-,-,-,57,15,42,-,-,-
99學年,嘉義縣,11,1,10,-,-,-,-,-,-,11,1,10,-,-,-
99學年,屏東縣,80,11,69,-,-,-,-,-,-,80,11,69,-,-,-
99學年,臺東縣,10,1,9,-,-,-,-,-,-,10,1,9,-,-,-
99學年,花蓮縣,49,25,24,-,-,-,-,-,-,28,4,24,21,21,-
99學年,澎湖縣,19,4,15,-,-,-,-,-,-,19,4,15,-,-,-
99學年,基隆市,41,7,34,-,-,-,-,-,-,41,7,34,-,-,-
99學年,新竹市,9,2,7,-,-,-,-,-,-,9,2,7,-,-,-
99學年,嘉義市,26,9,17,-,-,-,-,-,-,26,9,17,-,-,-
99學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,2375,563,1812,14,1,13,273,49,224,2047,472,1575,41,41,-
98學年,臺北市,148,28,120,-,-,-,148,28,120,-,-,-,-,-,-
98學年,高雄市,139,22,117,14,1,13,125,21,104,-,-,-,-,-,-
98學年,臺北縣,523,84,439,-,-,-,-,-,-,523,84,439,-,-,-
98學年,宜蘭縣,61,18,43,-,-,-,-,-,-,61,18,43,-,-,-
98學年,桃園縣,263,99,164,-,-,-,-,-,-,244,80,164,19,19,-
98學年,新竹縣,18,2,16,-,-,-,-,-,-,18,2,16,-,-,-
98學年,苗栗縣,10,1,9,-,-,-,-,-,-,10,1,9,-,-,-
98學年,臺中縣,118,21,97,-,-,-,-,-,-,118,21,97,-,-,-
98學年,彰化縣,168,58,110,-,-,-,-,-,-,168,58,110,-,-,-
98學年,南投縣,60,14,46,-,-,-,-,-,-,60,14,46,-,-,-
98學年,雲林縣,72,8,64,-,-,-,-,-,-,72,8,64,-,-,-
98學年,嘉義縣,47,7,40,-,-,-,-,-,-,47,7,40,-,-,-
98學年,臺南縣,52,19,33,-,-,-,-,-,-,52,19,33,-,-,-
98學年,高雄縣,171,40,131,-,-,-,-,-,-,171,40,131,-,-,-
98學年,屏東縣,120,23,97,-,-,-,-,-,-,120,23,97,-,-,-
98學年,臺東縣,7,2,5,-,-,-,-,-,-,7,2,5,-,-,-
98學年,花蓮縣,44,26,18,-,-,-,-,-,-,22,4,18,22,22,-
98學年,澎湖縣,9,-,9,-,-,-,-,-,-,9,-,9,-,-,-
98學年,基隆市,46,17,29,-,-,-,-,-,-,46,17,29,-,-,-
98學年,新竹市,15,6,9,-,-,-,-,-,-,15,6,9,-,-,-
98學年,臺中市,201,44,157,-,-,-,-,-,-,201,44,157,-,-,-
98學年,嘉義市,25,7,18,-,-,-,-,-,-,25,7,18,-,-,-
98學年,臺南市,58,17,41,-,-,-,-,-,-,58,17,41,-,-,-
98學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,2332,573,1759,19,1,18,305,58,247,1982,488,1494,26,26,-
97學年,臺北市,148,27,121,-,-,-,148,27,121,-,-,-,-,-,-
