學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女,助教計小計,助教計男,助教計女,助教國立小計,助教國立男,助教國立女,助教直轄市立小計,助教直轄市立男,助教直轄市立女,助教私立小計,助教私立男,助教私立女
102學年,總計,50024,32528,17496,19453,13567,5886,345,182,163,30226,18779,11447,11259,9051,2208,7232,5789,1443,90,52,38,3937,3210,727,15099,10369,4730,6117,4186,1931,112,59,53,8870,6124,2746,13578,8366,5212,4137,2633,1504,98,47,51,9343,5686,3657,6771,3096,3675,945,471,474,20,10,10,5806,2615,3191,2985,1568,1417,747,421,326,24,14,10,2214,1133,1081,332,78,254,275,67,208,1,-,1,56,11,45
102學年,專科學校,1741,558,1183,122,61,61,-,-,-,1619,497,1122,28,23,5,11,9,2,-,-,-,17,14,3,90,58,32,24,15,9,-,-,-,66,43,23,321,162,159,38,16,22,-,-,-,283,146,137,988,240,748,40,15,25,-,-,-,948,225,723,314,75,239,9,6,3,-,-,-,305,69,236,-,-,-,-,-,-,-,-,-,-,-,-
102學年,獨立學院,3310,2042,1268,379,209,170,-,-,-,2931,1833,1098,159,139,20,38,27,11,-,-,-,121,112,9,914,636,278,159,92,67,-,-,-,755,544,211,884,572,312,69,39,30,-,-,-,815,533,282,1075,523,552,80,32,48,-,-,-,995,491,504,272,171,101,28,18,10,-,-,-,244,153,91,6,1,5,5,1,4,-,-,-,1,-,1
102學年,大學,44973,29928,15045,18952,13297,5655,345,182,163,25676,16449,9227,11072,8889,2183,7183,5753,1430,90,52,38,3799,3084,715,14095,9675,4420,5934,4079,1855,112,59,53,8049,5537,2512,12373,7632,4741,4030,2578,1452,98,47,51,8245,5007,3238,4708,2333,2375,825,424,401,20,10,10,3863,1899,1964,2399,1322,1077,710,397,313,24,14,10,1665,911,754,326,77,249,270,66,204,1,-,1,55,11,44
101學年,總計,50158,32757,17401,19397,13557,5840,336,177,159,30425,19023,11402,10907,8846,2061,6999,5634,1365,85,49,36,3823,3163,660,14910,10301,4609,6066,4164,1902,115,60,55,8729,6077,2652,13960,8812,5148,4359,2842,1517,96,47,49,9505,5923,3582,7621,3519,4102,1160,575,585,21,11,10,6440,2933,3507,2404,1196,1208,528,271,257,18,10,8,1858,915,943,356,83,273,285,71,214,1,-,1,70,12,58
101學年,專科學校,1738,544,1194,147,58,89,-,-,-,1591,486,1105,22,20,2,9,8,1,-,-,-,13,12,1,79,49,30,23,13,10,-,-,-,56,36,20,299,161,138,33,15,18,-,-,-,266,146,120,1013,252,761,42,15,27,-,-,-,971,237,734,325,62,263,40,7,33,-,-,-,285,55,230,-,-,-,-,-,-,-,-,-,-,-,-
101學年,獨立學院,3976,2442,1534,381,208,173,117,73,44,3478,2161,1317,206,177,29,37,27,10,27,20,7,142,130,12,1053,734,319,147,85,62,36,18,18,870,631,239,1078,690,388,76,45,31,38,23,15,964,622,342,1366,670,696,88,34,54,9,6,3,1269,630,639,266,170,96,27,16,11,7,6,1,232,148,84,7,1,6,6,1,5,-,-,-,1,-,1
101學年,大學,44444,29771,14673,18869,13291,5578,219,104,115,25356,16376,8980,10679,8649,2030,6953,5599,1354,58,29,29,3668,3021,647,13778,9518,4260,5896,4066,1830,79,42,37,7803,5410,2393,12583,7961,4622,4250,2782,1468,58,24,34,8275,5155,3120,5242,2597,2645,1030,526,504,12,5,7,4200,2066,2134,1813,964,849,461,248,213,11,4,7,1341,712,629,349,82,267,279,70,209,1,-,1,69,12,57
100學年,總計,50332,33080,17252,19283,13498,5785,337,181,156,30712,19401,11311,10586,8647,1939,6701,5426,1275,83,46,37,3802,3175,627,14656,10248,4408,5958,4110,1848,113,58,55,8585,6080,2505,14091,9028,5063,4507,2982,1525,93,49,44,9491,5997,3494,8347,3936,4411,1243,607,636,26,14,12,7078,3315,3763,2249,1123,1126,553,292,261,21,14,7,1675,817,858,403,98,305,321,81,240,1,-,1,81,17,64
100學年,專科學校,1691,532,1159,204,68,136,-,-,-,1487,464,1023,27,21,6,13,9,4,-,-,-,14,12,2,84,52,32,34,19,15,-,-,-,50,33,17,286,152,134,42,15,27,-,-,-,244,137,107,990,246,744,54,16,38,-,-,-,936,230,706,304,61,243,61,9,52,-,-,-,243,52,191,-,-,-,-,-,-,-,-,-,-,-,-
