學年別,學門別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
100學年,設計學門,15054,6050,9004,-,-,-,-,-,-,19,2,17,62,18,44,12894,4930,7964,1863,955,908,216,145,71
100學年,社會及行為科學學門,48914,21179,27735,-,-,-,-,-,-,-,-,-,19,9,10,33685,14004,19681,13418,6060,7358,1792,1106,686
100學年,傳播學門,21338,7803,13535,-,-,-,-,-,-,19,6,13,194,77,117,18144,6579,11565,2882,1094,1788,99,47,52
100學年,商業及管理學門,108847,48569,60278,-,-,-,-,-,-,28,17,11,870,316,554,83311,35463,47848,22268,11353,10915,2370,1420,950
100學年,法律學門,18901,9345,9556,-,-,-,-,-,-,-,-,-,189,118,71,13171,6129,7042,5271,2897,2374,270,201,69
100學年,生命科學學門,18112,10213,7899,-,-,-,-,-,-,-,-,-,-,-,-,11663,6543,5120,4257,2255,2002,2192,1415,777
100學年,自然科學學門,22942,17181,5761,-,-,-,-,-,-,-,-,-,-,-,-,15667,11816,3851,5179,3681,1498,2096,1684,412
100學年,數學及統計學門,15683,10550,5133,-,-,-,-,-,-,-,-,-,-,-,-,13071,8824,4247,2285,1464,821,327,262,65
100學年,電算機學門,21840,13961,7879,-,-,-,-,-,-,-,-,-,60,43,17,17189,10692,6497,4162,2921,1241,429,305,124
100學年,工程學門,131188,110331,20857,-,-,-,1,1,-,70,67,3,1,1,-,87042,72821,14221,33552,28166,5386,10522,9275,1247
100學年,建築及都市規劃學門,10144,5240,4904,-,-,-,-,-,-,-,-,-,12,7,5,7598,3810,3788,2299,1262,1037,235,161,74
100學年,農業科學學門,15414,7698,7716,-,-,-,-,-,-,-,-,-,-,-,-,11873,5889,5984,2789,1346,1443,752,463,289
100學年,獸醫學門,1362,719,643,-,-,-,-,-,-,-,-,-,-,-,-,937,492,445,280,133,147,145,94,51
100學年,醫藥衛生學門,45382,19961,25421,-,-,-,-,-,-,37,21,16,1400,59,1341,34516,15798,18718,5973,2169,3804,3456,1914,1542
100學年,社會服務學門,8965,2162,6803,-,-,-,-,-,-,-,-,-,233,36,197,7207,1827,5380,1432,277,1155,93,22,71
100學年,民生學門,34131,15436,18695,-,-,-,-,-,-,-,-,-,418,212,206,30302,13508,16794,3332,1666,1666,79,50,29
100學年,運輸服務學門,5850,3298,2552,-,-,-,-,-,-,-,-,-,-,-,-,4919,2711,2208,824,510,314,107,77,30
100學年,環境保護學門,1073,535,538,-,-,-,-,-,-,-,-,-,-,-,-,609,299,310,436,218,218,28,18,10
100學年,其他學門,958,468,490,-,-,-,-,-,-,-,-,-,-,-,-,920,459,461,38,9,29,-,-,-
99學年,總計,688111,357434,330677,243,83,160,-,-,-,204,121,83,4975,1210,3765,502705,253441,249264,148693,80560,68133,31291,22019,9272
99學年,教育學門,40091,14577,25514,-,-,-,-,-,-,-,-,-,1,-,1,20739,7790,12949,16855,5548,11307,2496,1239,1257
99學年,藝術學門,21948,6162,15786,243,83,160,-,-,-,-,-,-,206,44,162,14791,4014,10777,6376,1876,4500,332,145,187
99學年,人文學門,76097,22479,53618,-,-,-,-,-,-,2,1,1,405,93,312,60921,17286,43635,12408,4004,8404,2361,1095,1266
99學年,設計學門,14005,5553,8452,-,-,-,-,-,-,21,3,18,69,18,51,11881,4458,7423,1834,935,899,200,139,61
99學年,社會及行為科學學門,49465,21604,27861,-,-,-,-,-,-,-,-,-,19,5,14,33655,14059,19596,13954,6416,7538,1837,1124,713
99學年,傳播學門,21321,7855,13466,-,-,-,-,-,-,26,9,17,238,92,146,18080,6617,11463,2879,1093,1786,98,44,54
99學年,商業及管理學門,110061,48863,61198,-,-,-,-,-,-,66,40,26,1104,378,726,84674,35823,48851,21839,11192,10647,2378,1430,948
99學年,法律學門,18919,9378,9541,-,-,-,-,-,-,-,-,-,224,142,82,13213,6108,7105,5222,2941,2281,260,187,73
99學年,生命科學學門,18300,10386,7914,-,-,-,-,-,-,-,-,-,-,-,-,11718,6590,5128,4313,2300,2013,2269,1496,773
99學年,自然科學學門,22601,16963,5638,-,-,-,-,-,-,-,-,-,-,-,-,15484,11732,3752,5002,3540,1462,2115,1691,424
99學年,數學及統計學門,15792,10608,5184,-,-,-,-,-,-,-,-,-,-,-,-,13196,8873,4323,2242,1451,791,354,284,70
99學年,電算機學門,22264,14505,7759,-,-,-,-,-,-,-,-,-,70,53,17,17727,11279,6448,4009,2837,1172,458,336,122
99學年,工程學門,133887,113299,20588,-,-,-,-,-,-,60,55,5,1,1,-,88734,74649,14085,33880,28630,5250,11212,9964,1248
99學年,建築及都市規劃學門,10053,5258,4795,-,-,-,-,-,-,-,-,-,9,4,5,7502,3797,3705,2296,1292,1004,246,165,81
99學年,農業科學學門,15838,7912,7926,-,-,-,-,-,-,-,-,-,1,1,-,12160,6040,6120,2862,1357,1505,815,514,301
99學年,獸醫學門,1372,718,654,-,-,-,-,-,-,-,-,-,-,-,-,931,491,440,283,121,162,158,106,52
99學年,醫藥衛生學門,45614,19897,25717,-,-,-,-,-,-,18,7,11,1846,112,1734,34236,15697,18539,6138,2200,3938,3376,1881,1495
99學年,社會服務學門,9113,2224,6889,-,-,-,-,-,-,-,-,-,290,42,248,7237,1844,5393,1489,308,1181,97,30,67
99學年,民生學門,32840,14619,18221,-,-,-,-,-,-,11,6,5,491,224,267,28968,12718,16250,3292,1626,1666,78,45,33
99學年,運輸服務學門,6038,3356,2682,-,-,-,-,-,-,-,-,-,-,-,-,4991,2701,2290,920,565,355,127,90,37
99學年,環境保護學門,1181,622,559,-,-,-,-,-,-,-,-,-,1,1,-,592,287,305,564,320,244,24,14,10
99學年,其他學門,1311,596,715,-,-,-,-,-,-,-,-,-,-,-,-,1275,588,687,36,8,28,-,-,-
98學年,總計,685586,357199,328387,233,70,163,-,-,-,-,-,-,6234,1480,4754,499520,252162,247358,148634,81551,67083,30965,21936,9029
98學年,教育學門,40921,14994,25927,-,-,-,-,-,-,-,-,-,5,3,2,21186,7923,13263,17295,5867,11428,2435,1201,1234
98學年,藝術學門,21836,6190,15646,233,70,163,-,-,-,-,-,-,248,44,204,14467,3938,10529,6568,1993,4575,320,145,175
98學年,人文學門,76888,22430,54458,-,-,-,-,-,-,-,-,-,634,128,506,60997,17106,43891,12913,4120,8793,2344,1076,1268
98學年,設計學門,13301,5354,7947,-,-,-,-,-,-,-,-,-,119,40,79,11131,4235,6896,1883,959,924,168,120,48
