學年別,學門別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
103學年,藝術學門,23718,6945,16773,249,96,153,-,-,-,21,10,11,181,39,142,16627,4825,11802,6266,1812,4454,374,163,211
103學年,人文學門,75184,23807,51377,-,-,-,-,-,-,-,-,-,85,27,58,62409,19114,43295,10378,3546,6832,2312,1120,1192
103學年,設計學門,17927,7041,10886,-,-,-,-,-,-,-,-,-,82,18,64,15476,5841,9635,2100,1024,1076,269,158,111
103學年,社會及行為科學學門,47933,20744,27189,-,-,-,-,-,-,-,-,-,11,1,10,33820,14082,19738,12412,5612,6800,1690,1049,641
103學年,傳播學門,21450,7528,13922,-,-,-,-,-,-,-,-,-,87,20,67,18464,6428,12036,2791,1036,1755,108,44,64
103學年,商業及管理學門,109588,48584,61004,-,-,-,-,-,-,8,7,1,418,210,208,84872,35813,49059,21945,11140,10805,2345,1414,931
103學年,法律學門,18762,9066,9696,-,-,-,-,-,-,-,-,-,208,126,82,12759,5740,7019,5481,2972,2509,314,228,86
103學年,生命科學學門,17010,9573,7437,-,-,-,-,-,-,-,-,-,-,-,-,11464,6320,5144,3680,2027,1653,1866,1226,640
103學年,自然科學學門,21924,16244,5680,-,-,-,-,-,-,-,-,-,-,-,-,15156,11263,3893,4955,3540,1415,1813,1441,372
103學年,數學及統計學門,14787,9989,4798,-,-,-,-,-,-,-,-,-,-,-,-,12540,8410,4130,2017,1387,630,230,192,38
103學年,電算機學門,21013,13234,7779,-,-,-,-,-,-,-,-,-,2,1,1,17085,10573,6512,3591,2421,1170,335,239,96
103學年,工程學門,125216,103986,21230,-,-,-,-,-,-,85,81,4,-,-,-,85577,70659,14918,31367,26077,5290,8187,7169,1018
103學年,建築及都市規劃學門,10048,5233,4815,-,-,-,-,-,-,-,-,-,1,-,1,7977,4099,3878,1872,1002,870,198,132,66
103學年,農業科學學門,14859,7348,7511,-,-,-,-,-,-,-,-,-,-,-,-,11511,5518,5993,2705,1417,1288,643,413,230
103學年,獸醫學門,1260,669,591,-,-,-,-,-,-,-,-,-,-,-,-,917,480,437,237,123,114,106,66,40
103學年,醫藥衛生學門,46064,20449,25615,-,-,-,-,-,-,50,29,21,914,124,790,36019,16332,19687,5628,2034,3594,3453,1930,1523
103學年,社會服務學門,9245,2254,6991,-,-,-,-,-,-,-,-,-,130,23,107,7591,1899,5692,1423,297,1126,101,35,66
103學年,民生學門,40310,18389,21921,-,-,-,-,-,-,-,-,-,145,99,46,36415,16544,19871,3623,1662,1961,127,84,43
103學年,運輸服務學門,5881,3235,2646,-,-,-,-,-,-,48,42,6,-,-,-,4990,2700,2290,754,425,329,89,68,21
103學年,環境保護學門,944,491,453,-,-,-,-,-,-,-,-,-,-,-,-,657,347,310,245,120,125,42,24,18
103學年,其他學門,902,411,491,-,-,-,-,-,-,-,-,-,-,-,-,864,403,461,38,8,30,-,-,-
102學年,總計,677761,349274,328487,241,81,160,-,-,-,240,177,63,2981,915,2066,505588,252307,253281,140465,76424,64041,28246,19370,8876
102學年,教育學門,36728,12840,23888,-,-,-,-,-,-,-,-,-,-,-,-,20117,7099,13018,14051,4479,9572,2560,1262,1298
102學年,藝術學門,23083,6697,16386,241,81,160,-,-,-,17,9,8,194,39,155,16067,4590,11477,6187,1812,4375,377,166,211
102學年,人文學門,74667,23368,51299,-,-,-,-,-,-,-,-,-,152,40,112,61296,18465,42831,10879,3734,7145,2340,1129,1211
102學年,設計學門,17032,6771,10261,-,-,-,-,-,-,-,-,-,101,26,75,14645,5550,9095,2019,1032,987,267,163,104
102學年,社會及行為科學學門,48094,20754,27340,-,-,-,-,-,-,-,-,-,21,4,17,33644,13952,19692,12736,5742,6994,1693,1056,637
