學年別,取得證書科別,高級中等學校總計,高級中等學校國立,高級中等學校直轄市立,高級中等學校縣市立,高級中等學校私立,高級中學總計,高級中學國立,高級中學直轄市立,高級中學縣市立,高級中學私立,職業學校總計,職業學校國立,職業學校直轄市立,職業學校縣市立,職業學校私立
97學年,法律與生活,-,-,-,-,-,7,-,2,-,5,16,11,-,-,5
97學年,環境科學概論,-,-,-,-,-,3,-,-,-,3,-,-,-,-,-
97學年,家政群,-,-,-,-,-,294,40,1,4,249,444,140,18,-,286
97學年,餐旅群,-,-,-,-,-,303,20,1,3,279,486,82,9,-,395
97學年,海事群,-,-,-,-,-,3,3,-,-,-,53,52,-,-,1
97學年,水產群,-,-,-,-,-,6,6,-,-,-,54,52,-,-,2
97學年,農業群,-,-,-,-,-,15,14,-,-,1,241,232,8,-,1
97學年,食品群,-,-,-,-,-,26,23,-,1,2,180,162,8,-,10
97學年,商業與管理群,-,-,-,-,-,950,135,1,16,798,1592,789,136,25,642
97學年,外語群,-,-,-,-,-,37,-,-,-,37,35,5,1,-,29
97學年,設計群,-,-,-,-,-,172,41,-,-,131,303,99,55,34,115
97學年,機械群,-,-,-,-,-,181,65,-,-,116,951,709,145,-,97
97學年,化工群,-,-,-,-,-,9,8,-,-,1,167,138,24,1,4
97學年,土木與建築群,-,-,-,-,-,21,17,-,-,4,313,242,55,-,16
97學年,電機與電子群,-,-,-,-,-,675,74,-,1,600,1574,892,284,-,398
97學年,動力機械群,-,-,-,-,-,117,4,-,-,113,505,232,56,-,217
97學年,藝術群,-,-,-,-,-,63,7,2,2,52,115,65,-,-,50
97學年,輔導,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,其他,-,-,-,-,-,1390,274,302,597,217,866,627,142,5,92
""
