學年別,學科類別,總計計,總計1年級,總計2年級,總計3年級,總計4年級,國立計,國立1年級,國立2年級,國立3年級,國立4年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,直轄市立4年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,縣市立4年級,私立計,私立1年級,私立2年級,私立3年級,私立4年級
99學年,總計,8738,2984,2897,2831,26,2891,971,966,954,-,677,219,218,219,21,58,20,20,18,-,5112,1774,1693,1640,5
99學年,農業,260,85,88,87,-,251,82,85,84,-,9,3,3,3,-,-,-,-,-,-,-,-,-,-,-
99學年,工業,3571,1192,1175,1191,13,1527,514,509,504,-,441,144,143,144,10,30,10,10,10,-,1573,524,513,533,3
99學年,商業,3874,1348,1289,1224,13,865,293,289,283,-,203,64,64,64,11,28,10,10,8,-,2778,981,926,869,2
99學年,家事,771,267,259,245,-,130,43,43,44,-,24,8,8,8,-,-,-,-,-,-,617,216,208,193,-
99學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,海事,102,34,35,33,-,97,32,33,32,-,-,-,-,-,-,-,-,-,-,-,5,2,2,1,-
99學年,劇藝,160,58,51,51,-,21,7,7,7,-,-,-,-,-,-,-,-,-,-,-,139,51,44,44,-
98學年,總計,8512,2919,2845,2721,27,2860,966,955,939,-,676,218,219,218,21,55,20,18,17,-,4921,1715,1653,1547,6
98學年,農業,262,88,87,87,-,253,85,84,84,-,9,3,3,3,-,-,-,-,-,-,-,-,-,-,-
98學年,工業,3556,1178,1198,1166,14,1510,509,505,496,-,440,143,144,143,10,29,10,10,9,-,1577,516,539,518,4
98學年,商業,3681,1300,1229,1139,13,849,289,283,277,-,203,64,64,64,11,26,10,8,8,-,2603,937,874,790,2
98學年,家事,765,266,247,252,-,131,43,44,44,-,24,8,8,8,-,-,-,-,-,-,610,215,195,200,-
98學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,海事,100,35,33,32,-,97,33,32,32,-,-,-,-,-,-,-,-,-,-,-,3,2,1,-,-
98學年,劇藝,148,52,51,45,-,20,7,7,6,-,-,-,-,-,-,-,-,-,-,-,128,45,44,39,-
97學年,總計,8342,2873,2738,2698,33,2832,955,939,938,-,676,219,218,217,22,52,18,17,17,-,4782,1681,1564,1526,11
97學年,農業,262,87,87,88,-,253,84,84,85,-,9,3,3,3,-,-,-,-,-,-,-,-,-,-,-
97學年,工業,3558,1202,1168,1172,16,1487,504,495,488,-,440,144,143,142,11,28,10,9,9,-,1603,544,521,533,5
97學年,商業,3503,1244,1147,1096,16,840,283,277,280,-,203,64,64,64,11,24,8,8,8,-,2436,889,798,744,5
97學年,家事,775,253,258,263,1,136,45,45,46,-,24,8,8,8,-,-,-,-,-,-,615,200,205,209,1
97學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,海事,98,33,32,33,-,97,32,32,33,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
97學年,劇藝,146,54,46,46,-,19,7,6,6,-,-,-,-,-,-,-,-,-,-,-,127,47,40,40,-
""
