學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,五專計小計,五專計男,五專計女,五專國立小計,五專國立男,五專國立女,五專直轄市立小計,五專直轄市立男,五專直轄市立女,五專私立小計,五專私立男,五專私立女,二專計小計,二專計男,二專計女,二專國立小計,二專國立男,二專國立女,二專直轄市立小計,二專直轄市立男,二專直轄市立女,二專私立小計,二專私立男,二專私立女,學士班計小計,學士班計男,學士班計女,學士班國立小計,學士班國立男,學士班國立女,學士班直轄市立小計,學士班直轄市立男,學士班直轄市立女,學士班私立小計,學士班私立男,學士班私立女,碩士班計小計,碩士班計男,碩士班計女,碩士班國立小計,碩士班國立男,碩士班國立女,碩士班直轄市立小計,碩士班直轄市立男,碩士班直轄市立女,碩士班私立小計,碩士班私立男,碩士班私立女,博士班計小計,博士班計男,博士班計女,博士班國立小計,博士班國立男,博士班國立女,博士班直轄市立小計,博士班直轄市立男,博士班直轄市立女,博士班私立小計,博士班私立男,博士班私立女
103學年,專科學校,54874,10133,44741,3159,805,2354,-,-,-,51715,9328,42387,51444,8630,42814,2371,409,1962,-,-,-,49073,8221,40852,3430,1503,1927,788,396,392,-,-,-,2642,1107,1535,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,獨立學院,73599,36398,37201,528,187,341,-,-,-,73071,36211,36860,12756,5624,7132,-,-,-,-,-,-,12756,5624,7132,2577,1508,1069,-,-,-,-,-,-,2577,1508,1069,57501,28877,28624,528,187,341,-,-,-,56973,28690,28283,754,384,370,-,-,-,-,-,-,754,384,370,11,5,6,-,-,-,-,-,-,11,5,6
103學年,大學,1211376,619597,591779,423542,232656,190886,7426,3096,4330,780408,383845,396563,25284,7202,18082,6767,1805,4962,-,-,-,18517,5397,13120,3779,1835,1944,1288,432,856,-,-,-,2491,1403,1088,979561,493213,486348,278355,148988,129367,4971,2275,2696,696235,341950,354285,172214,96310,75904,112986,64552,48434,2219,717,1502,57009,31041,25968,30538,21037,9501,24146,16879,7267,236,104,132,6156,4054,2102
102學年,總計,1345973,673876,672097,428300,234924,193376,7127,2986,4141,910546,435966,474580,90398,21900,68498,9039,2121,6918,-,-,-,81359,19779,61580,11261,5528,5733,2387,936,1451,-,-,-,8874,4592,4282,1035534,524160,511374,276483,147997,128486,4834,2201,2633,754217,373962,380255,177305,100398,76907,115252,66116,49136,2075,692,1383,59978,33590,26388,31475,21890,9585,25139,17754,7385,218,93,125,6118,4043,2075
102學年,專科學校,54177,9903,44274,3057,744,2313,-,-,-,51120,9159,41961,50733,8474,42259,2280,366,1914,-,-,-,48453,8108,40345,3444,1429,2015,777,378,399,-,-,-,2667,1051,1616,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,獨立學院,95346,47202,48144,11427,3546,7881,-,-,-,83919,43656,40263,15510,6780,8730,2021,464,1557,-,-,-,13489,6316,7173,4099,2217,1882,592,243,349,-,-,-,3507,1974,1533,74677,37607,37070,8381,2623,5758,-,-,-,66296,34984,31312,1060,598,462,433,216,217,-,-,-,627,382,245,-,-,-,-,-,-,-,-,-,-,-,-
102學年,大學,1196450,616771,579679,413816,230634,183182,7127,2986,4141,775507,383151,392356,24155,6646,17509,4738,1291,3447,-,-,-,19417,5355,14062,3718,1882,1836,1018,315,703,-,-,-,2700,1567,1133,960857,486553,474304,268102,145374,122728,4834,2201,2633,687921,338978,348943,176245,99800,76445,114819,65900,48919,2075,692,1383,59351,33208,26143,31475,21890,9585,25139,17754,7385,218,93,125,6118,4043,2075
101學年,總計,1355290,683446,671844,429913,236441,193472,7113,2987,4126,918264,444018,474246,89060,21701,67359,8851,2042,6809,-,-,-,80209,19659,60550,12364,6088,6276,1926,720,1206,-,-,-,10438,5368,5070,1038041,528515,509526,275594,147604,127990,4754,2154,2600,757693,378757,378936,183094,104219,78875,117146,67298,49848,2131,727,1404,63817,36194,27623,32731,22923,9808,26396,18777,7619,228,106,122,6107,4040,2067
101學年,專科學校,52081,9417,42664,2951,698,2253,-,-,-,49130,8719,40411,47992,7840,40152,2127,291,1836,-,-,-,45865,7549,38316,4089,1577,2512,824,407,417,-,-,-,3265,1170,2095,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,獨立學院,112841,55325,57516,11158,3384,7774,2313,1389,924,99370,50552,48818,17337,7379,9958,2038,457,1581,-,-,-,15299,6922,8377,4541,2506,2035,419,134,285,-,-,-,4122,2372,1750,89363,44543,44820,8243,2543,5700,1866,1142,724,79254,40858,38396,1577,877,700,458,250,208,424,227,197,695,400,295,23,20,3,-,-,-,23,20,3,-,-,-
