學年別,縣市別,總計計,總計男,總計女,普通科計,普通科男,普通科女,專業群(職業)科計,專業群(職業)科男,專業群(職業)科女
101學年,臺東縣,136,61,75,-,-,-,136,61,75
101學年,花蓮縣,373,194,179,29,29,-,344,165,179
101學年,澎湖縣,-,-,-,-,-,-,-,-,-
101學年,基隆市,415,207,208,-,-,-,415,207,208
101學年,新竹市,812,462,350,19,10,9,793,452,341
101學年,嘉義市,258,166,92,75,62,13,183,104,79
101學年,金門縣,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-
100學年,總計,25581,14294,11287,1293,674,619,24288,13620,10668
100學年,新北市,3657,2007,1650,333,96,237,3324,1911,1413
100學年,臺北市,3114,1658,1456,297,192,105,2817,1466,1351
100學年,臺中市,4531,2524,2007,28,17,11,4503,2507,1996
100學年,臺南市,1296,777,519,108,68,40,1188,709,479
100學年,高雄市,1948,1130,818,103,32,71,1845,1098,747
100學年,宜蘭縣,479,268,211,-,-,-,479,268,211
100學年,桃園縣,3955,2264,1691,210,135,75,3745,2129,1616
100學年,新竹縣,620,398,222,38,16,22,582,382,200
100學年,苗栗縣,508,257,251,-,-,-,508,257,251
100學年,彰化縣,1842,975,867,-,-,-,1842,975,867
100學年,南投縣,487,265,222,27,16,11,460,249,211
100學年,雲林縣,321,190,131,22,10,12,299,180,119
100學年,嘉義縣,125,87,38,-,-,-,125,87,38
100學年,屏東縣,568,341,227,-,-,-,568,341,227
100學年,臺東縣,96,57,39,-,-,-,96,57,39
100學年,花蓮縣,395,205,190,29,29,-,366,176,190
100學年,澎湖縣,-,-,-,-,-,-,-,-,-
100學年,基隆市,532,261,271,-,-,-,532,261,271
100學年,新竹市,858,444,414,51,20,31,807,424,383
100學年,嘉義市,249,186,63,47,43,4,202,143,59
100學年,金門縣,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-
99學年,總計,28050,15646,12404,1449,724,725,26601,14922,11679
99學年,新北市,4004,2163,1841,325,89,236,3679,2074,1605
99學年,臺北市,3275,1695,1580,308,202,106,2967,1493,1474
99學年,臺中市,4792,2775,2017,27,14,13,4765,2761,2004
99學年,臺南市,1463,792,671,149,87,62,1314,705,609
99學年,高雄市,2311,1322,989,116,30,86,2195,1292,903
99學年,宜蘭縣,516,280,236,-,-,-,516,280,236
