學年別,縣市別,校數總計,校數公立,校數私立,教師數總計,教師數公立,教師數私立,職員數總計,職員數公立,職員數私立,班級數總計,班級數公立,班級數私立,學生數總計,學生數公立,學生數私立,上學年畢業生數總計,上學年畢業生數公立,上學年畢業生數私立
103學年,苗栗縣,19,11,8,1530,1091,439,345,220,125,586,328,258,19570,11730,7840,6674,3666,3008
103學年,彰化縣,24,19,5,2971,2388,583,599,436,163,1189,863,326,45033,30829,14204,15268,9906,5362
103學年,南投縣,15,10,5,1285,1029,256,308,221,87,500,389,111,16479,12531,3948,5506,4225,1281
103學年,雲林縣,21,11,10,1697,1065,632,385,220,165,611,357,254,22108,12455,9653,7617,4154,3463
103學年,嘉義縣,10,5,5,765,406,359,174,80,94,302,117,185,10808,3755,7053,3601,1255,2346
103學年,屏東縣,19,13,6,1748,1421,327,353,264,89,679,467,212,23126,15687,7439,7618,4932,2686
103學年,臺東縣,9,7,2,569,490,79,151,118,33,232,182,50,6752,5106,1646,2008,1580,428
103學年,花蓮縣,13,9,4,997,667,330,257,169,88,392,264,128,12470,7506,4964,4103,2409,1694
103學年,澎湖縣,2,2,-,218,218,-,58,58,-,95,95,-,2864,2864,-,800,800,-
103學年,基隆市,12,8,4,1156,833,323,230,158,72,411,263,148,13668,8572,5096,5026,3018,2008
103學年,新竹市,12,8,4,1473,987,486,277,176,101,538,303,235,21084,11450,9634,6859,3675,3184
103學年,嘉義市,14,6,8,1270,799,471,272,155,117,548,344,204,20307,11973,8334,6929,3919,3010
103學年,金門縣,2,2,-,155,155,-,52,52,-,71,71,-,2051,2051,-,662,662,-
103學年,連江縣,1,1,-,33,33,-,16,16,-,12,12,-,335,335,-,108,108,-
""
