學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
105學年,澎湖縣,111,46,65,-,-,-,-,-,-,111,46,65,-,-,-,62,35,27,-,-,-,-,-,-,62,35,27,-,-,-
105學年,基隆市,268,109,159,-,-,-,-,-,-,266,108,158,2,1,1,137,42,95,-,-,-,-,-,-,137,42,95,-,-,-
105學年,新竹市,336,91,245,18,3,15,-,-,-,311,87,224,7,1,6,161,61,100,-,-,-,-,-,-,157,59,98,4,2,2
105學年,嘉義市,249,98,151,17,3,14,-,-,-,232,95,137,-,-,-,107,50,57,-,-,-,-,-,-,107,50,57,-,-,-
105學年,金門縣,77,33,44,-,-,-,-,-,-,77,33,44,-,-,-,45,26,19,-,-,-,-,-,-,45,26,19,-,-,-
105學年,連江縣,16,9,7,-,-,-,-,-,-,16,9,7,-,-,-,13,9,4,-,-,-,-,-,-,13,9,4,-,-,-
104學年,總計,16646,6726,9920,136,37,99,10159,3915,6244,6200,2719,3481,151,55,96,7976,3163,4813,-,-,-,4727,1767,2960,3158,1342,1816,91,54,37
104學年,新北市,1945,727,1218,-,-,-,1924,718,1206,-,-,-,21,9,12,831,288,543,-,-,-,831,288,543,-,-,-,-,-,-
104學年,臺北市,1670,573,1097,22,6,16,1578,539,1039,-,-,-,70,28,42,805,271,534,-,-,-,795,267,528,-,-,-,10,4,6
104學年,桃園市,1544,610,934,-,-,-,1539,610,929,-,-,-,5,-,5,764,289,475,-,-,-,758,286,472,-,-,-,6,3,3
104學年,臺中市,2108,862,1246,17,6,11,2065,849,1216,-,-,-,26,7,19,941,398,543,-,-,-,938,396,542,-,-,-,3,2,1
104學年,臺南市,1141,483,658,17,3,14,1117,476,641,-,-,-,7,4,3,584,220,364,-,-,-,573,213,360,-,-,-,11,7,4
104學年,高雄市,1936,723,1213,-,-,-,1936,723,1213,-,-,-,-,-,-,832,317,515,-,-,-,832,317,515,-,-,-,-,-,-
104學年,宜蘭縣,420,192,228,-,-,-,-,-,-,420,192,228,-,-,-,274,112,162,-,-,-,-,-,-,274,112,162,-,-,-
104學年,新竹縣,482,159,323,-,-,-,-,-,-,482,159,323,-,-,-,253,81,172,-,-,-,-,-,-,244,72,172,9,9,-
104學年,苗栗縣,546,228,318,-,-,-,-,-,-,546,228,318,-,-,-,241,94,147,-,-,-,-,-,-,241,94,147,-,-,-
104學年,彰化縣,897,431,466,-,-,-,-,-,-,897,431,466,-,-,-,438,202,236,-,-,-,-,-,-,438,202,236,-,-,-
104學年,南投縣,494,232,262,-,-,-,-,-,-,490,232,258,4,-,4,226,112,114,-,-,-,-,-,-,218,107,111,8,5,3
104學年,雲林縣,683,312,371,-,-,-,-,-,-,675,309,366,8,3,5,339,152,187,-,-,-,-,-,-,309,135,174,30,17,13
104學年,嘉義縣,393,211,182,-,-,-,-,-,-,393,211,182,-,-,-,239,102,137,-,-,-,-,-,-,239,102,137,-,-,-
104學年,屏東縣,696,351,345,15,5,10,-,-,-,681,346,335,-,-,-,328,146,182,-,-,-,-,-,-,317,140,177,11,6,5
