學年別,縣市別,國小補校總計,國小補校國立,國小補校直轄市立,國小補校縣市立,國小補校私立,國中補校總計,國中補校國立,國中補校直轄市立,國中補校縣市立,國中補校私立
104學年,新竹縣,3,-,-,3,-,2,-,-,2,-
104學年,苗栗縣,10,-,-,10,-,1,-,-,1,-
104學年,彰化縣,7,-,-,7,-,11,-,-,11,-
104學年,南投縣,3,-,-,3,-,4,-,-,4,-
104學年,雲林縣,9,-,-,9,-,10,-,-,10,-
104學年,嘉義縣,4,-,-,4,-,4,-,-,4,-
104學年,屏東縣,14,-,-,14,-,16,-,-,16,-
104學年,臺東縣,3,-,-,3,-,2,-,-,2,-
104學年,花蓮縣,3,-,-,3,-,5,-,-,4,1
104學年,澎湖縣,1,-,-,1,-,1,-,-,1,-
104學年,基隆市,7,-,-,7,-,7,-,-,7,-
104學年,新竹市,3,-,-,3,-,1,-,-,1,-
104學年,嘉義市,1,-,-,1,-,3,-,-,3,-
104學年,金門縣,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-
103學年,總計,247,-,145,102,-,195,-,104,88,3
103學年,新北市,52,-,52,-,-,30,-,30,-,-
103學年,臺北市,16,-,16,-,-,12,-,12,-,-
103學年,臺中市,31,-,31,-,-,24,-,24,-,-
103學年,臺南市,22,-,22,-,-,13,-,12,-,1
103學年,高雄市,24,-,24,-,-,26,-,26,-,-
103學年,宜蘭縣,10,-,-,10,-,4,-,-,4,-
103學年,桃園縣,20,-,-,20,-,17,-,-,16,1
103學年,新竹縣,3,-,-,3,-,2,-,-,2,-
103學年,苗栗縣,11,-,-,11,-,1,-,-,1,-
103學年,彰化縣,9,-,-,9,-,12,-,-,12,-
103學年,南投縣,3,-,-,3,-,4,-,-,4,-
103學年,雲林縣,9,-,-,9,-,10,-,-,10,-
103學年,嘉義縣,4,-,-,4,-,4,-,-,4,-
103學年,屏東縣,14,-,-,14,-,17,-,-,17,-
103學年,臺東縣,3,-,-,3,-,1,-,-,1,-
103學年,花蓮縣,3,-,-,3,-,6,-,-,5,1
103學年,澎湖縣,1,-,-,1,-,1,-,-,1,-
103學年,基隆市,7,-,-,7,-,7,-,-,7,-
103學年,新竹市,4,-,-,4,-,1,-,-,1,-
103學年,嘉義市,1,-,-,1,-,3,-,-,3,-
103學年,金門縣,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-
102學年,總計,265,-,150,115,-,203,-,107,93,3
102學年,新北市,54,-,54,-,-,30,-,30,-,-
102學年,臺北市,16,-,16,-,-,12,-,12,-,-
102學年,臺中市,31,-,31,-,-,24,-,24,-,-
102學年,臺南市,21,-,21,-,-,13,-,12,-,1
102學年,高雄市,28,-,28,-,-,29,-,29,-,-
102學年,宜蘭縣,10,-,-,10,-,4,-,-,4,-
102學年,桃園縣,21,-,-,21,-,17,-,-,16,1
102學年,新竹縣,4,-,-,4,-,2,-,-,2,-
102學年,苗栗縣,11,-,-,11,-,2,-,-,2,-
102學年,彰化縣,9,-,-,9,-,12,-,-,12,-
102學年,南投縣,3,-,-,3,-,5,-,-,5,-
102學年,雲林縣,11,-,-,11,-,11,-,-,11,-
102學年,嘉義縣,5,-,-,5,-,4,-,-,4,-
102學年,屏東縣,14,-,-,14,-,16,-,-,16,-
102學年,臺東縣,4,-,-,4,-,1,-,-,1,-
102學年,花蓮縣,3,-,-,3,-,6,-,-,5,1
102學年,澎湖縣,2,-,-,2,-,2,-,-,2,-
102學年,基隆市,11,-,-,11,-,9,-,-,9,-
102學年,新竹市,6,-,-,6,-,1,-,-,1,-
102學年,嘉義市,1,-,-,1,-,3,-,-,3,-
102學年,金門縣,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-
101學年,總計,277,-,154,123,-,204,-,109,92,3
101學年,新北市,56,-,56,-,-,31,-,31,-,-
101學年,臺北市,16,-,16,-,-,12,-,12,-,-
101學年,臺中市,31,-,31,-,-,25,-,25,-,-
101學年,臺南市,22,-,22,-,-,13,-,12,-,1
101學年,高雄市,29,-,29,-,-,29,-,29,-,-
101學年,宜蘭縣,10,-,-,10,-,4,-,-,4,-
101學年,桃園縣,20,-,-,20,-,17,-,-,16,1
101學年,新竹縣,4,-,-,4,-,2,-,-,2,-
101學年,苗栗縣,12,-,-,12,-,2,-,-,2,-
101學年,彰化縣,9,-,-,9,-,12,-,-,12,-
101學年,南投縣,3,-,-,3,-,5,-,-,5,-
101學年,雲林縣,12,-,-,12,-,10,-,-,10,-
101學年,嘉義縣,6,-,-,6,-,4,-,-,4,-
101學年,屏東縣,17,-,-,17,-,16,-,-,16,-
101學年,臺東縣,5,-,-,5,-,1,-,-,1,-
101學年,花蓮縣,3,-,-,3,-,6,-,-,5,1
101學年,澎湖縣,3,-,-,3,-,2,-,-,2,-
101學年,基隆市,12,-,-,12,-,9,-,-,9,-
101學年,新竹市,6,-,-,6,-,1,-,-,1,-
101學年,嘉義市,1,-,-,1,-,3,-,-,3,-
101學年,金門縣,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-
100學年,總計,287,-,160,127,-,213,-,112,98,3
100學年,新北市,57,-,57,-,-,31,-,31,-,-
100學年,臺北市,16,-,16,-,-,12,-,12,-,-
100學年,臺中市,31,-,31,-,-,25,-,25,-,-
100學年,臺南市,23,-,23,-,-,15,-,14,-,1
100學年,高雄市,33,-,33,-,-,30,-,30,-,-
100學年,宜蘭縣,10,-,-,10,-,4,-,-,4,-
100學年,桃園縣,21,-,-,21,-,18,-,-,17,1
100學年,新竹縣,4,-,-,4,-,2,-,-,2,-
100學年,苗栗縣,13,-,-,13,-,2,-,-,2,-
100學年,彰化縣,9,-,-,9,-,13,-,-,13,-
100學年,南投縣,3,-,-,3,-,6,-,-,6,-
100學年,雲林縣,12,-,-,12,-,10,-,-,10,-
100學年,嘉義縣,6,-,-,6,-,4,-,-,4,-
100學年,屏東縣,17,-,-,17,-,16,-,-,16,-
100學年,臺東縣,5,-,-,5,-,2,-,-,2,-
100學年,花蓮縣,3,-,-,3,-,6,-,-,5,1
100學年,澎湖縣,5,-,-,5,-,3,-,-,3,-
100學年,基隆市,12,-,-,12,-,10,-,-,10,-
100學年,新竹市,6,-,-,6,-,1,-,-,1,-
100學年,嘉義市,1,-,-,1,-,3,-,-,3,-
100學年,金門縣,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-
99學年,總計,294,-,37,257,-,219,-,22,194,3
99學年,臺北市,16,-,16,-,-,12,-,12,-,-
99學年,高雄市,21,-,21,-,-,10,-,10,-,-
99學年,臺北縣,56,-,-,56,-,32,-,-,32,-
99學年,宜蘭縣,10,-,-,10,-,4,-,-,4,-
99學年,桃園縣,23,-,-,23,-,18,-,-,17,1
99學年,新竹縣,5,-,-,5,-,2,-,-,2,-
99學年,苗栗縣,13,-,-,13,-,2,-,-,2,-
99學年,臺中縣,22,-,-,22,-,15,-,-,15,-
99學年,彰化縣,8,-,-,8,-,14,-,-,14,-
99學年,南投縣,5,-,-,5,-,6,-,-,6,-
99學年,雲林縣,11,-,-,11,-,12,-,-,12,-
99學年,嘉義縣,6,-,-,6,-,4,-,-,4,-
99學年,臺南縣,17,-,-,17,-,9,-,-,8,1
99學年,高雄縣,15,-,-,15,-,21,-,-,21,-
99學年,屏東縣,18,-,-,18,-,16,-,-,16,-
99學年,臺東縣,5,-,-,5,-,2,-,-,2,-
99學年,花蓮縣,3,-,-,3,-,6,-,-,5,1
99學年,澎湖縣,6,-,-,6,-,3,-,-,3,-
99學年,基隆市,12,-,-,12,-,10,-,-,10,-
99學年,新竹市,6,-,-,6,-,2,-,-,2,-
99學年,臺中市,9,-,-,9,-,10,-,-,10,-
99學年,嘉義市,1,-,-,1,-,3,-,-,3,-
99學年,臺南市,6,-,-,6,-,6,-,-,6,-
99學年,金門縣,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-
98學年,總計,297,-,37,260,-,227,1,22,201,3
98學年,臺北市,16,-,16,-,-,12,-,12,-,-
98學年,高雄市,21,-,21,-,-,11,1,10,-,-
98學年,臺北縣,57,-,-,57,-,32,-,-,32,-
98學年,宜蘭縣,10,-,-,10,-,4,-,-,4,-
98學年,桃園縣,23,-,-,23,-,18,-,-,17,1
98學年,新竹縣,5,-,-,5,-,2,-,-,2,-
98學年,苗栗縣,13,-,-,13,-,2,-,-,2,-
98學年,臺中縣,22,-,-,22,-,15,-,-,15,-
98學年,彰化縣,13,-,-,13,-,14,-,-,14,-
98學年,南投縣,5,-,-,5,-,7,-,-,7,-
98學年,雲林縣,11,-,-,11,-,13,-,-,13,-
98學年,嘉義縣,6,-,-,6,-,6,-,-,6,-
98學年,臺南縣,17,-,-,17,-,10,-,-,9,1
98學年,高雄縣,16,-,-,16,-,21,-,-,21,-
98學年,屏東縣,19,-,-,19,-,17,-,-,17,-
98學年,臺東縣,1,-,-,1,-,2,-,-,2,-
98學年,花蓮縣,3,-,-,3,-,6,-,-,5,1
98學年,澎湖縣,5,-,-,5,-,4,-,-,4,-
98學年,基隆市,12,-,-,12,-,10,-,-,10,-
98學年,新竹市,6,-,-,6,-,2,-,-,2,-
98學年,臺中市,9,-,-,9,-,10,-,-,10,-
98學年,嘉義市,1,-,-,1,-,3,-,-,3,-
98學年,臺南市,6,-,-,6,-,6,-,-,6,-
98學年,金門縣,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-
97學年,總計,302,-,37,265,-,233,1,22,207,3
97學年,臺北市,16,-,16,-,-,12,-,12,-,-
97學年,高雄市,21,-,21,-,-,11,1,10,-,-
97學年,臺北縣,57,-,-,57,-,32,-,-,32,-
97學年,宜蘭縣,10,-,-,10,-,4,-,-,4,-
97學年,桃園縣,23,-,-,23,-,18,-,-,17,1
97學年,新竹縣,5,-,-,5,-,2,-,-,2,-
97學年,苗栗縣,13,-,-,13,-,2,-,-,2,-
97學年,臺中縣,22,-,-,22,-,15,-,-,15,-
97學年,彰化縣,14,-,-,14,-,14,-,-,14,-
97學年,南投縣,6,-,-,6,-,7,-,-,7,-
97學年,雲林縣,14,-,-,14,-,14,-,-,14,-
97學年,嘉義縣,6,-,-,6,-,7,-,-,7,-
97學年,臺南縣,18,-,-,18,-,11,-,-,10,1
97學年,高雄縣,16,-,-,16,-,22,-,-,22,-
97學年,屏東縣,20,-,-,20,-,18,-,-,18,-
97學年,臺東縣,-,-,-,-,-,2,-,-,2,-
97學年,花蓮縣,3,-,-,3,-,6,-,-,5,1
97學年,澎湖縣,5,-,-,5,-,4,-,-,4,-
97學年,基隆市,11,-,-,11,-,11,-,-,11,-
97學年,新竹市,6,-,-,6,-,2,-,-,2,-
97學年,臺中市,9,-,-,9,-,10,-,-,10,-
97學年,嘉義市,1,-,-,1,-,3,-,-,3,-
97學年,臺南市,6,-,-,6,-,6,-,-,6,-
97學年,金門縣,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-
""
