學年別,縣市別,校數總計,校數公立,校數私立,教師數總計,教師數公立,教師數私立,職員數總計,職員數公立,職員數私立,班級數總計,班級數公立,班級數私立,學生數總計,學生數公立,學生數私立,上學年畢業生數總計,上學年畢業生數公立,上學年畢業生數私立
98學年,臺中縣,22,9,13,2866,973,1893,581,171,410,585,275,310,25156,10808,14348,8428,3395,5033
98學年,彰化縣,10,7,3,1091,768,323,203,141,62,391,313,78,15945,12411,3534,5368,3851,1517
98學年,南投縣,9,5,4,641,553,88,180,104,76,205,181,24,7328,6523,805,2086,1964,122
98學年,雲林縣,13,5,8,902,518,384,203,83,120,269,164,105,10101,6165,3936,3506,2053,1453
98學年,嘉義縣,6,4,2,346,232,114,77,50,27,84,44,40,3072,1495,1577,1010,471,539
98學年,臺南縣,18,10,8,1550,953,597,289,186,103,502,334,168,19500,12251,7249,6584,3895,2689
98學年,高雄縣,14,10,4,1339,1176,163,199,146,53,396,291,105,14918,10537,4381,4717,3410,1307
98學年,屏東縣,11,7,4,885,664,221,153,111,42,299,258,41,11191,9706,1485,3799,3099,700
98學年,臺東縣,5,4,1,229,217,12,69,64,5,154,141,13,4922,4465,457,1492,1401,91
98學年,花蓮縣,7,4,3,521,265,256,133,62,71,206,110,96,8160,3627,4533,2381,1100,1281
98學年,澎湖縣,1,1,-,111,111,-,20,20,-,38,38,-,1205,1205,-,391,391,-
98學年,基隆市,7,5,2,786,518,268,137,83,54,192,167,25,7185,6206,979,2262,2036,226
98學年,新竹市,10,6,4,1159,682,477,222,124,98,333,217,116,13327,8327,5000,4109,2640,1469
98學年,臺中市,15,8,7,2090,1161,929,341,153,188,470,340,130,19908,14050,5858,7210,4439,2771
98學年,嘉義市,8,2,6,583,263,320,139,51,88,224,156,68,8912,6096,2816,2956,1990,966
98學年,臺南市,15,6,9,1577,647,930,345,112,233,429,228,201,16798,9039,7759,5574,2946,2628
98學年,金門縣,1,1,-,71,71,-,18,18,-,30,30,-,1016,1016,-,308,308,-
98學年,連江縣,1,1,-,32,32,-,15,15,-,12,12,-,318,318,-,114,114,-
97學年,總計,321,180,141,34759,21430,13329,6476,3486,2990,10211,7075,3136,406316,269991,136325,135911,86217,49694
97學年,臺北市,50,28,22,6060,4224,1836,1142,736,406,1933,1466,467,77011,55808,21203,25613,17875,7738
97學年,高雄市,20,15,5,2255,1756,499,377,240,137,829,648,181,33112,24265,8847,11507,7660,3847
97學年,臺北縣,37,21,16,4738,3167,1571,747,393,354,1097,722,375,43847,28007,15840,14444,8893,5551
97學年,宜蘭縣,6,4,2,470,336,134,119,70,49,203,174,29,8026,6950,1076,2655,2234,421
97學年,桃園縣,22,9,13,2938,1271,1667,494,184,310,828,487,341,35251,20201,15050,11682,6300,5382
97學年,新竹縣,8,4,4,810,461,349,165,80,85,191,122,69,7866,4699,3167,2645,1476,1169
97學年,苗栗縣,9,6,3,927,625,302,188,116,72,243,174,69,9762,6645,3117,3242,2172,1070
97學年,臺中縣,22,9,13,2856,945,1911,567,164,403,614,274,340,26173,10618,15555,8875,3466,5409
97學年,彰化縣,10,7,3,1089,769,320,202,139,63,395,307,88,16132,12212,3920,5677,3921,1756
97學年,南投縣,8,5,3,611,557,54,131,104,27,196,180,16,6889,6409,480,2088,1951,137
97學年,雲林縣,12,5,7,892,504,388,189,85,104,277,164,113,10399,6125,4274,3369,2017,1352
97學年,嘉義縣,5,3,2,330,215,115,71,44,27,81,42,39,2999,1421,1578,906,349,557
97學年,臺南縣,18,10,8,1549,942,607,291,186,105,507,331,176,19826,12204,7622,6478,3910,2568
97學年,高雄縣,14,10,4,1311,1154,157,198,141,57,394,290,104,14819,10561,4258,4940,3448,1492
97學年,屏東縣,11,7,4,884,668,216,153,111,42,303,258,45,11398,9736,1662,3822,3066,756
97學年,臺東縣,5,4,1,235,220,15,67,62,5,152,140,12,4818,4417,401,1511,1421,90
97學年,花蓮縣,7,4,3,533,270,263,137,65,72,208,111,97,7898,3588,4310,2441,1187,1254
97學年,澎湖縣,1,1,-,107,107,-,21,21,-,39,39,-,1222,1222,-,407,407,-
97學年,基隆市,7,5,2,781,514,267,139,83,56,198,172,26,7328,6386,942,2436,2092,344
97學年,新竹市,10,6,4,1138,670,468,218,122,96,330,215,115,13301,8243,5058,4165,2601,1564
97學年,臺中市,14,7,7,2004,1048,956,344,145,199,491,333,158,20948,13766,7182,7371,4384,2987
97學年,嘉義市,8,2,6,575,262,313,137,50,87,225,156,69,9015,6136,2879,3197,1905,1292
97學年,臺南市,15,6,9,1564,643,921,345,111,234,435,228,207,16926,9022,7904,6024,3066,2958
97學年,金門縣,1,1,-,72,72,-,19,19,-,30,30,-,1021,1021,-,322,322,-
97學年,連江縣,1,1,-,30,30,-,15,15,-,12,12,-,329,329,-,94,94,-
""
