學年別,設立別,總計計,總計男,總計女,國小計,國小男,國小女,國中計,國中男,國中女,高級中等學校普通科計,高級中等學校普通科男,高級中等學校普通科女,高級中等學校綜合高中計,高級中等學校綜合高中男,高級中等學校綜合高中女,高級中等學校專業群(職業)科計,高級中等學校專業群(職業)科男,高級中等學校專業群(職業)科女,高級中等學校實用技能學程計,高級中等學校實用技能學程男,高級中等學校實用技能學程女,高級中等學校進修部(學校)計,高級中等學校進修部(學校)男,高級中等學校進修部(學校)女,大專校院副學士計,大專校院副學士男,大專校院副學士女,大專校院學士計,大專校院學士男,大專校院學士女,大專校院碩士計,大專校院碩士男,大專校院碩士女,大專校院博士計,大專校院博士男,大專校院博士女,宗教研修學院計,宗教研修學院男,宗教研修學院女,特殊教育學校計,特殊教育學校男,特殊教育學校女,國小補校計,國小補校男,國小補校女,國中補校計,國中補校男,國中補校女,空大及進修學校副學士計,空大及進修學校副學士男,空大及進修學校副學士女,空大及進修學校二年制學士計,空大及進修學校二年制學士男,空大及進修學校二年制學士女,空大及進修學校四年制學士計,空大及進修學校四年制學士男,空大及進修學校四年制學士女
100學年,公立,828974,431892,397082,280321,146480,133841,279829,144593,135236,72875,37263,35612,15312,7124,8188,41441,24180,17261,4388,2466,1922,10067,5228,4839,2135,550,1585,63838,32752,31086,39383,22860,16523,3240,2348,892,-,-,-,2170,1339,831,2523,118,2405,2131,478,1653,2837,1047,1790,3502,1602,1900,2982,1464,1518
100學年,私立,388534,190099,198435,5307,2890,2417,29330,15688,13642,28160,14044,14116,12155,5437,6718,68422,35292,33130,11047,6093,4954,15514,9066,6448,17070,4623,12447,168610,78940,89670,20667,11664,9003,621,421,200,16,5,11,14,8,6,-,-,-,77,77,-,6385,3375,3010,5139,2476,2663,-,-,-
99學年,總計,1213645,620832,592813,271625,141453,130172,316906,164847,152059,97945,49357,48588,31022,14201,16821,109837,59793,50044,15751,8958,6793,28050,15646,12404,20463,6052,14411,228878,110300,118578,60024,34951,25073,3846,2802,1044,10,1,9,2038,1214,824,2575,102,2473,2223,495,1728,9711,4668,5043,9384,4268,5116,3357,1724,1633
99學年,公立,822650,427621,395029,266725,138773,127952,286882,148790,138092,71115,35976,35139,16332,7420,8912,41352,23646,17706,4939,2918,2021,10730,5563,5167,2626,687,1939,62162,32070,30092,39538,23170,16368,3234,2393,841,-,-,-,2024,1206,818,2575,102,2473,2158,430,1728,3239,1252,1987,3662,1501,2161,3357,1724,1633
99學年,私立,390995,193211,197784,4900,2680,2220,30024,16057,13967,26830,13381,13449,14690,6781,7909,68485,36147,32338,10812,6040,4772,17320,10083,7237,17837,5365,12472,166716,78230,88486,20486,11781,8705,612,409,203,10,1,9,14,8,6,-,-,-,65,65,-,6472,3416,3056,5722,2767,2955,-,-,-
98學年,總計,1230261,630315,599946,288408,150173,138235,315798,163519,152279,97944,49558,48386,33319,15342,17977,104927,57841,47086,13681,7958,5723,28846,16153,12693,24668,8484,16184,227174,109686,117488,59492,35165,24327,3705,2749,956,5,-,5,2016,1234,782,2957,105,2852,2375,563,1812,11821,6041,5780,10699,4944,5755,2426,800,1626
98學年,公立,835318,433650,401668,283574,147541,136033,285998,147595,138403,71224,36069,35155,16164,7456,8708,40775,23558,17217,4495,2645,1850,11069,5737,5332,2713,704,2009,60056,31013,29043,38729,22934,15795,3110,2352,758,-,-,-,2004,1225,779,2957,105,2852,2334,522,1812,3882,1791,2091,3808,1603,2205,2426,800,1626
98學年,私立,394943,196665,198278,4834,2632,2202,29800,15924,13876,26720,13489,13231,17155,7886,9269,64152,34283,29869,9186,5313,3873,17777,10416,7361,21955,7780,14175,167118,78673,88445,20763,12231,8532,595,397,198,5,-,5,12,9,3,-,-,-,41,41,-,7939,4250,3689,6891,3341,3550,-,-,-
97學年,總計,1260435,645914,614521,314200,163633,150567,316080,164226,151854,96921,49023,47898,34748,16278,18470,103064,56560,46504,12171,7163,5008,30246,16615,13631,28014,11006,17008,227885,108806,119079,57674,34742,22932,3589,2632,957,-,-,-,1942,1183,759,3341,123,3218,2332,573,1759,14003,7332,6671,11709,5205,6504,2516,814,1702
97學年,公立,861057,447716,413341,309428,161021,148407,287258,148696,138562,69787,35580,34207,15971,7581,8390,40058,23091,16967,4298,2624,1674,11570,5800,5770,3038,888,2150,59960,30557,29403,37577,22821,14756,3023,2237,786,-,-,-,1924,1171,753,3341,123,3218,2306,547,1759,4829,2367,2462,4173,1798,2375,2516,814,1702
97學年,私立,399378,198198,201180,4772,2612,2160,28822,15530,13292,27134,13443,13691,18777,8697,10080,63006,33469,29537,7873,4539,3334,18676,10815,7861,24976,10118,14858,167925,78249,89676,20097,11921,8176,566,395,171,-,-,-,18,12,6,-,-,-,26,26,-,9174,4965,4209,7536,3407,4129,-,-,-
96學年,總計,1275265,652606,622659,318661,165720,152941,317975,165381,152594,99165,50053,49112,36746,17152,19594,102190,55649,46541,11257,6601,4656,29962,16322,13640,35815,14987,20828,230198,110319,119879,54387,33569,20818,3140,2294,846,-,-,-,1832,1080,752,3406,123,3283,2676,624,2052,13090,6526,6564,12071,5379,6692,2694,827,1867
96學年,公立,863689,448233,415456,313977,163154,150823,288538,149704,138834,70456,35807,34649,15761,7466,8295,39409,22482,16927,3959,2328,1631,11374,5716,5658,3597,1230,2367,60097,30798,29299,35614,22067,13547,2645,1961,684,-,-,-,1798,1065,733,3406,123,3283,2607,555,2052,3196,1076,2120,4561,1874,2687,2694,827,1867
96學年,私立,411576,204373,207203,4684,2566,2118,29437,15677,13760,28709,14246,14463,20985,9686,11299,62781,33167,29614,7298,4273,3025,18588,10606,7982,32218,13757,18461,170101,79521,90580,18773,11502,7271,495,333,162,-,-,-,34,15,19,-,-,-,69,69,-,9894,5450,4444,7510,3505,4005,-,-,-
""
