學年別,總計計,總計男,總計女,教授計,教授男,教授女,副教授計,副教授男,副教授女,助理教授計,助理教授男,助理教授女,講師計,講師男,講師女,其他計,其他男,其他女,助教計,助教男,助教女
106學年,50,28,22,9,6,3,9,4,5,28,17,11,4,1,3,-,-,-,-,-,-
105學年,47,29,18,1,1,-,8,4,4,20,14,6,2,1,1,16,9,7,-,-,-
104學年,27,20,7,6,5,1,3,2,1,14,11,3,3,2,1,1,-,1,-,-,-
103學年,19,14,5,2,1,1,1,1,-,11,9,2,3,2,1,2,1,1,-,-,-
102學年,32,23,9,3,2,1,3,2,1,19,15,4,3,2,1,4,2,2,-,-,-
101學年,26,17,9,2,2,-,3,2,1,14,9,5,2,1,1,5,3,2,-,-,-
100學年,21,14,7,3,3,-,1,1,-,14,8,6,-,-,-,3,2,1,-,-,-
99學年,26,18,8,2,2,-,-,-,-,14,11,3,1,1,-,9,4,5,-,-,-
""
