學年別,年資別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
99學年,10年至未滿15年,22552,7035,15517,96,23,73,3309,816,2493,18983,6168,12815,164,28,136,8329,2713,5616,-,-,-,1536,436,1100,6735,2250,4485,58,27,31
99學年,15年至未滿20年,18864,5823,13041,100,24,76,2651,678,1973,16009,5104,10905,104,17,87,7911,2497,5414,-,-,-,1509,418,1091,6323,2041,4282,79,38,41
99學年,20年至未滿25年,13085,4964,8121,94,19,75,2318,714,1604,10611,4224,6387,62,7,55,5468,2027,3441,-,-,-,1119,353,766,4305,1647,2658,44,27,17
99學年,25年至未滿30年,7188,2898,4290,82,22,60,1820,520,1300,5262,2352,2910,24,4,20,3022,1082,1940,-,-,-,795,204,591,2208,864,1344,19,14,5
99學年,30年以上,3336,1533,1803,29,7,22,648,175,473,2577,1332,1245,82,19,63,1292,604,688,-,-,-,269,106,163,1006,489,517,17,9,8
98學年,總計,99155,31089,68066,673,141,532,16104,4058,12046,80780,26594,54186,1598,296,1302,51899,16672,35227,-,-,-,9017,2493,6524,42314,13932,28382,568,247,321
98學年,未滿1年,3057,491,2566,25,2,23,256,51,205,2662,416,2246,114,22,92,4228,1312,2916,-,-,-,562,174,388,3625,1121,2504,41,17,24
98學年,1年至未滿5年,8189,2027,6162,99,19,80,1381,276,1105,6065,1614,4451,644,118,526,9631,2900,6731,-,-,-,1379,329,1050,8067,2498,5569,185,73,112
98學年,5年至未滿10年,27106,7300,19806,166,29,137,4220,931,3289,22301,6263,16038,419,77,342,12817,3683,9134,-,-,-,1938,504,1434,10755,3133,7622,124,46,78
98學年,10年至未滿15年,20193,6738,13455,76,18,58,2970,782,2188,16999,5909,11090,148,29,119,8170,2753,5417,-,-,-,1533,467,1066,6573,2258,4315,64,28,36
98學年,15年至未滿20年,18789,5665,13124,107,26,81,2615,641,1974,15967,4980,10987,100,18,82,7627,2410,5217,-,-,-,1436,378,1058,6108,1992,4116,83,40,43
98學年,20年至未滿25年,11850,4757,7093,98,23,75,2330,763,1567,9367,3966,5401,55,5,50,5040,1912,3128,-,-,-,1172,348,824,3828,1539,2289,40,25,15
98學年,25年至未滿30年,6707,2538,4169,70,17,53,1732,435,1297,4876,2078,2798,29,8,21,3076,1089,1987,-,-,-,751,188,563,2309,892,1417,16,9,7
98學年,30年以上,3264,1573,1691,32,7,25,600,179,421,2543,1368,1175,89,19,70,1310,613,697,-,-,-,246,105,141,1049,499,550,15,9,6
97學年,總計,100206,31551,68655,679,144,535,16404,4111,12293,81558,27009,54549,1565,287,1278,51777,16693,35084,-,-,-,9005,2483,6522,42192,13946,28246,580,264,316
97學年,未滿1年,3509,513,2996,24,4,20,322,52,270,3019,431,2588,144,26,118,4441,1333,3108,-,-,-,626,151,475,3744,1156,2588,71,26,45
97學年,1年至未滿5年,11165,3100,8065,101,20,81,1831,430,1401,8511,2511,6000,722,139,583,11132,3255,7877,-,-,-,1540,372,1168,9423,2811,6612,169,72,97
97學年,5年至未滿10年,28301,7519,20782,153,27,126,4423,929,3494,23416,6511,16905,309,52,257,11478,3363,8115,-,-,-,1775,477,1298,9584,2836,6748,119,50,69
97學年,10年至未滿15年,18654,6490,12164,99,20,79,2659,743,1916,15766,5700,10066,130,27,103,8204,2804,5400,-,-,-,1613,478,1135,6526,2293,4233,65,33,32
97學年,15年至未滿20年,18487,5659,12828,107,29,78,2539,660,1879,15736,4956,10780,105,14,91,7445,2406,5039,-,-,-,1331,386,945,6018,1970,4048,96,50,46
97學年,20年至未滿25年,10595,4319,6276,88,17,71,2384,752,1632,8076,3546,4530,47,4,43,4634,1796,2838,-,-,-,1133,336,797,3482,1447,2035,19,13,6
97學年,25年至未滿30年,6215,2302,3913,74,20,54,1696,371,1325,4427,1906,2521,18,5,13,3137,1096,2041,-,-,-,765,197,568,2345,889,1456,27,10,17
97學年,30年以上,3280,1649,1631,33,7,26,550,174,376,2607,1448,1159,90,20,70,1306,640,666,-,-,-,222,86,136,1070,544,526,14,10,4
""
