學年別,縣市別,高級中等學校總計計,高級中等學校總計男,高級中等學校總計女,高級中等學校國立計,高級中等學校國立男,高級中等學校國立女,高級中等學校直轄市立計,高級中等學校直轄市立男,高級中等學校直轄市立女,高級中等學校縣市立計,高級中等學校縣市立男,高級中等學校縣市立女,高級中等學校私立計,高級中等學校私立男,高級中等學校私立女,高級中學總計計,高級中學總計男,高級中學總計女,高級中學國立計,高級中學國立男,高級中學國立女,高級中學直轄市立計,高級中學直轄市立男,高級中學直轄市立女,高級中學縣市立計,高級中學縣市立男,高級中學縣市立女,高級中學私立計,高級中學私立男,高級中學私立女,職業學校總計計,職業學校總計男,職業學校總計女,職業學校國立計,職業學校國立男,職業學校國立女,職業學校直轄市立計,職業學校直轄市立男,職業學校直轄市立女,職業學校縣市立計,職業學校縣市立男,職業學校縣市立女,職業學校私立計,職業學校私立男,職業學校私立女
105學年,桃園市,4297,1742,2555,1358,542,816,855,298,557,-,-,-,2084,902,1182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺中市,6831,2924,3907,2344,1123,1221,1320,467,853,-,-,-,3167,1334,1833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺南市,4450,2024,2426,2424,1151,1273,403,125,278,-,-,-,1623,748,875,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,高雄市,6087,2510,3577,1054,440,614,3241,1261,1980,-,-,-,1792,809,983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,宜蘭縣,1084,520,564,872,416,456,-,-,-,63,25,38,149,79,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新竹縣,920,356,564,322,112,210,-,-,-,205,57,148,393,187,206,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,苗栗縣,1489,619,870,713,320,393,-,-,-,382,120,262,394,179,215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,彰化縣,2941,1310,1631,1715,806,909,-,-,-,667,256,411,559,248,311,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,南投縣,1273,562,711,871,399,472,-,-,-,161,60,101,241,103,138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,雲林縣,1656,805,851,765,380,385,-,-,-,285,122,163,606,303,303,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,嘉義縣,733,411,322,252,154,98,-,-,-,157,65,92,324,192,132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,屏東縣,1707,776,931,962,450,512,-,-,-,444,177,267,301,149,152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺東縣,604,290,314,467,218,249,-,-,-,26,15,11,111,57,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,花蓮縣,943,440,503,630,293,337,-,-,-,31,14,17,282,133,149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,澎湖縣,216,107,109,216,107,109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,1107,452,655,484,209,275,-,-,-,309,104,205,314,139,175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新竹市,1434,491,943,611,218,393,-,-,-,356,91,265,467,182,285,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,嘉義市,1237,577,660,796,366,430,-,-,-,-,-,-,441,211,230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,金門縣,162,103,59,162,103,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,33,15,18,33,15,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,55340,23324,32016,17662,8070,9592,15753,5911,9842,3125,1092,2033,18800,8251,10549,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新北市,7440,2877,4563,140,46,94,4456,1629,2827,-,-,-,2844,1202,1642,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺北市,8222,3175,5047,388,147,241,5412,2088,3324,-,-,-,2422,940,1482,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,桃園市,4310,1776,2534,1360,549,811,838,295,543,-,-,-,2112,932,1180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺中市,6861,2929,3932,2343,1119,1224,1338,475,863,-,-,-,3180,1335,1845,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺南市,4538,2081,2457,2437,1163,1274,400,128,272,-,-,-,1701,790,911,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,高雄市,6198,2569,3629,1060,446,614,3309,1296,2013,-,-,-,1829,827,1002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,宜蘭縣,1087,529,558,879,422,457,-,-,-,59,23,36,149,84,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹縣,938,358,580,323,113,210,-,-,-,200,52,148,415,193,222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,苗栗縣,1501,628,873,715,317,398,-,-,-,387,126,261,399,185,214,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,彰化縣,2960,1312,1648,1709,795,914,-,-,-,678,258,420,573,259,314,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,南投縣,1295,567,728,882,400,482,-,-,-,153,53,100,260,114,146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,雲林縣,1691,833,858,770,387,383,-,-,-,291,121,170,630,325,305,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,嘉義縣,754,422,332,254,154,100,-,-,-,155,64,91,345,204,141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,屏東縣,1736,774,962,968,453,515,-,-,-,463,175,288,305,146,159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺東縣,592,283,309,476,221,255,-,-,-,25,11,14,91,51,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,花蓮縣,962,458,504,629,308,321,-,-,-,31,14,17,302,136,166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,澎湖縣,218,111,107,218,111,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,1122,456,666,497,204,293,-,-,-,310,106,204,315,146,169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹市,1466,483,983,614,220,394,-,-,-,373,89,284,479,174,305,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,嘉義市,1253,577,676,804,369,435,-,-,-,-,-,-,449,208,241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,金門縣,162,105,57,162,105,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,34,21,13,34,21,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,55699,23454,32245,17630,8059,9571,14916,5584,9332,3878,1367,2511,19275,8444,10831,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,新北市,7336,2858,4478,143,46,97,4392,1623,2769,-,-,-,2801,1189,1612,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,臺北市,8376,3204,5172,389,141,248,5459,2083,3376,-,-,-,2528,980,1548,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,臺中市,6902,2918,3984,2350,1125,1225,1338,472,866,-,-,-,3214,1321,1893,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,臺南市,4667,2140,2527,2431,1145,1286,410,131,279,-,-,-,1826,864,962,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,高雄市,6279,2605,3674,1037,450,587,3317,1275,2042,-,-,-,1925,880,1045,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,宜蘭縣,1074,514,560,886,418,468,-,-,-,37,15,22,151,81,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,桃園縣,4288,1760,2528,1354,547,807,-,-,-,817,293,524,2117,920,1197,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,新竹縣,910,346,564,323,105,218,-,-,-,159,42,117,428,199,229,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,苗栗縣,1530,638,892,716,316,400,-,-,-,375,117,258,439,205,234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,彰化縣,2971,1326,1645,1706,796,910,-,-,-,682,262,420,583,268,315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,南投縣,1285,563,722,877,400,477,-,-,-,152,54,98,256,109,147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,雲林縣,1697,834,863,770,391,379,-,-,-,295,118,177,632,325,307,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,嘉義縣,765,418,347,252,152,100,-,-,-,154,63,91,359,203,156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,屏東縣,1748,802,946,961,456,505,-,-,-,460,181,279,327,165,162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,臺東縣,569,276,293,470,225,245,-,-,-,20,6,14,79,45,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,花蓮縣,997,475,522,635,311,324,-,-,-,32,14,18,330,150,180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,澎湖縣,218,113,105,218,113,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,1156,481,675,511,219,292,-,-,-,322,113,209,323,149,174,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,新竹市,1473,486,987,614,219,395,-,-,-,373,89,284,486,178,308,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,嘉義市,1270,577,693,799,364,435,-,-,-,-,-,-,471,213,258,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,金門縣,155,99,56,155,99,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,33,21,12,33,21,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37842,14813,23029,8625,3615,5010,11625,3946,7679,3667,1303,2364,13925,5949,7976,17045,8143,8902,9024,4456,4568,2962,1420,1542,-,-,-,5059,2267,2792
102學年,新北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5325,1923,3402,135,45,90,3451,1156,2295,-,-,-,1739,722,1017,1850,815,1035,-,-,-,829,397,432,-,-,-,1021,418,603
102學年,臺北市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6122,2153,3969,312,107,205,4060,1383,2677,-,-,-,1750,663,1087,2125,962,1163,70,28,42,1330,650,680,-,-,-,725,284,441
102學年,臺中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5319,2132,3187,1053,470,583,1272,440,832,-,-,-,2994,1222,1772,1372,701,671,1290,654,636,-,-,-,-,-,-,82,47,35
102學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3208,1358,1850,1255,536,719,421,127,294,-,-,-,1532,695,837,1508,808,700,1157,617,540,-,-,-,-,-,-,351,191,160
102學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3863,1491,2372,608,225,383,2421,840,1581,-,-,-,834,426,408,2316,1045,1271,434,232,202,803,373,430,-,-,-,1079,440,639
102學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,499,247,252,306,147,159,-,-,-,34,13,21,159,87,72,585,269,316,585,269,316,-,-,-,-,-,-,-,-,-
102學年,桃園縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3261,1338,1923,829,337,492,-,-,-,764,281,483,1668,720,948,838,350,488,516,212,304,-,-,-,-,-,-,322,138,184
102學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,829,284,545,321,99,222,-,-,-,158,45,113,350,140,210,63,41,22,-,-,-,-,-,-,-,-,-,63,41,22
102學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1012,380,632,404,152,252,-,-,-,321,100,221,287,128,159,473,258,215,313,172,141,-,-,-,-,-,-,160,86,74
102學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1526,646,880,582,266,316,-,-,-,618,233,385,326,147,179,1381,649,732,1126,534,592,-,-,-,-,-,-,255,115,140
102學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,730,306,424,422,187,235,-,-,-,152,54,98,156,65,91,591,264,327,486,227,259,-,-,-,-,-,-,105,37,68
102學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,995,445,550,286,133,153,-,-,-,279,112,167,430,200,230,682,371,311,475,246,229,-,-,-,-,-,-,207,125,82
102學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,410,202,208,143,83,60,-,-,-,145,60,85,122,59,63,350,216,134,108,69,39,-,-,-,-,-,-,242,147,95
102學年,屏東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1094,477,617,405,174,231,-,-,-,467,185,282,222,118,104,672,322,350,549,270,279,-,-,-,-,-,-,123,52,71
102學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,233,106,127,201,94,107,-,-,-,19,6,13,13,6,7,348,167,181,280,134,146,-,-,-,-,-,-,68,33,35
102學年,花蓮縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,569,251,318,262,115,147,-,-,-,33,14,19,274,122,152,425,215,210,380,192,188,-,-,-,-,-,-,45,23,22
102學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105,52,53,105,52,53,-,-,-,-,-,-,-,-,-,112,64,48,112,64,48,-,-,-,-,-,-,-,-,-
102學年,基隆市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,821,309,512,254,88,166,-,-,-,318,109,209,249,112,137,370,168,202,285,133,152,-,-,-,-,-,-,85,35,50
102學年,新竹市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1219,393,826,380,133,247,-,-,-,359,91,268,480,169,311,236,91,145,236,91,145,-,-,-,-,-,-,-,-,-
102學年,嘉義市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,601,265,336,261,117,144,-,-,-,-,-,-,340,148,192,661,306,355,535,251,284,-,-,-,-,-,-,126,55,71
102學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,36,32,68,36,32,-,-,-,-,-,-,-,-,-,87,61,26,87,61,26,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,19,14,33,19,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
