學年別,縣市別,校數總計,校數公立,校數私立,教師數總計,教師數公立,教師數私立,職員數總計,職員數公立,職員數私立,班級數總計,班級數公立,班級數私立,學生數總計,學生數公立,學生數私立,上學年畢業生數總計,上學年畢業生數公立,上學年畢業生數私立
98學年,臺北市,17,7,10,2214,1433,781,472,274,198,1139,487,652,46663,17711,28952,13686,5094,8592
98學年,高雄市,10,5,5,1239,749,490,268,158,110,636,211,425,26849,8192,18657,7591,2551,5040
98學年,臺北縣,16,5,11,1657,790,867,406,162,244,1029,283,746,45579,10584,34995,12744,3164,9580
98學年,宜蘭縣,5,5,-,570,570,-,125,125,-,144,144,-,5369,5369,-,1635,1635,-
98學年,桃園縣,7,4,3,750,486,264,182,105,77,679,156,523,32006,6011,25995,9441,1708,7733
98學年,新竹縣,1,-,1,70,-,70,14,-,14,148,25,123,6309,824,5485,1786,232,1554
98學年,苗栗縣,7,3,4,430,297,133,147,85,62,227,112,115,8302,4107,4195,2406,1232,1174
98學年,臺中縣,5,5,-,674,674,-,168,168,-,677,210,467,30343,7757,22586,8998,2492,6506
98學年,彰化縣,11,9,2,1332,1076,256,329,236,93,546,304,242,23249,11705,11544,6880,3790,3090
98學年,南投縣,6,5,1,570,487,83,140,120,20,175,138,37,6666,4729,1937,1955,1647,308
98學年,雲林縣,7,5,2,673,459,214,180,127,53,257,150,107,10197,5422,4775,3019,1611,1408
98學年,嘉義縣,4,1,3,371,100,271,101,28,73,167,53,114,7188,1851,5337,2295,614,1681
98學年,臺南縣,11,8,3,1052,894,158,282,238,44,326,235,91,11479,8238,3241,3634,2579,1055
98學年,高雄縣,8,3,5,1014,424,590,253,108,145,416,153,263,17379,5583,11796,5067,1710,3357
98學年,屏東縣,8,5,3,646,526,120,192,146,46,283,150,133,10565,5256,5309,2834,1570,1264
98學年,臺東縣,4,3,1,345,279,66,76,53,23,66,45,21,2375,1531,844,580,411,169
98學年,花蓮縣,6,4,2,441,366,75,136,102,34,164,122,42,5462,3976,1486,1476,1160,316
98學年,澎湖縣,1,1,-,119,119,-,40,40,-,55,55,-,1753,1753,-,487,487,-
98學年,基隆市,4,2,2,395,288,107,77,55,22,213,79,134,8811,2939,5872,2360,734,1626
98學年,新竹市,2,2,-,238,238,-,46,46,-,118,50,68,4655,1781,2874,1355,548,807
98學年,臺中市,4,3,1,648,563,85,139,113,26,434,177,257,19098,6705,12393,5507,2185,3322
98學年,嘉義市,6,4,2,633,506,127,142,104,38,227,126,101,9076,4717,4359,2684,1552,1132
98學年,臺南市,5,2,3,409,208,201,111,43,68,350,90,260,14152,3349,10803,4373,1081,3292
98學年,金門縣,1,1,-,95,95,-,28,28,-,36,36,-,1083,1083,-,271,271,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,156,92,64,16470,11535,4935,4046,2655,1391,8342,3560,4782,346563,129710,216853,102190,39409,62781
97學年,臺北市,17,7,10,2239,1447,792,496,287,209,1120,485,635,46134,17520,28614,13816,5128,8688
97學年,高雄市,10,5,5,1220,737,483,271,152,119,621,214,407,26248,8250,17998,7399,2488,4911
97學年,臺北縣,16,5,11,1645,782,863,403,162,241,1018,280,738,44805,10481,34324,12207,3006,9201
97學年,宜蘭縣,5,5,-,560,560,-,125,125,-,144,144,-,5292,5292,-,1594,1594,-
97學年,桃園縣,7,4,3,753,480,273,179,105,74,657,151,506,31057,5746,25311,9171,1686,7485
97學年,新竹縣,1,-,1,73,-,73,14,-,14,140,22,118,5863,731,5132,1600,223,1377
97學年,苗栗縣,7,3,4,420,294,126,150,85,65,220,108,112,7859,3921,3938,2296,1197,1099
97學年,臺中縣,5,5,-,662,662,-,161,161,-,656,210,446,28989,7763,21226,8561,2457,6104
97學年,彰化縣,11,9,2,1332,1066,266,326,235,91,531,302,229,22932,11650,11282,7016,3802,3214
97學年,南投縣,6,5,1,548,470,78,131,114,17,168,136,32,6389,4725,1664,1923,1546,377
97學年,雲林縣,7,5,2,699,472,227,184,125,59,265,151,114,10094,5359,4735,3061,1647,1414
97學年,嘉義縣,4,1,3,365,99,266,97,27,70,167,53,114,7552,1845,5707,2348,639,1709
97學年,臺南縣,11,8,3,1032,877,155,276,236,40,327,233,94,11504,8191,3313,3734,2567,1167
97學年,高雄縣,8,3,5,991,419,572,251,105,146,419,153,266,17716,5592,12124,5529,1677,3852
97學年,屏東縣,8,5,3,638,533,105,189,143,46,277,148,129,10017,5186,4831,2642,1476,1166
97學年,臺東縣,4,3,1,357,296,61,74,55,19,64,43,21,2374,1593,781,509,349,160
97學年,花蓮縣,6,4,2,431,363,68,131,103,28,168,122,46,5382,3961,1421,1411,1053,358
97學年,澎湖縣,1,1,-,116,116,-,40,40,-,54,54,-,1715,1715,-,444,444,-
97學年,基隆市,4,2,2,374,272,102,80,59,21,207,74,133,8298,2620,5678,2345,656,1689
97學年,新竹市,2,2,-,233,233,-,46,46,-,112,49,63,4511,1746,2765,1352,558,794
97學年,臺中市,4,3,1,651,561,90,139,113,26,410,177,233,18118,6698,11420,5588,2147,3441
97學年,嘉義市,6,4,2,644,508,136,142,104,38,221,126,95,8933,4739,4194,2911,1649,1262
97學年,臺南市,5,2,3,399,200,199,111,43,68,341,90,251,13736,3341,10395,4436,1123,3313
97學年,金門縣,1,1,-,88,88,-,30,30,-,35,35,-,1045,1045,-,297,297,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
