學年別,年齡別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,五專計小計,五專計男,五專計女,五專1年級小計,五專1年級男,五專1年級女,五專2年級小計,五專2年級男,五專2年級女,五專3年級小計,五專3年級男,五專3年級女,五專4年級小計,五專4年級男,五專4年級女,五專5年級小計,五專5年級男,五專5年級女,五專6年級小計,五專6年級男,五專6年級女,五專7年級小計,五專7年級男,五專7年級女,五專延修生小計,五專延修生男,五專延修生女,二專計小計,二專計男,二專計女,二專1年級小計,二專1年級男,二專1年級女,二專2年級小計,二專2年級男,二專2年級女,二專3年級小計,二專3年級男,二專3年級女,二專4年級小計,二專4年級男,二專4年級女,二專5年級小計,二專5年級男,二專5年級女,二專6年級小計,二專6年級男,二專6年級女,二專7年級小計,二專7年級男,二專7年級女,二專延修生小計,二專延修生男,二專延修生女,學士班計小計,學士班計男,學士班計女,學士班1年級小計,學士班1年級男,學士班1年級女,學士班2年級小計,學士班2年級男,學士班2年級女,學士班3年級小計,學士班3年級男,學士班3年級女,學士班4年級小計,學士班4年級男,學士班4年級女,學士班5年級小計,學士班5年級男,學士班5年級女,學士班6年級小計,學士班6年級男,學士班6年級女,學士班7年級小計,學士班7年級男,學士班7年級女,學士班延修生小計,學士班延修生男,學士班延修生女,碩士班計小計,碩士班計男,碩士班計女,碩士班1年級小計,碩士班1年級男,碩士班1年級女,碩士班2年級小計,碩士班2年級男,碩士班2年級女,碩士班3年級小計,碩士班3年級男,碩士班3年級女,碩士班4年級小計,碩士班4年級男,碩士班4年級女,碩士班5年級小計,碩士班5年級男,碩士班5年級女,碩士班6年級小計,碩士班6年級男,碩士班6年級女,碩士班7年級小計,碩士班7年級男,碩士班7年級女,碩士班延修生小計,碩士班延修生男,碩士班延修生女,博士班計小計,博士班計男,博士班計女,博士班1年級小計,博士班1年級男,博士班1年級女,博士班2年級小計,博士班2年級男,博士班2年級女,博士班3年級小計,博士班3年級男,博士班3年級女,博士班4年級小計,博士班4年級男,博士班4年級女,博士班5年級小計,博士班5年級男,博士班5年級女,博士班6年級小計,博士班6年級男,博士班6年級女,博士班7年級小計,博士班7年級男,博士班7年級女,博士班延修生小計,博士班延修生男,博士班延修生女
106學年,24至未滿25歲,35728,21604,14124,5942,3447,2495,10585,6273,4312,9002,5345,3657,3081,1809,1272,3419,2289,1130,2852,1896,956,845,544,301,2,1,1,20,5,15,-,-,-,3,1,2,2,1,1,2,-,2,4,-,4,2,1,1,7,2,5,-,-,-,188,115,73,97,59,38,73,47,26,12,6,6,5,2,3,1,1,-,-,-,-,-,-,-,-,-,-,14578,8916,5662,1249,659,590,1447,730,717,1738,1008,730,3041,1794,1247,3413,2287,1126,2850,1895,955,838,542,296,2,1,1,20275,12078,8197,4205,2455,1750,8831,5314,3517,7206,4296,2910,32,12,20,1,1,-,-,-,-,-,-,-,-,-,-,667,490,177,391,274,117,231,181,50,44,34,10,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,25至未滿26歲,21013,12438,8575,3964,2209,1755,5143,3024,2119,4980,2855,2125,3783,2179,1604,1295,909,386,1324,900,424,446,301,145,78,61,17,5,1,4,-,-,-,-,-,-,-,-,-,2,1,1,2,-,2,-,-,-,1,-,1,-,-,-,142,88,54,65,40,25,66,43,23,8,4,4,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,7846,4909,2937,955,536,419,1059,541,518,1096,656,440,1599,1007,592,1290,907,383,1324,900,424,445,301,144,78,61,17,12104,6783,5321,2595,1396,1199,3651,2180,1471,3719,2072,1647,2137,1134,1003,2,1,1,-,-,-,-,-,-,-,-,-,916,657,259,349,237,112,367,260,107,157,123,34,42,36,6,1,1,-,-,-,-,-,-,-,-,-,-
106學年,26至未滿27歲,14011,7940,6071,3188,1674,1514,3426,1851,1575,3068,1803,1265,2868,1596,1272,657,449,208,574,418,156,186,122,64,44,27,17,5,3,2,1,1,-,-,-,-,1,-,1,-,-,-,2,2,-,-,-,-,1,-,1,-,-,-,186,115,71,94,58,36,81,49,32,6,4,2,4,3,1,1,1,-,-,-,-,-,-,-,-,-,-,4785,2938,1847,817,452,365,835,447,388,736,434,302,991,629,362,604,410,194,573,417,156,185,122,63,44,27,17,7927,4091,3836,1974,960,1014,2186,1136,1050,1978,1105,873,1759,872,887,30,18,12,-,-,-,-,-,-,-,-,-,1108,793,315,302,203,99,324,219,105,347,260,87,114,92,22,20,18,2,1,1,-,-,-,-,-,-,-
106學年,27至未滿28歲,11172,6079,5093,2825,1450,1375,2841,1513,1328,2144,1178,966,2493,1361,1132,507,313,194,277,211,66,60,41,19,25,12,13,4,2,2,-,-,-,1,1,-,1,1,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,165,107,58,82,52,30,65,41,24,14,10,4,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,3344,1984,1360,682,372,310,673,371,302,609,358,251,689,423,266,348,209,139,258,198,60,60,41,19,25,12,13,6383,3104,3279,1768,832,936,1813,897,916,1248,631,617,1500,719,781,50,23,27,4,2,2,-,-,-,-,-,-,1276,882,394,293,194,99,289,203,86,272,178,94,300,217,83,107,79,28,15,11,4,-,-,-,-,-,-
106學年,28至未滿29歲,8969,4973,3996,2354,1246,1108,2286,1196,1090,1660,920,740,1854,1053,801,555,382,173,208,143,65,38,20,18,14,13,1,7,4,3,1,1,-,4,1,3,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,178,112,66,83,46,37,86,60,26,6,4,2,2,2,-,1,-,1,-,-,-,-,-,-,-,-,-,2548,1522,1026,613,349,264,529,290,239,471,283,188,542,336,206,220,142,78,132,95,37,27,14,13,14,13,1,4876,2402,2474,1416,699,717,1430,689,741,914,450,464,1044,527,517,62,32,30,10,5,5,-,-,-,-,-,-,1360,933,427,241,151,90,237,156,81,269,183,86,265,187,78,271,207,64,66,43,23,11,6,5,-,-,-
106學年,29至未滿30歲,7961,4273,3688,2121,1079,1042,2106,1035,1071,1417,727,690,1415,795,620,483,322,161,331,250,81,84,62,22,4,3,1,2,-,2,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,135,85,50,63,39,24,59,40,19,12,6,6,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2113,1174,939,543,274,269,495,254,241,369,195,174,395,254,141,198,125,73,91,60,31,18,9,9,4,3,1,4346,2017,2329,1298,610,688,1357,618,739,809,371,438,795,377,418,72,38,34,14,3,11,1,-,1,-,-,-,1365,997,368,216,156,60,195,123,72,227,155,72,224,164,60,212,159,53,226,187,39,65,53,12,-,-,-
106學年,30歲以上,108688,55178,53510,34002,16323,17679,30684,14981,15703,16789,8374,8415,13244,6879,6365,6173,3679,2494,4184,2519,1665,3598,2411,1187,14,12,2,51,17,34,7,3,4,34,12,22,3,1,2,6,1,5,1,-,1,-,-,-,-,-,-,-,-,-,2297,1030,1267,1061,460,601,1119,498,621,77,46,31,35,21,14,5,5,-,-,-,-,-,-,-,-,-,-,23353,9557,13796,8074,3098,4976,7186,2730,4456,3779,1613,2166,3232,1496,1736,741,397,344,253,158,95,74,53,21,14,12,2,61670,30624,31046,21604,10659,10945,19134,9616,9518,9787,4710,5077,6950,3402,3548,2734,1522,1212,1374,697,677,87,18,69,-,-,-,21317,13950,7367,3256,2103,1153,3211,2125,1086,3143,2004,1139,3021,1959,1062,2692,1755,937,2557,1664,893,3437,2340,1097,-,-,-
105學年,總計,1309441,646866,662575,346336,171893,174443,337903,166580,171323,281339,137332,144007,259653,125789,133864,62604,31971,30633,16069,9642,6427,5329,3526,1803,208,133,75,88425,21859,66566,18335,4733,13602,18438,4844,13594,16427,3847,12580,16720,3933,12787,16525,3829,12696,1704,560,1144,262,106,156,14,7,7,7259,3754,3505,3648,1971,1677,3161,1520,1641,337,189,148,100,66,34,11,8,3,2,-,2,-,-,-,-,-,-,1015398,508206,507192,252740,124618,128122,252487,123819,128668,234468,116502,117966,224396,111688,112708,39739,24163,15576,9876,6320,3556,1498,970,528,194,126,68,169538,93583,75955,66225,36920,29305,58996,33223,25773,25646,13800,11846,14504,7446,7058,2733,1535,1198,1368,650,718,66,9,57,-,-,-,28821,19464,9357,5388,3651,1737,4821,3174,1647,4461,2994,1467,3933,2656,1277,3596,2436,1160,3119,2112,1007,3503,2441,1062,-,-,-
105學年,未滿16歲,15749,3907,11842,15732,3904,11828,17,3,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15747,3907,11840,15730,3904,11826,17,3,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,16至未滿17歲,18429,4807,13622,2292,693,1599,16121,4108,12013,16,6,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18411,4798,13613,2274,684,1590,16121,4108,12013,16,6,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,9,9,18,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
