學年別,年齡別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,五專計小計,五專計男,五專計女,五專1年級小計,五專1年級男,五專1年級女,五專2年級小計,五專2年級男,五專2年級女,五專3年級小計,五專3年級男,五專3年級女,五專4年級小計,五專4年級男,五專4年級女,五專5年級小計,五專5年級男,五專5年級女,五專6年級小計,五專6年級男,五專6年級女,五專7年級小計,五專7年級男,五專7年級女,五專延修生小計,五專延修生男,五專延修生女,二專計小計,二專計男,二專計女,二專1年級小計,二專1年級男,二專1年級女,二專2年級小計,二專2年級男,二專2年級女,二專3年級小計,二專3年級男,二專3年級女,二專4年級小計,二專4年級男,二專4年級女,二專5年級小計,二專5年級男,二專5年級女,二專6年級小計,二專6年級男,二專6年級女,二專7年級小計,二專7年級男,二專7年級女,二專延修生小計,二專延修生男,二專延修生女,學士班計小計,學士班計男,學士班計女,學士班1年級小計,學士班1年級男,學士班1年級女,學士班2年級小計,學士班2年級男,學士班2年級女,學士班3年級小計,學士班3年級男,學士班3年級女,學士班4年級小計,學士班4年級男,學士班4年級女,學士班5年級小計,學士班5年級男,學士班5年級女,學士班6年級小計,學士班6年級男,學士班6年級女,學士班7年級小計,學士班7年級男,學士班7年級女,學士班延修生小計,學士班延修生男,學士班延修生女,碩士班計小計,碩士班計男,碩士班計女,碩士班1年級小計,碩士班1年級男,碩士班1年級女,碩士班2年級小計,碩士班2年級男,碩士班2年級女,碩士班3年級小計,碩士班3年級男,碩士班3年級女,碩士班4年級小計,碩士班4年級男,碩士班4年級女,碩士班5年級小計,碩士班5年級男,碩士班5年級女,碩士班6年級小計,碩士班6年級男,碩士班6年級女,碩士班7年級小計,碩士班7年級男,碩士班7年級女,碩士班延修生小計,碩士班延修生男,碩士班延修生女,博士班計小計,博士班計男,博士班計女,博士班1年級小計,博士班1年級男,博士班1年級女,博士班2年級小計,博士班2年級男,博士班2年級女,博士班3年級小計,博士班3年級男,博士班3年級女,博士班4年級小計,博士班4年級男,博士班4年級女,博士班5年級小計,博士班5年級男,博士班5年級女,博士班6年級小計,博士班6年級男,博士班6年級女,博士班7年級小計,博士班7年級男,博士班7年級女,博士班延修生小計,博士班延修生男,博士班延修生女
105學年,17至未滿18歲,17392,4289,13103,1113,504,609,2091,614,1477,14180,3169,11011,8,2,6,-,-,-,-,-,-,-,-,-,-,-,-,16404,3846,12558,161,73,88,2061,604,1457,14174,3167,11007,8,2,6,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,986,442,544,950,430,520,30,10,20,6,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,18至未滿19歲,189630,90392,99238,172147,86017,86130,1179,556,623,2032,576,1456,14249,3240,11009,23,3,20,-,-,-,-,-,-,-,-,-,16473,3914,12559,56,25,31,167,86,81,1979,560,1419,14248,3240,11008,23,3,20,-,-,-,-,-,-,-,-,-,609,310,299,609,310,299,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172529,86159,86370,171464,85674,85790,1011,469,542,53,16,37,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,19,9,10,18,8,10,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,19至未滿20歲,238645,114800,123845,41636,22019,19617,178697,88237,90460,1582,678,904,2258,592,1666,14465,3272,11193,7,2,5,-,-,-,-,-,-,16941,3965,12976,22,12,10,44,28,16,178,75,103,2226,577,1649,14464,3271,11193,7,2,5,-,-,-,-,-,-,1184,601,583,507,292,215,676,308,368,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220502,110225,110277,41089,21706,19383,177977,87901,90076,1403,602,801,32,15,17,1,1,-,-,-,-,-,-,-,-,-,-,18,9,9,18,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,20至未滿21歲,232793,112827,119966,17016,6817,10199,37885,20241,17644,173201,84267,88934,1452,580,872,1857,485,1372,1381,437,944,1,-,1,-,-,-,3478,1044,2434,14,8,6,19,11,8,40,22,18,172,83,89,1851,483,1368,1381,437,944,1,-,1,-,-,-,712,372,340,283,171,112,327,162,165,102,39,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,228579,111401,117178,16696,6628,10068,37539,20068,17471,173058,84206,88852,1280,497,783,6,2,4,-,-,-,-,-,-,-,-,-,24,10,14,23,10,13,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,21至未滿22歲,227775,110333,117442,5921,2778,3143,16901,6734,10167,36898,19470,17428,167204,81005,86199,430,192,238,244,83,161,177,71,106,-,-,-,626,237,389,8,2,6,3,2,1,16,10,6,41,23,18,137,46,91,244,83,161,177,71,106,-,-,-,384,226,158,160,104,56,147,74,73,57,33,24,20,15,5,-,-,-,-,-,-,-,-,-,-,-,-,226418,109700,116718,5434,2514,2920,16723,6646,10077,36825,19427,17398,167143,80967,86176,293,146,147,-,-,-,-,-,-,-,-,-,346,170,176,318,158,160,28,12,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,22至未滿23歲,100808,56062,44746,24609,14740,9869,5545,2542,3003,10373,5524,4849,36389,19209,17180,23690,13948,9742,130,69,61,63,25,38,9,5,4,178,81,97,9,3,6,1,1,-,6,2,4,13,5,8,31,17,14,46,23,23,63,25,38,9,5,4,263,153,110,106,67,39,101,54,47,41,24,17,14,7,7,1,1,-,-,-,-,-,-,-,-,-,-,77990,42180,35810,2480,1206,1274,5088,2309,2779,10319,5493,4826,36361,19196,17165,23658,13930,9728,84,46,38,-,-,-,-,-,-,22301,13584,8717,21941,13403,8538,352,175,177,7,5,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,76,64,12,73,61,12,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,23至未滿24歲,60715,36274,24441,11562,6845,4717,22843,14061,8782,3594,2017,1577,9142,5010,4132,8867,5563,3304,4667,2761,1906,37,15,22,3,2,1,59,26,33,3,1,2,2,1,1,5,1,4,5,1,4,9,4,5,15,9,6,17,7,10,3,2,1,180,114,66,90,61,29,61,36,25,15,10,5,11,6,5,1,1,-,2,-,2,-,-,-,-,-,-,29938,17232,12706,1622,831,791,2214,1128,1086,3450,1953,1497,9125,5002,4123,8857,5558,3299,4650,2752,1898,20,8,12,-,-,-,30249,18678,11571,9608,5766,3842,20517,12859,7658,123,52,71,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,289,224,65,239,186,53,49,37,12,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,24至未滿25歲,34603,21216,13387,5693,3385,2308,10164,6123,4041,8918,5362,3556,3178,1948,1230,3320,2160,1160,2520,1705,815,806,531,275,4,2,2,15,6,9,1,-,1,-,-,-,3,1,2,2,-,2,3,1,2,3,2,1,2,2,-,1,-,1,171,122,49,84,56,28,75,55,20,6,6,-,6,5,1,-,-,-,-,-,-,-,-,-,-,-,-,14270,8821,5449,1191,613,578,1431,759,672,1866,1125,741,3141,1931,1210,3317,2159,1158,2517,1703,814,804,529,275,3,2,1,19493,11781,7712,3995,2414,1581,8476,5168,3308,6994,4188,2806,28,11,17,-,-,-,-,-,-,-,-,-,-,-,-,654,486,168,422,302,120,182,141,41,49,42,7,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,25至未滿26歲,20909,12420,8489,3908,2135,1773,5160,3069,2091,5033,2910,2123,3613,2104,1509,1402,988,414,1313,915,398,400,254,146,80,45,35,14,7,7,1,1,-,1,-,1,-,-,-,1,1,-,5,3,2,3,1,2,2,1,1,1,-,1,188,121,67,98,64,34,78,47,31,8,7,1,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-,8056,5039,3017,1023,551,472,1057,575,482,1183,703,480,1611,1014,597,1395,984,411,1310,914,396,398,253,145,79,45,34,11767,6600,5167,2434,1278,1156,3644,2160,1484,3717,2099,1618,1971,1063,908,1,-,1,-,-,-,-,-,-,-,-,-,884,653,231,352,241,111,380,287,93,125,101,24,26,23,3,1,1,-,-,-,-,-,-,-,-,-,-
105學年,26至未滿27歲,14562,8252,6310,3228,1720,1508,3529,1919,1610,3247,1860,1387,3124,1765,1359,659,458,201,575,399,176,142,95,47,58,36,22,4,3,1,2,2,-,-,-,-,1,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,186,119,67,85,50,35,85,59,26,7,3,4,5,5,-,4,2,2,-,-,-,-,-,-,-,-,-,4982,3017,1965,793,440,353,880,474,406,859,491,368,1063,655,408,615,429,186,572,397,175,142,95,47,58,36,22,8256,4317,3939,2022,1007,1015,2254,1180,1074,2047,1123,924,1908,993,915,24,14,10,1,-,1,-,-,-,-,-,-,1134,796,338,326,221,105,310,206,104,333,243,90,148,112,36,16,13,3,1,1,-,-,-,-,-,-,-
105學年,27至未滿28歲,10934,6077,4857,2641,1361,1280,2717,1461,1256,2268,1306,962,2470,1387,1083,509,335,174,266,186,80,42,27,15,21,14,7,9,5,4,5,2,3,-,-,-,2,2,-,1,1,-,-,-,-,1,-,1,-,-,-,-,-,-,199,141,58,95,70,25,94,63,31,6,6,-,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,3373,2020,1353,670,344,326,674,380,294,667,400,267,685,434,251,368,245,123,246,176,70,42,27,15,21,14,7,6024,2987,3037,1603,768,835,1659,822,837,1283,678,605,1446,705,741,28,11,17,5,3,2,-,-,-,-,-,-,1329,924,405,268,177,91,290,196,94,310,220,90,334,245,89,113,79,34,14,7,7,-,-,-,-,-,-
105學年,28至未滿29歲,9288,5049,4239,2387,1180,1207,2383,1217,1166,1754,942,812,1873,1078,795,616,437,179,235,169,66,30,19,11,10,7,3,4,1,3,1,-,1,-,-,-,1,-,1,1,-,1,-,-,-,1,1,-,-,-,-,-,-,-,166,107,59,76,51,25,79,49,30,8,6,2,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,2522,1425,1097,578,296,282,554,289,265,461,268,193,523,318,205,246,151,95,128,81,47,22,15,7,10,7,3,5172,2466,2706,1513,688,825,1506,711,795,1035,493,542,1069,553,516,40,17,23,9,4,5,-,-,-,-,-,-,1424,1050,374,219,145,74,244,168,76,249,175,74,277,206,71,330,269,61,97,83,14,8,4,4,-,-,-
105學年,29至未滿30歲,7639,4092,3547,2032,1042,990,2001,959,1042,1333,689,644,1373,796,577,484,305,179,359,256,103,50,38,12,7,7,-,7,2,5,5,2,3,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,130,76,54,54,35,19,66,36,30,7,3,4,2,2,-,1,-,1,-,-,-,-,-,-,-,-,-,2021,1129,892,519,269,250,462,238,224,372,201,171,381,232,149,178,114,64,91,64,27,11,4,7,7,7,-,4091,1923,2168,1217,574,643,1266,552,714,729,344,385,798,426,372,61,22,39,20,5,15,-,-,-,-,-,-,1390,962,428,237,162,75,207,133,74,223,141,82,192,136,56,244,169,75,248,187,61,39,34,5,-,-,-
105學年,30歲以上,109570,56069,53501,34419,16753,17666,30670,14736,15934,16910,8556,8354,13320,7073,6247,6282,3825,2457,4372,2660,1712,3581,2451,1130,16,15,1,55,17,38,43,14,29,2,-,2,4,1,3,2,-,2,2,1,1,2,1,1,-,-,-,-,-,-,2885,1291,1594,1399,639,760,1372,577,795,79,51,28,31,20,11,4,4,-,-,-,-,-,-,-,-,-,-,23213,9407,13806,8212,3107,5105,6847,2573,4274,3946,1615,2331,3050,1427,1623,805,444,361,278,187,91,59,39,20,16,15,1,61777,31049,30728,21514,10837,10677,19293,9583,9710,9710,4818,4892,7282,3693,3589,2579,1471,1108,1333,638,695,66,9,57,-,-,-,21640,14305,7335,3251,2156,1095,3156,2003,1153,3171,2071,1100,2955,1933,1022,2892,1905,987,2759,1834,925,3456,2403,1053,-,-,-
104學年,總計,1332445,660775,671670,342993,174134,168859,324853,163972,160881,295212,141888,153324,279398,132764,146634,27591,9477,18114,5746,3685,2061,4572,3137,1435,52080,31718,20362,89143,21760,67383,18830,4944,13886,17081,4083,12998,17850,4372,13478,17557,4247,13310,16163,3521,12642,-,-,-,-,-,-,1662,593,1069,8323,4230,4093,3939,2045,1894,3845,1878,1967,74,40,34,38,29,9,-,-,-,-,-,-,-,-,-,427,238,189,1035218,519902,515316,248676,126550,122126,239661,120933,118728,248720,121085,127635,243862,118510,125352,5885,2402,3483,1708,1076,632,1384,948,436,45322,28398,16924,170428,94884,75544,66227,37031,29196,59411,33787,25624,24202,13409,10793,13841,7157,6684,1801,988,813,826,411,415,23,5,18,4097,2096,2001,29333,19999,9334,5321,3564,1757,4855,3291,1564,4366,2982,1384,4100,2821,1279,3742,2566,1176,3212,2198,1014,3165,2184,981,572,393,179
104學年,未滿16歲,16578,4229,12349,16559,4223,12336,19,6,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16578,4229,12349,16559,4223,12336,19,6,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,16至未滿17歲,16774,3951,12823,2015,595,1420,14749,3354,11395,10,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16745,3939,12806,1989,584,1405,14746,3353,11393,10,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,12,17,26,11,15,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,17至未滿18歲,18422,4724,13698,1171,537,634,2060,593,1467,15166,3591,11575,24,3,21,1,-,1,-,-,-,-,-,-,-,-,-,17409,4259,13150,188,80,108,2032,586,1446,15164,3590,11574,24,3,21,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1012,464,548,982,456,526,28,7,21,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,18至未滿19歲,206995,98070,108925,187616,93077,94539,1597,701,896,2407,655,1752,15314,3626,11688,60,11,49,-,-,-,-,-,-,1,-,1,17997,4400,13597,49,30,19,201,94,107,2373,640,1733,15313,3625,11688,60,11,49,-,-,-,-,-,-,1,-,1,724,333,391,717,330,387,7,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,188274,93337,94937,186850,92717,94133,1389,604,785,34,15,19,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,19至未滿20歲,237631,114030,123601,40829,21937,18892,179252,87971,91281,1491,583,908,1982,530,1452,14069,3005,11064,-,-,-,-,-,-,8,4,4,16329,3669,12660,23,16,7,44,21,23,222,100,122,1964,524,1440,14069,3005,11064,-,-,-,-,-,-,7,3,4,1816,881,935,544,289,255,1271,591,680,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,219483,109479,110004,40261,21631,18630,177935,87359,90576,1269,483,786,18,6,12,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,1,1,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,20至未滿21歲,231797,112457,119340,9071,5190,3881,40494,21476,19018,177715,84317,93398,1525,621,904,1766,404,1362,-,-,-,-,-,-,1226,449,777,3149,904,2245,7,3,4,17,13,4,51,28,23,201,63,138,1766,404,1362,-,-,-,-,-,-,1107,393,714,812,426,386,227,123,104,470,247,223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115,56,59,227813,111118,116695,8816,5056,3760,40005,21215,18790,177664,84289,93375,1324,558,766,-,-,-,-,-,-,-,-,-,4,-,4,23,9,14,21,8,13,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,21至未滿22歲,228740,112044,116696,3507,2043,1464,9507,5497,4010,42119,21964,20155,172639,82134,90505,248,89,159,-,-,-,-,-,-,720,317,403,665,250,415,7,5,2,9,5,4,12,6,6,33,20,13,194,70,124,-,-,-,-,-,-,410,144,266,472,259,213,136,71,65,220,124,96,8,5,3,-,-,-,-,-,-,-,-,-,-,-,-,108,59,49,227231,111347,115884,3013,1793,1220,9258,5355,3903,42098,21952,20146,172606,82114,90492,54,19,35,-,-,-,-,-,-,202,114,88,369,185,184,348,171,177,20,13,7,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,22至未滿23歲,105045,59081,45964,24004,14886,9118,3562,2115,1447,10348,5654,4694,41921,21600,20321,2594,1141,1453,25,10,15,-,-,-,22591,13675,8916,154,62,92,3,1,2,4,2,2,11,4,7,10,5,5,34,16,18,-,-,-,-,-,-,92,34,58,262,164,98,91,60,31,104,63,41,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,65,40,25,81866,44763,37103,1528,924,604,3079,1861,1218,10330,5648,4682,41910,21594,20316,2560,1125,1435,25,10,15,-,-,-,22434,13601,8833,22711,14052,8659,22331,13862,8469,374,188,186,5,1,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,52,40,12,51,39,12,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,23至未滿24歲,60339,36626,23713,10685,6594,4091,21862,13774,8088,3921,2319,1602,10181,5536,4645,1111,563,548,958,618,340,31,20,11,11590,7202,4388,44,20,24,1,1,-,2,1,1,2,-,2,3,2,1,12,4,8,-,-,-,-,-,-,24,12,12,209,129,80,98,70,28,74,41,33,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-,33,15,18,30263,17837,12426,1008,647,361,1631,1017,614,3833,2272,1561,10174,5531,4643,1099,559,540,958,618,340,31,20,11,11529,7173,4356,29572,18444,11128,9386,5729,3657,20098,12668,7430,80,42,38,4,3,1,-,-,-,-,-,-,-,-,-,4,2,2,251,196,55,192,147,45,57,47,10,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,24至未滿25歲,34942,21560,13382,5327,3281,2046,10021,6270,3751,8507,5127,3380,3923,2214,1709,456,204,252,444,271,173,776,524,252,5488,3669,1819,27,12,15,1,-,1,-,-,-,1,1,-,6,4,2,7,4,3,-,-,-,-,-,-,12,3,9,216,135,81,99,60,39,88,55,33,1,-,1,2,1,1,-,-,-,-,-,-,-,-,-,26,19,7,14680,9090,5590,808,518,290,1074,690,384,2049,1196,853,3892,2200,1692,449,200,249,444,271,173,776,524,252,5188,3491,1697,19421,11861,7560,3982,2372,1610,8728,5419,3309,6427,3906,2521,22,8,14,-,-,-,-,-,-,-,-,-,262,156,106,598,462,136,437,331,106,131,106,25,29,24,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,25至未滿26歲,21894,13151,8743,3610,2041,1569,5108,3145,1963,5510,3276,2234,4171,2386,1785,220,77,143,138,85,53,347,239,108,2790,1902,888,9,3,6,1,1,-,1,-,1,-,-,-,-,-,-,3,1,2,-,-,-,-,-,-,4,1,3,190,131,59,102,75,27,64,40,24,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,19,12,7,8130,5061,3069,635,382,253,762,468,294,1423,829,594,2143,1264,879,215,74,141,138,85,53,347,239,108,2467,1720,747,12658,7297,5361,2524,1339,1185,3899,2361,1538,3925,2323,1602,2010,1105,905,-,-,-,-,-,-,-,-,-,300,169,131,907,659,248,348,244,104,382,276,106,157,120,37,18,17,1,2,2,-,-,-,-,-,-,-,-,-,-
104學年,26至未滿27歲,14376,8252,6124,2780,1520,1260,3251,1892,1359,3270,1930,1340,3394,1840,1554,165,47,118,47,29,18,109,76,33,1360,918,442,11,4,7,-,-,-,1,1,-,1,1,-,1,-,1,6,1,5,-,-,-,-,-,-,2,1,1,191,124,67,116,76,40,66,42,24,6,5,1,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,5012,3062,1950,505,314,191,590,382,208,1005,597,408,1464,820,644,144,38,106,46,28,18,108,75,33,1150,808,342,7981,4229,3752,1855,928,927,2254,1224,1030,1886,1055,831,1781,914,867,1,-,1,-,-,-,-,-,-,204,108,96,1181,833,348,304,202,102,340,243,97,372,272,100,148,106,42,14,8,6,1,1,-,1,1,-,1,-,1
104學年,27至未滿28歲,11301,6348,4953,2448,1307,1141,2532,1396,1136,2239,1304,935,2957,1633,1324,282,164,118,36,20,16,27,17,10,780,507,273,6,2,4,-,-,-,-,-,-,1,-,1,-,-,-,3,1,2,-,-,-,-,-,-,2,1,1,201,133,68,106,70,36,80,56,24,6,-,6,1,1,-,-,-,-,-,-,-,-,-,-,8,6,2,3529,2049,1480,409,251,158,455,294,161,767,417,350,1121,615,506,128,37,91,20,11,9,27,17,10,602,407,195,6160,3114,3046,1661,798,863,1727,856,871,1157,659,498,1446,708,738,2,1,1,2,1,1,-,-,-,165,91,74,1405,1050,355,272,188,84,270,190,80,308,228,80,389,309,80,149,125,24,14,8,6,-,-,-,3,2,1
104學年,28至未滿29歲,8983,4822,4161,2075,1041,1034,1934,997,937,1743,940,803,2054,1098,956,503,311,192,104,75,29,29,19,10,541,341,200,4,2,2,-,-,-,1,-,1,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,1,1,-,135,68,67,81,45,36,40,19,21,8,2,6,1,-,1,-,-,-,-,-,-,-,-,-,5,2,3,2579,1470,1109,308,189,119,333,201,132,611,335,276,787,427,360,128,35,93,13,4,9,22,14,8,377,265,112,4808,2257,2551,1456,655,801,1314,625,689,891,435,456,971,466,505,17,5,12,5,2,3,-,-,-,154,69,85,1457,1025,432,230,152,78,246,152,94,233,168,65,295,205,90,356,270,86,86,69,17,7,5,2,4,4,-
104學年,29至未滿30歲,8053,4383,3670,1814,943,871,1740,905,835,1446,756,690,1755,930,825,488,285,203,315,238,77,74,60,14,421,266,155,2,1,1,-,-,-,1,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,139,83,56,74,48,26,56,28,28,-,-,-,3,2,1,-,-,-,-,-,-,-,-,-,6,5,1,2157,1189,968,258,163,95,252,153,99,515,251,264,680,361,319,143,50,93,22,13,9,14,9,5,273,189,84,4189,1981,2208,1280,592,688,1225,569,656,708,357,351,812,390,422,29,8,21,6,4,2,-,-,-,129,61,68,1566,1129,437,202,140,62,206,155,51,223,148,75,260,177,83,315,226,89,287,221,66,60,51,9,13,11,2
104學年,30歲以上,110575,57047,53528,29482,14919,14563,27165,13880,13285,19320,9470,9850,17558,8613,8945,5628,3176,2452,3679,2339,1340,3179,2182,997,4564,2468,2096,14,4,10,2,-,2,3,1,2,2,-,2,2,1,1,5,2,3,-,-,-,-,-,-,-,-,-,2955,1363,1592,1547,727,820,1305,569,736,34,20,14,31,25,6,-,-,-,-,-,-,-,-,-,38,22,16,23160,9624,13536,3269,1498,1771,2867,1326,1541,7120,2800,4320,7742,3019,4723,965,265,700,42,36,6,59,50,9,1096,630,466,62533,31454,31079,21382,10576,10806,19768,9863,9905,9122,4630,4492,6794,3562,3232,1752,974,778,813,404,409,23,5,18,2879,1440,1439,21913,14602,7311,3282,2118,1164,3222,2121,1101,3042,2020,1022,2989,2006,983,2906,1935,971,2824,1899,925,3097,2127,970,551,376,175
103學年,總計,1339849,666128,673721,344058,174381,169677,327291,165907,161384,301596,145838,155758,278198,132940,145258,28346,9707,18639,5993,3980,2013,4583,3098,1485,49784,30277,19507,89484,21456,68028,17201,4029,13172,18364,4587,13777,18728,4745,13983,17191,3942,13249,16246,3578,12668,-,-,-,-,-,-,1754,575,1179,9786,4846,4940,4731,2396,2335,4400,2077,2323,157,77,80,53,37,16,-,-,-,-,-,-,-,-,-,445,259,186,1037062,522090,514972,250368,126883,123485,239048,121131,117917,252968,123916,129052,242416,118806,123610,6145,2341,3804,1765,1179,586,1312,855,457,43040,26979,16061,172968,96694,76274,66304,37360,28944,60696,34825,25871,25119,13894,11225,14075,7059,7016,1923,1032,891,846,443,403,19,3,16,3986,2078,1908,30549,21042,9507,5454,3713,1741,4783,3287,1496,4624,3206,1418,4463,3096,1367,4032,2756,1276,3382,2358,1024,3252,2240,1012,559,386,173
103學年,未滿16歲,15204,3421,11783,15191,3418,11773,13,3,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15198,3418,11780,15186,3416,11770,12,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,3,5,2,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
