學年別,縣市別,總計計,總計國立,總計直轄市立,總計縣市立,總計私立,初級部計,初級部國立,初級部直轄市立,初級部縣市立,初級部私立,高級部1年級計,高級部1年級國立,高級部1年級直轄市立,高級部1年級縣市立,高級部1年級私立,高級部2年級計,高級部2年級國立,高級部2年級直轄市立,高級部2年級縣市立,高級部2年級私立
98學年,高雄市,48,-,48,-,-,16,-,16,-,-,32,-,32,-,-,-,-,-,-,-
98學年,臺北縣,216,-,-,216,-,85,-,-,85,-,131,-,-,131,-,-,-,-,-,-
98學年,宜蘭縣,25,-,-,25,-,7,-,-,7,-,18,-,-,18,-,-,-,-,-,-
98學年,桃園縣,72,-,-,72,-,24,-,-,24,-,48,-,-,48,-,-,-,-,-,-
98學年,新竹縣,12,-,-,12,-,4,-,-,4,-,8,-,-,8,-,-,-,-,-,-
98學年,苗栗縣,23,-,-,23,-,8,-,-,8,-,15,-,-,15,-,-,-,-,-,-
98學年,臺中縣,52,-,-,52,-,20,-,-,20,-,32,-,-,32,-,-,-,-,-,-
98學年,彰化縣,16,-,-,16,-,1,-,-,1,-,15,-,-,15,-,-,-,-,-,-
98學年,南投縣,16,-,-,16,-,6,-,-,6,-,10,-,-,10,-,-,-,-,-,-
98學年,雲林縣,23,-,-,23,-,10,-,-,10,-,13,-,-,13,-,-,-,-,-,-
98學年,嘉義縣,10,-,-,10,-,3,-,-,3,-,7,-,-,7,-,-,-,-,-,-
98學年,臺南縣,35,-,-,35,-,15,-,-,15,-,20,-,-,20,-,-,-,-,-,-
98學年,高雄縣,33,-,-,33,-,13,-,-,13,-,20,-,-,20,-,-,-,-,-,-
98學年,屏東縣,32,-,-,32,-,10,-,-,10,-,22,-,-,22,-,-,-,-,-,-
98學年,臺東縣,1,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
98學年,花蓮縣,12,-,-,12,-,4,-,-,4,-,8,-,-,8,-,-,-,-,-,-
98學年,澎湖縣,7,-,-,7,-,5,-,-,5,-,2,-,-,2,-,-,-,-,-,-
98學年,基隆市,33,-,-,33,-,13,-,-,13,-,20,-,-,20,-,-,-,-,-,-
98學年,新竹市,11,-,-,11,-,6,-,-,6,-,5,-,-,5,-,-,-,-,-,-
98學年,臺中市,33,-,-,33,-,10,-,-,10,-,23,-,-,23,-,-,-,-,-,-
98學年,嘉義市,3,-,-,3,-,1,-,-,1,-,2,-,-,2,-,-,-,-,-,-
98學年,臺南市,17,-,-,17,-,6,-,-,6,-,11,-,-,11,-,-,-,-,-,-
98學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,833,-,126,707,-,293,-,44,249,-,540,-,82,458,-,-,-,-,-,-
97學年,臺北市,75,-,75,-,-,25,-,25,-,-,50,-,50,-,-,-,-,-,-,-
97學年,高雄市,51,-,51,-,-,19,-,19,-,-,32,-,32,-,-,-,-,-,-,-
97學年,臺北縣,226,-,-,226,-,77,-,-,77,-,149,-,-,149,-,-,-,-,-,-
97學年,宜蘭縣,26,-,-,26,-,9,-,-,9,-,17,-,-,17,-,-,-,-,-,-
97學年,桃園縣,80,-,-,80,-,26,-,-,26,-,54,-,-,54,-,-,-,-,-,-
97學年,新竹縣,10,-,-,10,-,4,-,-,4,-,6,-,-,6,-,-,-,-,-,-
97學年,苗栗縣,23,-,-,23,-,7,-,-,7,-,16,-,-,16,-,-,-,-,-,-
97學年,臺中縣,52,-,-,52,-,18,-,-,18,-,34,-,-,34,-,-,-,-,-,-
97學年,彰化縣,19,-,-,19,-,6,-,-,6,-,13,-,-,13,-,-,-,-,-,-
97學年,南投縣,17,-,-,17,-,5,-,-,5,-,12,-,-,12,-,-,-,-,-,-
97學年,雲林縣,27,-,-,27,-,10,-,-,10,-,17,-,-,17,-,-,-,-,-,-
97學年,嘉義縣,10,-,-,10,-,3,-,-,3,-,7,-,-,7,-,-,-,-,-,-
97學年,臺南縣,37,-,-,37,-,12,-,-,12,-,25,-,-,25,-,-,-,-,-,-
97學年,高雄縣,34,-,-,34,-,14,-,-,14,-,20,-,-,20,-,-,-,-,-,-
97學年,屏東縣,34,-,-,34,-,17,-,-,17,-,17,-,-,17,-,-,-,-,-,-
97學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,花蓮縣,10,-,-,10,-,4,-,-,4,-,6,-,-,6,-,-,-,-,-,-
97學年,澎湖縣,6,-,-,6,-,3,-,-,3,-,3,-,-,3,-,-,-,-,-,-
97學年,基隆市,33,-,-,33,-,12,-,-,12,-,21,-,-,21,-,-,-,-,-,-
97學年,新竹市,11,-,-,11,-,5,-,-,5,-,6,-,-,6,-,-,-,-,-,-
97學年,臺中市,32,-,-,32,-,11,-,-,11,-,21,-,-,21,-,-,-,-,-,-
97學年,嘉義市,3,-,-,3,-,1,-,-,1,-,2,-,-,2,-,-,-,-,-,-
97學年,臺南市,17,-,-,17,-,5,-,-,5,-,12,-,-,12,-,-,-,-,-,-
97學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
