學年別,縣市別,副學士總計計,副學士總計男,副學士總計女,副學士國立計,副學士國立男,副學士國立女,副學士私立計,副學士私立男,副學士私立女,二年制學士總計計,二年制學士總計男,二年制學士總計女,二年制學士國立計,二年制學士國立男,二年制學士國立女,二年制學士私立計,二年制學士私立男,二年制學士私立女
102學年,新竹市,25,13,12,-,-,-,25,13,12,-,-,-,-,-,-,-,-,-
102學年,嘉義市,53,26,27,-,-,-,53,26,27,-,-,-,-,-,-,-,-,-
102學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,7237,3566,3671,983,362,621,6254,3204,3050,6298,3180,3118,1933,1098,835,4365,2082,2283
101學年,新北市,706,355,351,-,-,-,706,355,351,482,203,279,-,-,-,482,203,279
101學年,臺北市,1085,546,539,268,87,181,817,459,358,1027,595,432,478,347,131,549,248,301
101學年,臺中市,920,428,492,715,275,440,205,153,52,1014,524,490,806,375,431,208,149,59
101學年,臺南市,481,315,166,-,-,-,481,315,166,230,128,102,-,-,-,230,128,102
101學年,高雄市,1399,739,660,-,-,-,1399,739,660,1332,769,563,519,288,231,813,481,332
101學年,宜蘭縣,151,83,68,-,-,-,151,83,68,150,86,64,-,-,-,150,86,64
101學年,桃園縣,128,75,53,-,-,-,128,75,53,220,82,138,-,-,-,220,82,138
101學年,新竹縣,50,11,39,-,-,-,50,11,39,70,31,39,-,-,-,70,31,39
101學年,苗栗縣,208,89,119,-,-,-,208,89,119,176,77,99,-,-,-,176,77,99
101學年,彰化縣,515,226,289,-,-,-,515,226,289,133,90,43,-,-,-,133,90,43
101學年,南投縣,147,68,79,-,-,-,147,68,79,97,58,39,-,-,-,97,58,39
101學年,雲林縣,346,128,218,-,-,-,346,128,218,280,128,152,130,88,42,150,40,110
101學年,嘉義縣,221,136,85,-,-,-,221,136,85,235,147,88,-,-,-,235,147,88
101學年,屏東縣,351,158,193,-,-,-,351,158,193,415,168,247,-,-,-,415,168,247
101學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,花蓮縣,-,-,-,-,-,-,-,-,-,41,1,40,-,-,-,41,1,40
101學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,基隆市,416,150,266,-,-,-,416,150,266,396,93,303,-,-,-,396,93,303
101學年,新竹市,52,28,24,-,-,-,52,28,24,-,-,-,-,-,-,-,-,-
101學年,嘉義市,61,31,30,-,-,-,61,31,30,-,-,-,-,-,-,-,-,-
101學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
