學年別,學科類別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立延修生小計,國立延修生男,國立延修生女,直轄市立計小計,直轄市立計男,直轄市立計女,直轄市立1年級小計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級小計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級小計,直轄市立3年級男,直轄市立3年級女,直轄市立延修生小計,直轄市立延修生男,直轄市立延修生女,縣市立計小計,縣市立計男,縣市立計女,縣市立1年級小計,縣市立1年級男,縣市立1年級女,縣市立2年級小計,縣市立2年級男,縣市立2年級女,縣市立3年級小計,縣市立3年級男,縣市立3年級女,縣市立延修生小計,縣市立延修生男,縣市立延修生女,私立計小計,私立計男,私立計女,私立1年級小計,私立1年級男,私立1年級女,私立2年級小計,私立2年級男,私立2年級女,私立3年級小計,私立3年級男,私立3年級女,私立延修生小計,私立延修生男,私立延修生女
101學年,劇藝,2159,1054,1105,832,423,409,750,357,393,573,270,303,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,35,50,85,35,50,-,-,-,-,-,-,-,-,-,2074,1019,1055,747,388,359,750,357,393,573,270,303,4,4,-
100學年,總計,121240,62203,59037,44582,23031,21551,40018,20488,19530,36562,18630,17932,78,54,24,8245,4224,4021,3055,1590,1465,2710,1378,1332,2465,1252,1213,15,4,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,499,198,301,354,130,224,71,35,36,74,33,41,-,-,-,112496,57781,54715,41173,21311,19862,37237,19075,18162,34023,17345,16678,63,50,13
100學年,農業,514,254,260,187,103,84,143,65,78,184,86,98,-,-,-,514,254,260,187,103,84,143,65,78,184,86,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,工業,33979,32200,1779,12119,11404,715,11275,10712,563,10565,10064,501,20,20,-,2818,2509,309,1045,925,120,942,844,98,830,739,91,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31161,29691,1470,11074,10479,595,10333,9868,465,9735,9325,410,19,19,-
100學年,商業,51562,17508,34054,18973,6731,12242,17022,5689,11333,15522,5064,10458,45,24,21,3413,1300,2113,1297,504,793,1127,413,714,975,380,595,14,3,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,499,198,301,354,130,224,71,35,36,74,33,41,-,-,-,47650,16010,31640,17322,6097,11225,15824,5241,10583,14473,4651,9822,31,21,10
100學年,家事,33222,11315,21907,12442,4367,8075,10946,3716,7230,9821,3222,6599,13,10,3,1380,80,1300,487,31,456,456,28,428,437,21,416,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31842,11235,20607,11955,4336,7619,10490,3688,6802,9384,3201,6183,13,10,3
100學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,海事,120,81,39,39,27,12,42,28,14,39,26,13,-,-,-,120,81,39,39,27,12,42,28,14,39,26,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,劇藝,1843,845,998,822,399,423,590,278,312,431,168,263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1843,845,998,822,399,423,590,278,312,431,168,263,-,-,-
99學年,總計,115570,59891,55679,43079,22476,20603,37810,19470,18340,34566,17854,16712,115,91,24,7505,3778,3727,2776,1421,1355,2525,1299,1226,2198,1055,1143,6,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148,69,79,73,35,38,75,34,41,-,-,-,-,-,-,107917,56044,51873,40230,21020,19210,35210,18137,17073,32368,16799,15569,109,88,21
99學年,農業,526,252,274,148,70,78,185,86,99,193,96,97,-,-,-,526,252,274,148,70,78,185,86,99,193,96,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
