學年別,學科類別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
98學年,工業,17370,15836,1534,6247,5694,553,5903,5389,514,5101,4641,460,119,112,7,4808,4394,414,7373,6230,1143,2578,2149,429,2546,2174,372,2173,1837,336,76,70,6,2111,1811,300,768,625,143,232,194,38,272,218,54,264,213,51,-,-,-,243,191,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9229,8981,248,3437,3351,86,3085,2997,88,2664,2591,73,43,42,1,2454,2392,62
98學年,商業,24025,11993,12032,9218,4649,4569,8281,4116,4165,6473,3190,3283,53,38,15,5204,2455,2749,4548,1714,2834,1656,621,1035,1616,646,970,1256,431,825,20,16,4,1083,366,717,632,253,379,272,130,142,219,81,138,134,39,95,7,3,4,116,39,77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18845,10026,8819,7290,3898,3392,6446,3389,3057,5083,2720,2363,26,19,7,4005,2050,1955
98學年,家事,7485,901,6584,3039,484,2555,2488,267,2221,1941,150,1791,17,-,17,1641,100,1541,984,60,924,360,25,335,326,28,298,294,7,287,4,-,4,227,3,224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6501,841,5660,2679,459,2220,2162,239,1923,1647,143,1504,13,-,13,1414,97,1317
98學年,海事,111,80,31,40,30,10,37,23,14,34,27,7,-,-,-,35,24,11,111,80,31,40,30,10,37,23,14,34,27,7,-,-,-,35,24,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,47309,27894,19415,19441,11403,8038,15021,8862,6159,12740,7562,5178,107,67,40,11257,6601,4656,14458,8846,5612,5645,3496,2149,4576,2730,1846,4186,2586,1600,51,34,17,3608,2098,1510,1502,953,549,667,424,243,438,279,159,391,246,145,6,4,2,351,230,121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31349,18095,13254,13129,7483,5646,10007,5853,4154,8163,4730,3433,50,29,21,7298,4273,3025
97學年,農業,1832,801,1031,641,277,364,659,299,360,530,223,307,2,2,-,407,157,250,1703,731,972,559,235,324,612,271,341,530,223,307,2,2,-,407,157,250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129,70,59,82,42,40,47,28,19,-,-,-,-,-,-,-,-,-
97學年,工業,17197,15706,1491,6705,6123,582,5406,4926,480,5034,4609,425,52,48,4,4354,3981,373,7441,6368,1073,2875,2460,415,2296,1949,347,2240,1933,307,30,26,4,1769,1498,271,921,743,178,387,315,72,283,230,53,251,198,53,-,-,-,235,199,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8835,8595,240,3443,3348,95,2827,2747,80,2543,2478,65,22,22,-,2350,2284,66
97學年,商業,21413,10624,10789,9109,4594,4515,6828,3411,3417,5442,2602,2840,34,17,17,4861,2350,2511,4285,1629,2656,1800,745,1055,1323,475,848,1143,403,740,19,6,13,1179,411,768,581,210,371,280,109,171,155,49,106,140,48,92,6,4,2,116,31,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16547,8785,7762,7029,3740,3289,5350,2887,2463,4159,2151,2008,9,7,2,3566,1908,1658
97學年,家事,6758,687,6071,2946,384,2562,2094,199,1895,1699,104,1595,19,-,19,1592,81,1511,920,42,878,371,31,340,311,8,303,238,3,235,-,-,-,210,-,210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5838,645,5193,2575,353,2222,1783,191,1592,1461,101,1360,19,-,19,1382,81,1301
97學年,海事,109,76,33,40,25,15,34,27,7,35,24,11,-,-,-,43,32,11,109,76,33,40,25,15,34,27,7,35,24,11,-,-,-,43,32,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
