學年別,學門別,總計計,總計男,總計女,教授計,教授男,教授女,副教授計,副教授男,副教授女,助理教授計,助理教授男,助理教授女,講師計,講師男,講師女,其他計,其他男,其他女,助教計,助教男,助教女
99學年,農業科學學門,928,693,235,310,266,44,304,220,84,229,158,71,78,46,32,-,-,-,7,3,4
99學年,獸醫學門,117,102,15,50,43,7,33,29,4,26,23,3,7,6,1,-,-,-,1,1,-
99學年,醫藥衛生學門,5832,2793,3039,1100,827,273,1299,799,500,1442,804,638,1425,342,1083,523,20,503,43,1,42
99學年,社會服務學門,849,286,563,89,40,49,200,76,124,358,133,225,191,32,159,10,5,5,1,-,1
99學年,民生學門,2753,1642,1111,238,192,46,690,474,216,968,601,367,719,290,429,134,84,50,4,1,3
99學年,運輸服務學門,262,217,45,42,39,3,89,77,12,84,65,19,35,26,9,3,3,-,9,7,2
99學年,環境保護學門,151,122,29,27,24,3,62,50,12,47,34,13,15,14,1,-,-,-,-,-,-
99學年,軍警國防安全學門,12,12,-,1,1,-,5,5,-,4,4,-,2,2,-,-,-,-,-,-,-
99學年,其他學門,5542,3027,2515,357,289,68,1036,634,402,800,442,358,2039,908,1131,1197,727,470,113,27,86
98學年,總計,50658,33632,17026,9958,8219,1739,14199,10166,4033,13572,8945,4627,10367,5095,5272,2029,1065,964,533,142,391
98學年,教育學門,1686,870,816,536,339,197,633,310,323,402,166,236,100,49,51,6,6,-,9,-,9
98學年,藝術學門,1123,580,543,280,167,113,354,176,178,266,126,140,147,67,80,59,43,16,17,1,16
98學年,人文學門,4565,2073,2492,789,508,281,1243,559,684,1468,622,846,979,351,628,35,25,10,51,8,43
98學年,設計學門,1086,801,285,92,85,7,257,209,48,334,236,98,329,211,118,71,58,13,3,2,1
98學年,社會及行為科學學門,1786,1218,568,535,413,122,613,421,192,569,362,207,42,19,23,4,2,2,23,1,22
98學年,傳播學門,699,432,267,98,56,42,213,129,84,234,151,83,129,77,52,22,19,3,3,-,3
98學年,商業及管理學門,6352,3997,2355,882,754,128,1888,1276,612,2060,1296,764,1438,639,799,37,27,10,47,5,42
98學年,法律學門,528,397,131,158,134,24,172,125,47,172,119,53,20,14,6,5,4,1,1,1,-
98學年,生命科學學門,1194,816,378,360,265,95,319,215,104,460,321,139,35,8,27,1,-,1,19,7,12
98學年,自然科學學門,1276,1075,201,600,535,65,334,290,44,274,222,52,34,15,19,2,2,-,32,11,21
98學年,數學及統計學門,787,616,171,276,232,44,295,228,67,171,124,47,34,26,8,2,2,-,9,4,5
98學年,電算機學門,2155,1728,427,223,196,27,578,491,87,750,631,119,582,397,185,11,11,-,11,2,9
98學年,工程學門,10450,9620,830,2885,2769,116,3512,3269,243,2482,2244,238,1444,1255,189,38,38,-,89,45,44
98學年,建築及都市規劃學門,571,458,113,72,67,5,192,161,31,160,116,44,133,103,30,11,11,-,3,-,3
98學年,農業科學學門,944,702,242,309,266,43,304,215,89,231,165,66,89,51,38,1,1,-,10,4,6
98學年,獸醫學門,114,99,15,48,42,6,34,31,3,22,17,5,9,8,1,1,1,-,-,-,-
98學年,醫藥衛生學門,5485,2767,2718,1043,786,257,1234,786,448,1351,778,573,1499,398,1101,315,16,299,43,3,40
98學年,社會服務學門,861,300,561,90,42,48,204,83,121,349,134,215,209,36,173,7,5,2,2,-,2
98學年,民生學門,2481,1498,983,226,182,44,584,408,176,842,535,307,711,307,404,114,66,48,4,-,4
98學年,運輸服務學門,257,215,42,37,35,2,86,74,12,84,67,17,39,30,9,2,2,-,9,7,2
98學年,環境保護學門,157,133,24,31,29,2,53,44,9,53,42,11,20,18,2,-,-,-,-,-,-
98學年,軍警國防安全學門,12,12,-,1,1,-,4,4,-,4,4,-,3,3,-,-,-,-,-,-,-
98學年,其他學門,6089,3225,2864,387,316,71,1093,662,431,834,467,367,2342,1013,1329,1285,726,559,148,41,107
97學年,總計,51501,33816,17685,9657,8010,1647,13782,9936,3846,12875,8616,4259,11390,5689,5701,1906,1094,812,1891,471,1420
