學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
105學年,基隆市,43,31,12,-,-,-,-,-,-,42,31,11,1,-,1,11,8,3,-,-,-,-,-,-,11,8,3,-,-,-
105學年,新竹市,32,16,16,1,-,1,-,-,-,29,16,13,2,-,2,13,7,6,-,-,-,-,-,-,12,6,6,1,1,-
105學年,嘉義市,20,11,9,1,-,1,-,-,-,19,11,8,-,-,-,8,6,2,-,-,-,-,-,-,8,6,2,-,-,-
105學年,金門縣,19,13,6,-,-,-,-,-,-,19,13,6,-,-,-,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-
105學年,連江縣,8,6,2,-,-,-,-,-,-,8,6,2,-,-,-,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-
104學年,總計,2633,1840,793,9,7,2,1213,819,394,1377,997,380,34,17,17,733,488,245,-,-,-,386,250,136,334,227,107,13,11,2
104學年,新北市,213,153,60,-,-,-,208,151,57,-,-,-,5,2,3,62,36,26,-,-,-,62,36,26,-,-,-,-,-,-
104學年,臺北市,150,81,69,2,1,1,139,77,62,-,-,-,9,3,6,61,33,28,-,-,-,59,32,27,-,-,-,2,1,1
104學年,桃園市,190,115,75,-,-,-,186,113,73,-,-,-,4,2,2,58,37,21,-,-,-,57,36,21,-,-,-,1,1,-
104學年,臺中市,235,162,73,1,1,-,229,158,71,-,-,-,5,3,2,72,45,27,-,-,-,71,44,27,-,-,-,1,1,-
104學年,臺南市,211,163,48,1,1,-,209,161,48,-,-,-,1,1,-,60,49,11,-,-,-,58,48,10,-,-,-,2,1,1
104學年,高雄市,242,159,83,-,-,-,242,159,83,-,-,-,-,-,-,79,54,25,-,-,-,79,54,25,-,-,-,-,-,-
104學年,宜蘭縣,76,65,11,-,-,-,-,-,-,76,65,11,-,-,-,24,17,7,-,-,-,-,-,-,24,17,7,-,-,-
104學年,新竹縣,85,52,33,-,-,-,-,-,-,83,51,32,2,1,1,28,11,17,-,-,-,-,-,-,27,10,17,1,1,-
104學年,苗栗縣,117,79,38,-,-,-,-,-,-,117,79,38,-,-,-,30,23,7,-,-,-,-,-,-,30,23,7,-,-,-
104學年,彰化縣,175,128,47,-,-,-,-,-,-,175,128,47,-,-,-,36,25,11,-,-,-,-,-,-,36,25,11,-,-,-
