學年別,洲別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
104學年,美洲,215,186,29,106,94,12,2,2,-,107,90,17,54,49,5,45,44,1,-,-,-,9,5,4,20,18,2,12,10,2,-,-,-,8,8,-,42,36,6,17,15,2,1,1,-,24,20,4,85,71,14,27,22,5,1,1,-,57,48,9,14,12,2,5,3,2,-,-,-,9,9,-
103學年,總計,773,535,238,306,222,84,6,5,1,461,308,153,100,87,13,67,60,7,1,1,-,32,26,6,54,41,13,29,22,7,-,-,-,25,19,6,127,92,35,57,38,19,2,2,-,68,52,16,432,273,159,137,90,47,3,2,1,292,181,111,60,42,18,16,12,4,-,-,-,44,30,14
103學年,亞洲,396,227,169,151,90,61,2,1,1,243,136,107,29,26,3,19,17,2,-,-,-,10,9,1,18,12,6,11,7,4,-,-,-,7,5,2,57,33,24,26,11,15,-,-,-,31,22,9,260,135,125,85,47,38,2,1,1,173,87,86,32,21,11,10,8,2,-,-,-,22,13,9
103學年,大洋洲,17,14,3,4,2,2,-,-,-,13,12,1,4,2,2,2,-,2,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,1,1,-,-,-,-,5,5,-,5,4,1,-,-,-,-,-,-,5,4,1,2,2,-,1,1,-,-,-,-,1,1,-
103學年,非洲,6,6,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,3,3,-,-,-,-,-,-,-,3,3,-,2,2,-,-,-,-,-,-,-,2,2,-
103學年,歐洲,146,113,33,51,44,7,2,2,-,93,67,26,18,17,1,7,7,-,1,1,-,10,9,1,12,10,2,5,5,-,-,-,-,7,5,2,28,23,5,14,12,2,1,1,-,13,10,3,77,56,21,25,20,5,-,-,-,52,36,16,11,7,4,-,-,-,-,-,-,11,7,4
103學年,美洲,208,175,33,100,86,14,2,2,-,106,87,19,49,42,7,39,36,3,-,-,-,10,6,4,24,19,5,13,10,3,-,-,-,11,9,2,35,29,6,16,14,2,1,1,-,18,14,4,87,75,12,27,23,4,1,1,-,59,51,8,13,10,3,5,3,2,-,-,-,8,7,1
102學年,總計,796,570,226,350,265,85,2,2,-,444,303,141,128,118,10,83,76,7,1,1,-,44,41,3,49,34,15,27,18,9,-,-,-,22,16,6,114,80,34,63,44,19,-,-,-,51,36,15,444,295,149,159,113,46,1,1,-,284,181,103,61,43,18,18,14,4,-,-,-,43,29,14
102學年,亞洲,403,249,154,181,122,59,-,-,-,222,127,95,40,39,1,26,25,1,-,-,-,14,14,-,15,8,7,9,4,5,-,-,-,6,4,2,56,33,23,31,18,13,-,-,-,25,15,10,262,152,110,103,67,36,-,-,-,159,85,74,30,17,13,12,8,4,-,-,-,18,9,9
102學年,大洋洲,17,16,1,2,1,1,-,-,-,15,15,-,5,4,1,1,-,1,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,8,8,-,-,-,-,-,-,-,8,8,-,3,3,-,1,1,-,-,-,-,2,2,-
102學年,非洲,8,7,1,1,1,-,-,-,-,7,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,4,4,-,3,2,1,-,-,-,-,-,-,3,2,1
102學年,歐洲,144,111,33,58,51,7,1,1,-,85,59,26,24,23,1,11,11,-,1,1,-,12,11,1,9,7,2,4,4,-,-,-,-,5,3,2,26,22,4,16,14,2,-,-,-,10,8,2,72,49,23,24,19,5,-,-,-,48,30,18,13,10,3,3,3,-,-,-,-,10,7,3
102學年,美洲,224,187,37,108,90,18,1,1,-,115,96,19,59,52,7,45,40,5,-,-,-,14,12,2,25,19,6,14,10,4,-,-,-,11,9,2,30,23,7,15,11,4,-,-,-,15,12,3,98,82,16,32,27,5,1,1,-,65,54,11,12,11,1,2,2,-,-,-,-,10,9,1
101學年,總計,769,552,217,313,237,76,5,4,1,451,311,140,118,106,12,75,69,6,1,1,-,42,36,6,48,34,14,29,22,7,-,-,-,19,12,7,109,76,33,49,34,15,1,1,-,59,41,18,424,283,141,138,96,42,3,2,1,283,185,98,70,53,17,22,16,6,-,-,-,48,37,11
101學年,亞洲,394,244,150,164,108,56,2,1,1,228,135,93,38,34,4,27,24,3,-,-,-,11,10,1,15,10,5,12,8,4,-,-,-,3,2,1,65,40,25,28,18,10,-,-,-,37,22,15,241,138,103,82,49,33,2,1,1,157,88,69,35,22,13,15,9,6,-,-,-,20,13,7
101學年,大洋洲,21,21,-,6,6,-,-,-,-,15,15,-,5,5,-,2,2,-,-,-,-,3,3,-,1,1,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,8,8,-,1,1,-,-,-,-,7,7,-,5,5,-,2,2,-,-,-,-,3,3,-
