學年別,等級別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立4年級小計,國立4年級男,國立4年級女,國立5年級小計,國立5年級男,國立5年級女,國立6年級小計,國立6年級男,國立6年級女,國立7年級小計,國立7年級男,國立7年級女,國立延修生小計,國立延修生男,國立延修生女,直轄市立計小計,直轄市立計男,直轄市立計女,直轄市立1年級小計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級小計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級小計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級小計,直轄市立4年級男,直轄市立4年級女,直轄市立5年級小計,直轄市立5年級男,直轄市立5年級女,直轄市立6年級小計,直轄市立6年級男,直轄市立6年級女,直轄市立7年級小計,直轄市立7年級男,直轄市立7年級女,直轄市立延修生小計,直轄市立延修生男,直轄市立延修生女,私立計小計,私立計男,私立計女,私立1年級小計,私立1年級男,私立1年級女,私立2年級小計,私立2年級男,私立2年級女,私立3年級小計,私立3年級男,私立3年級女,私立4年級小計,私立4年級男,私立4年級女,私立5年級小計,私立5年級男,私立5年級女,私立6年級小計,私立6年級男,私立6年級女,私立7年級小計,私立7年級男,私立7年級女,私立延修生小計,私立延修生男,私立延修生女
102學年,博士班,28246,19370,8876,4661,3141,1520,4362,2991,1371,4408,3034,1374,4279,2937,1342,3912,2730,1182,3101,2103,998,3035,2107,928,488,327,161,22104,15401,6703,3553,2427,1126,3415,2376,1039,3461,2411,1050,3436,2387,1049,3159,2234,925,2517,1734,783,2432,1733,699,131,99,32,218,93,125,35,9,26,36,15,21,31,13,18,31,18,13,24,10,14,27,12,15,34,16,18,-,-,-,5924,3876,2048,1073,705,368,911,600,311,916,610,306,812,532,280,729,486,243,557,357,200,569,358,211,357,228,129
101學年,總計,682787,353785,329002,185098,96830,88268,175399,90769,84630,142261,70737,71524,129960,63719,66241,9666,5635,4031,5787,3820,1967,4214,2888,1326,30402,19387,11015,299124,165080,134044,83024,46478,36546,79812,44188,35624,60542,31859,28683,53566,28043,25523,5278,3259,2019,3467,2349,1118,2732,1936,796,10703,6968,3735,7113,2987,4126,1916,812,1104,1856,766,1090,1520,612,908,1439,577,862,48,21,27,56,20,36,40,21,19,238,158,80,376550,185718,190832,100158,49540,50618,93731,45815,47916,80199,38266,41933,74955,35099,39856,4340,2355,1985,2264,1451,813,1442,931,511,19461,12261,7200
101學年,五專(含七年),245,81,164,82,26,56,79,25,54,84,30,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,245,81,164,82,26,56,79,25,54,84,30,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,二專,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,學士後學士學位,198,132,66,158,99,59,38,32,6,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,111,86,25,95,70,25,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87,46,41,63,29,34,22,16,6,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
101學年,大學二年制(含二技),3506,1025,2481,-,-,-,-,-,-,1439,476,963,1544,446,1098,314,19,295,-,-,-,-,-,-,209,84,125,638,276,362,-,-,-,-,-,-,273,106,167,253,113,140,-,-,-,-,-,-,-,-,-,112,57,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2868,749,2119,-,-,-,-,-,-,1166,370,796,1291,333,958,314,19,295,-,-,-,-,-,-,97,27,70
101學年,大學四年制(含四技),504063,252917,251146,125795,62804,62991,120176,59365,60811,115990,57031,58959,111922,54504,57418,3839,2094,1745,1738,1126,612,1269,864,405,23334,15129,8205,180117,96222,83895,43729,23465,20264,42879,22650,20229,41953,22053,19900,41782,21809,19973,964,511,453,421,288,133,306,222,84,8083,5224,2859,4754,2154,2600,1176,535,641,1133,506,627,1089,491,598,1128,470,658,-,-,-,-,-,-,-,-,-,228,152,76,319192,154541,164651,80890,38804,42086,76164,36209,39955,72948,34487,38461,69012,32225,36787,2875,1583,1292,1317,838,479,963,642,321,15023,9753,5270
101學年,碩士班,145245,79240,66005,54081,30485,23596,50417,28116,22301,20023,9926,10097,12141,5735,6406,1751,945,806,831,462,369,23,5,18,5978,3566,2412,94638,52016,42622,35225,20209,15016,33160,18922,14238,14443,7006,7437,7880,3541,4339,1155,566,589,357,173,184,23,5,18,2395,1594,801,2131,727,1404,700,258,442,690,246,444,403,106,297,279,94,185,17,7,10,32,10,22,-,-,-,10,6,4,48476,26497,21979,18156,10018,8138,16567,8948,7619,5177,2814,2363,3982,2100,1882,579,372,207,442,279,163,-,-,-,3573,1966,1607
101學年,博士班,29530,20390,9140,4982,3416,1566,4689,3231,1458,4724,3273,1451,4353,3034,1319,3762,2577,1185,3218,2232,986,2922,2019,903,880,608,272,23375,16399,6976,3893,2708,1185,3678,2575,1103,3789,2664,1125,3651,2580,1071,3159,2182,977,2689,1888,801,2403,1709,694,113,93,20,228,106,122,40,19,21,33,14,19,28,15,13,32,13,19,31,14,17,24,10,14,40,21,19,-,-,-,5927,3885,2042,1049,689,360,978,642,336,907,594,313,670,441,229,572,381,191,505,334,171,479,289,190,767,515,252
100學年,總計,683253,353879,329374,182369,94762,87607,175683,91404,84279,142498,70793,71705,133309,65580,67729,9881,5811,4070,5624,3713,1911,4115,2867,1248,29774,18949,10825,300540,165013,135527,82777,45921,36856,81207,44850,36357,60911,31840,29071,53003,27638,25365,5429,3469,1960,3334,2221,1113,2624,1908,716,11255,7166,4089,7053,2945,4108,1922,819,1103,1859,763,1096,1495,600,895,1431,571,860,60,27,33,62,23,39,36,20,16,188,122,66,375660,185921,189739,97670,48022,49648,92617,45791,46826,80092,38353,41739,78875,37371,41504,4392,2315,2077,2228,1469,759,1455,939,516,18331,11661,6670
