學年別,等級別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立4年級小計,國立4年級男,國立4年級女,國立5年級小計,國立5年級男,國立5年級女,國立6年級小計,國立6年級男,國立6年級女,國立7年級小計,國立7年級男,國立7年級女,國立延修生小計,國立延修生男,國立延修生女,直轄市立計小計,直轄市立計男,直轄市立計女,直轄市立1年級小計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級小計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級小計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級小計,直轄市立4年級男,直轄市立4年級女,直轄市立5年級小計,直轄市立5年級男,直轄市立5年級女,直轄市立6年級小計,直轄市立6年級男,直轄市立6年級女,直轄市立7年級小計,直轄市立7年級男,直轄市立7年級女,直轄市立延修生小計,直轄市立延修生男,直轄市立延修生女,私立計小計,私立計男,私立計女,私立1年級小計,私立1年級男,私立1年級女,私立2年級小計,私立2年級男,私立2年級女,私立3年級小計,私立3年級男,私立3年級女,私立4年級小計,私立4年級男,私立4年級女,私立5年級小計,私立5年級男,私立5年級女,私立6年級小計,私立6年級男,私立6年級女,私立7年級小計,私立7年級男,私立7年級女,私立延修生小計,私立延修生男,私立延修生女
98學年,大學四年制(含四技),499520,252162,247358,118460,59450,59010,120813,60358,60455,118615,58649,59966,112227,54545,57682,4605,2398,2207,1731,1108,623,1409,967,442,21660,14687,6973,174538,92607,81931,42864,22834,20030,42839,22624,20215,40699,21307,19392,38406,19604,18802,1800,858,942,389,261,128,302,222,80,7239,4897,2342,4494,2016,2478,1130,494,636,1087,464,623,1045,464,581,997,435,562,-,-,-,-,-,-,-,-,-,235,159,76,320488,157539,162949,74466,36122,38344,76887,37270,39617,76871,36878,39993,72824,34506,38318,2805,1540,1265,1342,847,495,1107,745,362,14186,9631,4555
98學年,碩士班,148634,81551,67083,55198,30568,24630,52589,29443,23146,22606,11989,10617,12310,6315,5995,1713,948,765,738,401,337,25,6,19,3455,1881,1574,95301,51782,43519,35626,19788,15838,34208,19119,15089,15148,7828,7320,7417,3626,3791,1003,482,521,379,169,210,11,2,9,1509,768,741,2230,767,1463,823,282,541,737,265,472,396,131,265,194,61,133,28,6,22,26,10,16,14,4,10,12,8,4,51103,29002,22101,18749,10498,8251,17644,10059,7585,7062,4030,3032,4699,2628,2071,682,460,222,333,222,111,-,-,-,1934,1105,829
98學年,博士班,30965,21936,9029,6134,4347,1787,5244,3628,1616,5198,3670,1528,4620,3276,1344,3963,2853,1110,2950,2113,837,2373,1734,639,483,315,168,25194,18100,7094,4974,3562,1412,4257,2981,1276,4199,3007,1192,3891,2796,1095,3314,2423,891,2443,1780,663,1921,1435,486,195,116,79,177,86,91,38,19,19,36,17,19,30,16,14,27,10,17,18,9,9,15,9,6,13,6,7,-,-,-,5594,3750,1844,1122,766,356,951,630,321,969,647,322,702,470,232,631,421,210,492,324,168,439,293,146,288,199,89
97學年,總計,685090,357648,327442,183664,96708,86956,180302,95420,84882,147633,74042,73591,129267,63487,65780,11818,6335,5483,5048,3478,1570,3539,2529,1010,23819,15649,8170,291108,160937,130171,83819,46428,37391,80531,45009,35522,59040,31246,27794,48619,25963,22656,6400,3853,2547,2979,2106,873,2070,1527,543,7650,4805,2845,6647,2741,3906,1889,766,1123,1820,756,1064,1462,594,868,1079,393,686,49,23,26,44,20,24,7,5,2,297,184,113,387335,193970,193365,97956,49514,48442,97951,49655,48296,87131,42202,44929,79569,37131,42438,5369,2459,2910,2025,1352,673,1462,997,465,15872,10660,5212
97學年,五專(含七年),220,68,152,78,26,52,68,16,52,74,26,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,68,152,78,26,52,68,16,52,74,26,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,二專,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,學士後學士學位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,大學二年制(含二技),9018,2275,6743,-,-,-,-,-,-,3145,803,2342,3909,1104,2805,1454,163,1291,-,-,-,-,-,-,510,205,305,1378,548,830,-,-,-,-,-,-,362,145,217,652,266,386,86,12,74,-,-,-,-,-,-,278,125,153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7640,1727,5913,-,-,-,-,-,-,2783,658,2125,3257,838,2419,1368,151,1217,-,-,-,-,-,-,232,80,152
97學年,大學四年制(含四技),497608,250983,246625,122053,61352,60701,121949,61170,60779,115598,56881,58717,108536,52624,55912,5017,2556,2461,1696,1141,555,1422,965,457,21337,14294,7043,170717,90310,80407,43140,22895,20245,41834,22112,19722,39135,20149,18986,37328,19435,17893,2146,999,1147,391,273,118,306,223,83,6437,4224,2213,4383,1943,2440,1098,474,624,1079,485,594,1012,447,565,900,355,545,-,-,-,-,-,-,-,-,-,294,182,112,322508,158730,163778,77815,37983,39832,79036,38573,40463,75451,36285,39166,70308,32834,37474,2871,1557,1314,1305,868,437,1116,742,374,14606,9888,4718
97學年,碩士班,148032,82744,65288,55766,31319,24447,52526,30193,22333,23694,12654,11040,11833,6168,5665,1591,905,686,634,351,283,18,6,12,1970,1148,822,94088,52106,41982,35910,20194,15716,33840,19483,14357,15292,7889,7403,6811,3426,3385,980,523,457,304,131,173,18,6,12,933,454,479,2125,730,1395,755,275,480,714,256,458,425,137,288,158,28,130,33,14,19,37,18,19,-,-,-,3,2,1,51819,29908,21911,19101,10850,8251,17972,10454,7518,7977,4628,3349,4864,2714,2150,578,368,210,293,202,91,-,-,-,1034,692,342
97學年,博士班,30210,21576,8634,5767,4011,1756,5759,4041,1718,5122,3678,1444,4989,3591,1398,3756,2711,1045,2718,1986,732,2099,1558,541,-,-,-,24703,17903,6800,4691,3313,1378,4789,3398,1391,4177,3037,1140,3828,2836,992,3188,2319,869,2284,1702,582,1746,1298,448,-,-,-,139,68,71,36,17,19,27,15,12,25,10,15,21,10,11,16,9,7,7,2,5,7,5,2,-,-,-,5368,3605,1763,1040,681,359,943,628,315,920,631,289,1140,745,395,552,383,169,427,282,145,346,255,91,-,-,-
""
