學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
105學年,基隆市,159,34,125,-,-,-,-,-,-,150,33,117,9,1,8,102,22,80,-,-,-,-,-,-,102,22,80,-,-,-
105學年,新竹市,183,21,162,14,2,12,-,-,-,164,19,145,5,-,5,130,19,111,-,-,-,-,-,-,122,17,105,8,2,6
105學年,嘉義市,75,10,65,5,1,4,-,-,-,70,9,61,-,-,-,90,14,76,-,-,-,-,-,-,90,14,76,-,-,-
105學年,金門縣,58,17,41,-,-,-,-,-,-,58,17,41,-,-,-,48,21,27,-,-,-,-,-,-,48,21,27,-,-,-
105學年,連江縣,6,4,2,-,-,-,-,-,-,6,4,2,-,-,-,27,11,16,-,-,-,-,-,-,27,11,16,-,-,-
104學年,總計,8936,1458,7478,57,12,45,5257,797,4460,3372,606,2766,250,43,207,6659,1375,5284,-,-,-,4105,768,3337,2438,565,1873,116,42,74
104學年,新北市,989,129,860,-,-,-,955,126,829,-,-,-,34,3,31,633,101,532,-,-,-,633,101,532,-,-,-,-,-,-
104學年,臺北市,1144,223,921,9,2,7,1068,206,862,-,-,-,67,15,52,995,157,838,-,-,-,976,151,825,-,-,-,19,6,13
104學年,桃園市,615,88,527,-,-,-,597,84,513,-,-,-,18,4,14,616,134,482,-,-,-,605,129,476,-,-,-,11,5,6
104學年,臺中市,1007,138,869,5,1,4,969,130,839,-,-,-,33,7,26,695,142,553,-,-,-,688,139,549,-,-,-,7,3,4
104學年,臺南市,751,110,641,9,2,7,733,108,625,-,-,-,9,-,9,484,86,398,-,-,-,470,80,390,-,-,-,14,6,8
104學年,高雄市,947,144,803,-,-,-,935,143,792,-,-,-,12,1,11,733,168,565,-,-,-,733,168,565,-,-,-,-,-,-
104學年,宜蘭縣,246,44,202,-,-,-,-,-,-,243,44,199,3,-,3,202,56,146,-,-,-,-,-,-,202,56,146,-,-,-
104學年,新竹縣,265,34,231,-,-,-,-,-,-,259,34,225,6,-,6,195,32,163,-,-,-,-,-,-,190,31,159,5,1,4
104學年,苗栗縣,290,55,235,-,-,-,-,-,-,290,55,235,-,-,-,157,22,135,-,-,-,-,-,-,157,22,135,-,-,-
104學年,彰化縣,454,96,358,-,-,-,-,-,-,454,96,358,-,-,-,374,95,279,-,-,-,-,-,-,374,95,279,-,-,-
104學年,南投縣,254,39,215,-,-,-,-,-,-,233,34,199,21,5,16,215,48,167,-,-,-,-,-,-,204,43,161,11,5,6
104學年,雲林縣,354,50,304,-,-,-,-,-,-,331,43,288,23,7,16,272,61,211,-,-,-,-,-,-,242,51,191,30,10,20
104學年,嘉義縣,269,44,225,-,-,-,-,-,-,269,44,225,-,-,-,128,21,107,-,-,-,-,-,-,128,21,107,-,-,-
104學年,屏東縣,364,55,309,5,3,2,-,-,-,359,52,307,-,-,-,215,50,165,-,-,-,-,-,-,203,45,158,12,5,7
104學年,臺東縣,225,69,156,6,1,5,-,-,-,219,68,151,-,-,-,141,44,97,-,-,-,-,-,-,141,44,97,-,-,-
104學年,花蓮縣,261,52,209,4,1,3,-,-,-,245,51,194,12,-,12,155,49,106,-,-,-,-,-,-,155,49,106,-,-,-
104學年,澎湖縣,29,4,25,-,-,-,-,-,-,29,4,25,-,-,-,50,18,32,-,-,-,-,-,-,50,18,32,-,-,-
104學年,基隆市,156,32,124,-,-,-,-,-,-,147,31,116,9,1,8,108,22,86,-,-,-,-,-,-,108,22,86,-,-,-
104學年,新竹市,179,21,158,14,1,13,-,-,-,162,20,142,3,-,3,131,19,112,-,-,-,-,-,-,124,18,106,7,1,6
104學年,嘉義市,75,9,66,5,1,4,-,-,-,70,8,62,-,-,-,88,16,72,-,-,-,-,-,-,88,16,72,-,-,-
104學年,金門縣,53,16,37,-,-,-,-,-,-,53,16,37,-,-,-,48,24,24,-,-,-,-,-,-,48,24,24,-,-,-
104學年,連江縣,9,6,3,-,-,-,-,-,-,9,6,3,-,-,-,24,10,14,-,-,-,-,-,-,24,10,14,-,-,-
103學年,總計,8805,1408,7397,60,13,47,4553,672,3881,3949,676,3273,243,47,196,6717,1382,5335,-,-,-,3487,613,2874,3091,718,2373,139,51,88
103學年,新北市,951,127,824,-,-,-,917,124,793,-,-,-,34,3,31,614,99,515,-,-,-,609,97,512,-,-,-,5,2,3
103學年,臺北市,1118,221,897,10,3,7,1048,201,847,-,-,-,60,17,43,1007,159,848,-,-,-,982,151,831,-,-,-,25,8,17
103學年,臺中市,976,137,839,5,1,4,937,129,808,-,-,-,34,7,27,676,132,544,-,-,-,672,130,542,-,-,-,4,2,2
103學年,臺南市,753,105,648,9,2,7,735,103,632,-,-,-,9,-,9,498,89,409,-,-,-,484,83,401,-,-,-,14,6,8
103學年,高雄市,929,116,813,-,-,-,916,115,801,-,-,-,13,1,12,744,154,590,-,-,-,740,152,588,-,-,-,4,2,2
103學年,宜蘭縣,244,49,195,-,-,-,-,-,-,244,49,195,-,-,-,216,61,155,-,-,-,-,-,-,216,61,155,-,-,-
103學年,桃園縣,605,84,521,-,-,-,-,-,-,589,81,508,16,3,13,621,132,489,-,-,-,-,-,-,611,129,482,10,3,7
103學年,新竹縣,250,33,217,-,-,-,-,-,-,247,33,214,3,-,3,203,34,169,-,-,-,-,-,-,197,32,165,6,2,4
103學年,苗栗縣,297,51,246,-,-,-,-,-,-,297,51,246,-,-,-,161,30,131,-,-,-,-,-,-,161,30,131,-,-,-
103學年,彰化縣,440,89,351,-,-,-,-,-,-,440,89,351,-,-,-,373,92,281,-,-,-,-,-,-,373,92,281,-,-,-
103學年,南投縣,254,38,216,-,-,-,-,-,-,229,33,196,25,5,20,220,51,169,-,-,-,-,-,-,212,47,165,8,4,4
103學年,雲林縣,357,56,301,-,-,-,-,-,-,334,46,288,23,10,13,272,63,209,-,-,-,-,-,-,240,54,186,32,9,23
103學年,嘉義縣,272,41,231,-,-,-,-,-,-,272,41,231,-,-,-,136,28,108,-,-,-,-,-,-,136,28,108,-,-,-
103學年,屏東縣,365,53,312,5,3,2,-,-,-,360,50,310,-,-,-,218,49,169,-,-,-,-,-,-,206,44,162,12,5,7
103學年,臺東縣,232,69,163,6,1,5,-,-,-,226,68,158,-,-,-,149,50,99,-,-,-,-,-,-,137,43,94,12,7,5
103學年,花蓮縣,265,56,209,5,1,4,-,-,-,248,55,193,12,-,12,154,50,104,-,-,-,-,-,-,154,50,104,-,-,-
103學年,澎湖縣,21,3,18,-,-,-,-,-,-,21,3,18,-,-,-,50,20,30,-,-,-,-,-,-,50,20,30,-,-,-
103學年,基隆市,158,32,126,-,-,-,-,-,-,149,31,118,9,1,8,110,24,86,-,-,-,-,-,-,110,24,86,-,-,-
103學年,新竹市,181,20,161,15,1,14,-,-,-,161,19,142,5,-,5,130,19,111,-,-,-,-,-,-,123,18,105,7,1,6
103學年,嘉義市,76,7,69,5,1,4,-,-,-,71,6,65,-,-,-,91,13,78,-,-,-,-,-,-,91,13,78,-,-,-
103學年,金門縣,55,16,39,-,-,-,-,-,-,55,16,39,-,-,-,49,23,26,-,-,-,-,-,-,49,23,26,-,-,-
103學年,連江縣,6,5,1,-,-,-,-,-,-,6,5,1,-,-,-,25,10,15,-,-,-,-,-,-,25,10,15,-,-,-
102學年,總計,8621,1397,7224,61,15,46,4407,659,3748,3873,670,3203,280,53,227,6592,1360,5232,-,-,-,3453,610,2843,3031,714,2317,108,36,72
102學年,新北市,915,122,793,-,-,-,877,118,759,-,-,-,38,4,34,592,98,494,-,-,-,587,96,491,-,-,-,5,2,3
102學年,臺北市,1129,220,909,12,4,8,1049,199,850,-,-,-,68,17,51,1008,156,852,-,-,-,995,152,843,-,-,-,13,4,9
102學年,臺中市,927,131,796,5,1,4,887,124,763,-,-,-,35,6,29,659,131,528,-,-,-,658,130,528,-,-,-,1,1,-
102學年,臺南市,738,105,633,9,2,7,720,103,617,-,-,-,9,-,9,484,80,404,-,-,-,472,75,397,-,-,-,12,5,7
102學年,高雄市,887,116,771,-,-,-,874,115,759,-,-,-,13,1,12,743,158,585,-,-,-,741,157,584,-,-,-,2,1,1
102學年,宜蘭縣,250,56,194,-,-,-,-,-,-,247,55,192,3,1,2,208,52,156,-,-,-,-,-,-,208,52,156,-,-,-
102學年,桃園縣,608,87,521,-,-,-,-,-,-,583,81,502,25,6,19,586,125,461,-,-,-,-,-,-,586,125,461,-,-,-
102學年,新竹縣,238,35,203,-,-,-,-,-,-,235,35,200,3,-,3,202,34,168,-,-,-,-,-,-,195,32,163,7,2,5
102學年,苗栗縣,304,49,255,-,-,-,-,-,-,304,49,255,-,-,-,151,32,119,-,-,-,-,-,-,151,32,119,-,-,-
