學年別,學生數組別,國小總計,國小國立,國小直轄市立,國小縣市立,國小私立,國中總計,國中國立,國中直轄市立,國中縣市立,國中私立
99學年,4 人以下,502,-,-,501,1,5,-,-,2,3
99學年,5 至 9 人,1752,-,17,1728,7,42,-,-,39,3
99學年,10 至 14 人,2230,-,112,2108,10,103,-,10,74,19
99學年,15 至 19 人,4208,-,702,3467,39,251,5,34,187,25
99學年,20 至 24 人,9556,23,2435,7018,80,940,23,274,612,31
99學年,25 至 29 人,25764,223,3728,21643,170,4489,17,905,3455,112
99學年,30 至 34 人,13572,138,1720,11575,139,16181,116,1909,13899,257
99學年,35 至 39 人,792,-,67,521,204,4611,-,1226,3081,304
99學年,40 至 44 人,249,-,-,13,236,709,-,-,89,620
99學年,45 至 49 人,24,-,-,-,24,453,-,-,-,453
99學年,50 至 54 人,3,-,-,-,3,287,-,-,-,287
99學年,55 人以上,-,-,-,-,-,75,-,-,-,75
98學年,總計,59478,377,9024,49198,879,28332,157,4407,21590,2178
98學年,4 人以下,450,-,-,450,-,8,-,-,4,4
98學年,5 至 9 人,1643,-,21,1622,-,35,-,-,26,9
98學年,10 至 14 人,2067,-,105,1957,5,93,-,7,69,17
98學年,15 至 19 人,3763,-,543,3163,57,240,4,54,165,17
98學年,20 至 24 人,7886,4,2167,5631,84,623,12,137,445,29
98學年,25 至 29 人,22980,210,3652,18968,150,3232,26,755,2363,88
98學年,30 至 34 人,19144,162,2438,16422,122,16314,111,1845,14098,260
98學年,35 至 39 人,1225,1,98,972,154,6134,4,1609,4216,305
98學年,40 至 44 人,288,-,-,13,275,736,-,-,204,532
98學年,45 至 49 人,19,-,-,-,19,570,-,-,-,570
98學年,50 至 54 人,4,-,-,-,4,282,-,-,-,282
98學年,55 人以上,9,-,-,-,9,65,-,-,-,65
97學年,總計,60630,391,9286,50094,859,28124,159,4412,21399,2154
97學年,4 人以下,425,-,-,425,-,9,-,-,6,3
97學年,5 至 9 人,1583,-,16,1567,-,51,-,-,38,13
97學年,10 至 14 人,1840,-,70,1763,7,65,-,5,53,7
97學年,15 至 19 人,3319,-,441,2826,52,195,2,29,146,18
97學年,20 至 24 人,6623,22,1926,4599,76,690,18,229,415,28
97學年,25 至 29 人,19708,168,3522,15886,132,2657,39,503,2047,68
97學年,30 至 34 人,24996,197,3168,21491,140,15237,73,1940,13026,198
97學年,35 至 39 人,1808,4,143,1533,128,7495,27,1706,5440,322
97學年,40 至 44 人,258,-,-,4,254,708,-,-,228,480
97學年,45 至 49 人,53,-,-,-,53,599,-,-,-,599
97學年,50 至 54 人,8,-,-,-,8,367,-,-,-,367
97學年,55 人以上,9,-,-,-,9,51,-,-,-,51
""
