學年別,年齡別,總計計,總計男,總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,延修生計,延修生男,延修生女
100學年,未滿14歲,8,3,5,4,2,2,1,1,-,-,-,-,3,-,3
100學年,14至未滿15歲,2001,968,1033,1999,967,1032,2,1,1,-,-,-,-,-,-
100學年,15至未滿16歲,106641,53933,52708,104606,53027,51579,2029,901,1128,6,5,1,-,-,-
100學年,16至未滿17歲,105114,53495,51619,2491,1498,993,100374,50922,49452,2249,1075,1174,-,-,-
100學年,17至未滿18歲,100257,51435,48822,260,174,86,3182,1913,1269,96815,49348,47467,-,-,-
100學年,18至未滿19歲,3775,2277,1498,53,37,16,305,199,106,3392,2022,1370,25,19,6
100學年,19至未滿20歲,380,266,114,6,5,1,58,48,10,292,192,100,24,21,3
100學年,20至未滿21歲,77,52,25,2,2,-,5,2,3,67,45,22,3,3,-
100學年,21至未滿22歲,14,10,4,-,-,-,2,2,-,7,4,3,5,4,1
100學年,22歲以上,17,13,4,3,3,-,3,-,3,9,8,1,2,2,-
99學年,總計,311554,159363,152191,107854,55125,52729,103886,53461,50425,99747,50720,49027,67,57,10
99學年,未滿14歲,10,8,2,10,8,2,-,-,-,-,-,-,-,-,-
99學年,14至未滿15歲,2094,954,1140,2087,949,1138,7,5,2,-,-,-,-,-,-
99學年,15至未滿16歲,104455,53205,51250,102152,52101,50051,2296,1099,1197,7,5,2,-,-,-
99學年,16至未滿17歲,103658,53094,50564,3256,1842,1414,97764,50067,47697,2636,1185,1451,2,-,2
99學年,17至未滿18歲,96536,49194,47342,268,167,101,3410,2015,1395,92855,47009,45846,3,3,-
99學年,18至未滿19歲,4281,2543,1738,63,46,17,323,213,110,3856,2250,1606,39,34,5
99學年,19至未滿20歲,401,280,121,8,6,2,54,40,14,322,219,103,17,15,2
99學年,20至未滿21歲,90,63,27,4,3,1,24,15,9,59,43,16,3,2,1
99學年,21至未滿22歲,15,12,3,2,1,1,3,3,-,7,5,2,3,3,-
99學年,22歲以上,14,10,4,4,2,2,5,4,1,5,4,1,-,-,-
98學年,總計,306787,157545,149242,105597,54574,51023,100833,51505,49328,99576,50833,48743,781,633,148
98學年,未滿14歲,13,9,4,13,9,4,-,-,-,-,-,-,-,-,-
98學年,14至未滿15歲,2319,1087,1232,2313,1085,1228,4,2,2,2,-,2,-,-,-
98學年,15至未滿16歲,101347,51841,49506,98739,50696,48043,2600,1139,1461,8,6,2,-,-,-
98學年,16至未滿17歲,100524,51095,49429,4167,2541,1626,93571,47283,46288,2784,1271,1513,2,-,2
98學年,17至未滿18歲,96578,49491,47087,286,189,97,4240,2780,1460,92039,46513,45526,13,9,4
98學年,18至未滿19歲,5237,3451,1786,48,31,17,335,237,98,4389,2807,1582,465,376,89
98學年,19至未滿20歲,649,482,167,25,18,7,68,54,14,298,199,99,258,211,47
98學年,20至未滿21歲,88,63,25,2,2,-,8,4,4,45,29,16,33,28,5
98學年,21至未滿22歲,19,16,3,1,1,-,2,2,-,6,4,2,10,9,1
98學年,22歲以上,13,10,3,3,2,1,5,4,1,5,4,1,-,-,-
97學年,總計,302741,155136,147605,102500,52421,50079,100912,51783,49129,98683,50393,48290,646,539,107
97學年,未滿14歲,3,1,2,2,1,1,1,-,1,-,-,-,-,-,-
97學年,14至未滿15歲,2651,1242,1409,2644,1238,1406,6,3,3,1,1,-,-,-,-
97學年,15至未滿16歲,98023,50133,47890,95219,48782,46437,2798,1348,1450,6,3,3,-,-,-
97學年,16至未滿17歲,99628,50966,48662,4255,2160,2095,92891,47540,45351,2481,1265,1216,1,1,-
97學年,17至未滿18歲,95798,49112,46686,297,178,119,4796,2631,2165,90687,46287,44400,18,16,2
97學年,18至未滿19歲,5858,3118,2740,62,47,15,348,216,132,5119,2578,2541,329,277,52
97學年,19至未滿20歲,643,466,177,9,6,3,59,36,23,335,227,108,240,197,43
97學年,20至未滿21歲,106,77,29,3,2,1,11,7,4,41,27,14,51,41,10
97學年,21至未滿22歲,18,13,5,3,2,1,2,2,-,7,3,4,6,6,-
97學年,22歲以上,13,8,5,6,5,1,-,-,-,6,2,4,1,1,-
""
