學年別,服務單位別,總計,男,女
99學年,總計,43,1,42
99學年,秘書,3,-,3
99學年,教務,2,-,2
99學年,學務,2,-,2
99學年,總務,6,-,6
99學年,會計,3,-,3
99學年,人事,3,-,3
99學年,圖書管理,7,-,7
99學年,體育衛生,-,-,-
99學年,專門技術,-,-,-
99學年,86/3/21後助教,-,-,-
99學年,其他,17,1,16
""
