學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,五專計小計,五專計男,五專計女,五專國立小計,五專國立男,五專國立女,五專直轄市立小計,五專直轄市立男,五專直轄市立女,五專私立小計,五專私立男,五專私立女,二專計小計,二專計男,二專計女,二專國立小計,二專國立男,二專國立女,二專直轄市立小計,二專直轄市立男,二專直轄市立女,二專私立小計,二專私立男,二專私立女,學士班計小計,學士班計男,學士班計女,學士班國立小計,學士班國立男,學士班國立女,學士班直轄市立小計,學士班直轄市立男,學士班直轄市立女,學士班私立小計,學士班私立男,學士班私立女,碩士班計小計,碩士班計男,碩士班計女,碩士班國立小計,碩士班國立男,碩士班國立女,碩士班直轄市立小計,碩士班直轄市立男,碩士班直轄市立女,碩士班私立小計,碩士班私立男,碩士班私立女,博士班計小計,博士班計男,博士班計女,博士班國立小計,博士班國立男,博士班國立女,博士班直轄市立小計,博士班直轄市立男,博士班直轄市立女,博士班私立小計,博士班私立男,博士班私立女
102學年,總計,677761,349274,328487,295648,162661,132987,7127,2986,4141,374986,183627,191359,241,81,160,241,81,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,508809,253399,255410,180385,96064,84321,4834,2201,2633,323590,155134,168456,140465,76424,64041,92918,51115,41803,2075,692,1383,45472,24617,20855,28246,19370,8876,22104,15401,6703,218,93,125,5924,3876,2048
102學年,獨立學院,4767,2274,2493,-,-,-,-,-,-,4767,2274,2493,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4674,2223,2451,-,-,-,-,-,-,4674,2223,2451,93,51,42,-,-,-,-,-,-,93,51,42,-,-,-,-,-,-,-,-,-,-,-,-
102學年,大學,672994,347000,325994,295648,162661,132987,7127,2986,4141,370219,181353,188866,241,81,160,241,81,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,504135,251176,252959,180385,96064,84321,4834,2201,2633,318916,152911,166005,140372,76373,63999,92918,51115,41803,2075,692,1383,45379,24566,20813,28246,19370,8876,22104,15401,6703,218,93,125,5924,3876,2048
101學年,總計,682787,353785,329002,299124,165080,134044,7113,2987,4126,376550,185718,190832,245,81,164,245,81,164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,507767,254074,253693,180866,96584,84282,4754,2154,2600,322147,155336,166811,145245,79240,66005,94638,52016,42622,2131,727,1404,48476,26497,21979,29530,20390,9140,23375,16399,6976,228,106,122,5927,3885,2042
101學年,獨立學院,6815,3595,3220,-,-,-,2313,1389,924,4502,2206,2296,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6315,3311,3004,-,-,-,1866,1142,724,4449,2169,2280,477,264,213,-,-,-,424,227,197,53,37,16,23,20,3,-,-,-,23,20,3,-,-,-
101學年,大學,675972,350190,325782,299124,165080,134044,4800,1598,3202,372048,183512,188536,245,81,164,245,81,164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,501452,250763,250689,180866,96584,84282,2888,1012,1876,317698,153167,164531,144768,78976,65792,94638,52016,42622,1707,500,1207,48423,26460,21963,29507,20370,9137,23375,16399,6976,205,86,119,5927,3885,2042
100學年,總計,683253,353879,329374,300540,165013,135527,7053,2945,4108,375660,185921,189739,247,84,163,247,84,163,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,505685,253173,252512,180620,96119,84501,4668,2090,2578,320397,154964,165433,146810,79431,67379,95275,51622,43653,2169,751,1418,49366,27058,22308,30510,21190,9320,24397,17187,7210,216,104,112,5897,3899,1998
100學年,獨立學院,5602,3093,2509,-,-,-,2326,1368,958,3276,1725,1551,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5076,2791,2285,-,-,-,1858,1107,751,3218,1684,1534,505,283,222,-,-,-,447,242,205,58,41,17,21,19,2,-,-,-,21,19,2,-,-,-
100學年,大學,677651,350786,326865,300540,165013,135527,4727,1577,3150,372384,184196,188188,247,84,163,247,84,163,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,500609,250382,250227,180620,96119,84501,2810,983,1827,317179,153280,163899,146305,79148,67157,95275,51622,43653,1722,509,1213,49308,27017,22291,30489,21171,9318,24397,17187,7210,195,85,110,5897,3899,1998
99學年,總計,688111,357434,330677,301845,165810,136035,7179,2962,4217,379087,188662,190425,243,83,160,243,83,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,507884,254772,253112,180063,95819,84244,4648,2064,2584,323173,156889,166284,148693,80560,68133,96266,51862,44404,2333,801,1532,50094,27897,22197,31291,22019,9272,25273,18046,7227,198,97,101,5820,3876,1944
99學年,獨立學院,8818,5205,3613,3188,1937,1251,2365,1370,995,3265,1898,1367,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7922,4726,3196,2832,1748,1084,1881,1120,761,3209,1858,1351,876,461,415,356,189,167,464,232,232,56,40,16,20,18,2,-,-,-,20,18,2,-,-,-
99學年,大學,679293,352229,327064,298657,163873,134784,4814,1592,3222,375822,186764,189058,243,83,160,243,83,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,499962,250046,249916,177231,94071,83160,2767,944,1823,319964,155031,164933,147817,80099,67718,95910,51673,44237,1869,569,1300,50038,27857,22181,31271,22001,9270,25273,18046,7227,178,79,99,5820,3876,1944
98學年,總計,685586,357199,328387,296161,162936,133225,6901,2869,4032,382524,191394,191130,233,70,163,233,70,163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,505754,253642,252112,175433,92984,82449,4494,2016,2478,325827,158642,167185,148634,81551,67083,95301,51782,43519,2230,767,1463,51103,29002,22101,30965,21936,9029,25194,18100,7094,177,86,91,5594,3750,1844
98學年,獨立學院,14597,8612,5985,3005,1798,1207,2290,1363,927,9302,5451,3851,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13640,8118,5522,2657,1613,1044,1845,1137,708,9138,5368,3770,942,480,462,348,185,163,430,212,218,164,83,81,15,14,1,-,-,-,15,14,1,-,-,-
98學年,大學,670989,348587,322402,293156,161138,132018,4611,1506,3105,373222,185943,187279,233,70,163,233,70,163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,492114,245524,246590,172776,91371,81405,2649,879,1770,316689,153274,163415,147692,81071,66621,94953,51597,43356,1800,555,1245,50939,28919,22020,30950,21922,9028,25194,18100,7094,162,72,90,5594,3750,1844
97學年,總計,685090,357648,327442,291108,160937,130171,6647,2741,3906,387335,193970,193365,220,68,152,220,68,152,-,-,-,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-,506626,253258,253368,172095,90858,81237,4383,1943,2440,330148,160457,169691,148032,82744,65288,94088,52106,41982,2125,730,1395,51819,29908,21911,30210,21576,8634,24703,17903,6800,139,68,71,5368,3605,1763
97學年,獨立學院,13382,8037,5345,-,-,-,2300,1373,927,11082,6664,4418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12803,7738,5065,-,-,-,1865,1150,715,10938,6588,4350,570,290,280,-,-,-,426,214,212,144,76,68,9,9,-,-,-,-,9,9,-,-,-,-
97學年,大學,671708,349611,322097,291108,160937,130171,4347,1368,2979,376253,187306,188947,220,68,152,220,68,152,-,-,-,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-,493823,245520,248303,172095,90858,81237,2518,793,1725,319210,153869,165341,147462,82454,65008,94088,52106,41982,1699,516,1183,51675,29832,21843,30201,21567,8634,24703,17903,6800,130,59,71,5368,3605,1763
""
