學年別,縣市別,國民小學總計,國民小學國立,國民小學直轄市立,國民小學縣市立,國民小學私立,國民中學總計,國民中學國立,國民中學直轄市立,國民中學縣市立,國民中學私立
102學年,雲林縣,156,-,-,154,2,33,-,-,30,3
102學年,嘉義縣,124,-,-,124,-,23,-,-,23,-
102學年,屏東縣,168,1,-,167,-,35,-,-,34,1
102學年,臺東縣,91,1,-,89,1,22,-,-,21,1
102學年,花蓮縣,104,1,-,102,1,23,-,-,23,-
102學年,澎湖縣,40,-,-,40,-,14,-,-,14,-
102學年,基隆市,43,-,-,42,1,11,-,-,11,-
102學年,新竹市,32,1,-,29,2,13,-,-,12,1
102學年,嘉義市,20,1,-,19,-,8,-,-,8,-
102學年,金門縣,19,-,-,19,-,5,-,-,5,-
102學年,連江縣,8,-,-,8,-,5,-,-,5,-
101學年,總計,2657,9,1026,1586,36,740,-,330,393,17
101學年,新北市,213,-,207,-,6,66,-,64,-,2
101學年,臺北市,153,2,141,-,10,62,-,59,-,3
101學年,臺中市,233,1,228,-,4,71,-,71,-,-
101學年,臺南市,211,1,209,-,1,60,-,58,-,2
101學年,高雄市,241,-,241,-,-,79,-,78,-,1
101學年,宜蘭縣,77,-,-,77,-,25,-,-,25,-
101學年,桃園縣,191,-,-,187,4,57,-,-,56,1
101學年,新竹縣,85,-,-,83,2,29,-,-,28,1
101學年,苗栗縣,121,-,-,121,-,31,-,-,31,-
101學年,彰化縣,175,-,-,175,-,37,-,-,37,-
101學年,南投縣,149,-,-,147,2,32,-,-,31,1
101學年,雲林縣,156,-,-,154,2,32,-,-,29,3
101學年,嘉義縣,124,-,-,124,-,23,-,-,23,-
101學年,屏東縣,168,1,-,167,-,35,-,-,34,1
101學年,臺東縣,92,1,-,90,1,22,-,-,21,1
101學年,花蓮縣,106,1,-,104,1,23,-,-,23,-
101學年,澎湖縣,40,-,-,40,-,14,-,-,14,-
101學年,基隆市,43,-,-,42,1,11,-,-,11,-
101學年,新竹市,32,1,-,29,2,13,-,-,12,1
101學年,嘉義市,20,1,-,19,-,8,-,-,8,-
101學年,金門縣,19,-,-,19,-,5,-,-,5,-
101學年,連江縣,8,-,-,8,-,5,-,-,5,-
100學年,總計,2659,9,1025,1589,36,742,-,331,395,16
100學年,新北市,212,-,206,-,6,66,-,65,-,1
100學年,臺北市,153,2,141,-,10,62,-,59,-,3
100學年,臺中市,234,1,228,-,5,72,-,71,-,1
100學年,臺南市,211,1,209,-,1,60,-,58,-,2
100學年,高雄市,241,-,241,-,-,79,-,78,-,1
100學年,宜蘭縣,77,-,-,77,-,25,-,-,25,-
100學年,桃園縣,190,-,-,187,3,57,-,-,57,-
100學年,新竹縣,86,-,-,84,2,29,-,-,28,1
100學年,苗栗縣,121,-,-,121,-,31,-,-,31,-
100學年,彰化縣,175,-,-,175,-,37,-,-,37,-
100學年,南投縣,149,-,-,147,2,32,-,-,31,1
100學年,雲林縣,156,-,-,154,2,32,-,-,29,3
100學年,嘉義縣,125,-,-,125,-,23,-,-,23,-
100學年,屏東縣,168,1,-,167,-,35,-,-,34,1
100學年,臺東縣,92,1,-,90,1,22,-,-,21,1
100學年,花蓮縣,106,1,-,104,1,23,-,-,23,-
100學年,澎湖縣,41,-,-,41,-,14,-,-,14,-
100學年,基隆市,43,-,-,42,1,12,-,-,12,-
100學年,新竹市,32,1,-,29,2,13,-,-,12,1
100學年,嘉義市,20,1,-,19,-,8,-,-,8,-
100學年,金門縣,19,-,-,19,-,5,-,-,5,-
100學年,連江縣,8,-,-,8,-,5,-,-,5,-
99學年,總計,2661,9,229,2384,39,740,-,94,630,16
99學年,臺北市,153,2,141,-,10,62,-,59,-,3
99學年,高雄市,88,-,88,-,-,36,-,35,-,1
99學年,臺北縣,210,-,-,204,6,64,-,-,63,1
99學年,宜蘭縣,77,-,-,77,-,25,-,-,25,-
99學年,桃園縣,190,-,-,187,3,56,-,-,56,-
99學年,新竹縣,84,-,-,82,2,29,-,-,28,1
99學年,苗栗縣,121,-,-,121,-,30,-,-,30,-
99學年,臺中縣,166,-,-,165,1,47,-,-,47,-
