學年別,學校級別,設立別,警衛總計,警衛男,警衛女,工友(含技工)總計,工友(含技工)男,工友(含技工)女
100學年,大學,私立,170,168,2,1221,687,534
99學年,總計,計,637,626,11,4101,2254,1847
99學年,總計,國立,414,409,5,2546,1376,1170
99學年,總計,直轄市立,4,4,-,43,21,22
99學年,總計,私立,219,213,6,1512,857,655
99學年,專科學校,計,4,4,-,81,47,34
99學年,專科學校,國立,-,-,-,28,12,16
99學年,專科學校,直轄市立,-,-,-,-,-,-
99學年,專科學校,私立,4,4,-,53,35,18
99學年,獨立學院,計,45,45,-,390,234,156
99學年,獨立學院,國立,16,16,-,140,68,72
99學年,獨立學院,直轄市立,-,-,-,15,9,6
99學年,獨立學院,私立,29,29,-,235,157,78
99學年,大學,計,588,577,11,3630,1973,1657
99學年,大學,國立,398,393,5,2378,1296,1082
99學年,大學,直轄市立,4,4,-,28,12,16
99學年,大學,私立,186,180,6,1224,665,559
98學年,總計,計,660,650,10,4220,2310,1910
98學年,總計,國立,414,410,4,2591,1399,1192
98學年,總計,直轄市立,6,6,-,46,24,22
98學年,總計,私立,240,234,6,1583,887,696
98學年,專科學校,計,10,10,-,90,54,36
98學年,專科學校,國立,-,-,-,30,12,18
98學年,專科學校,直轄市立,-,-,-,-,-,-
98學年,專科學校,私立,10,10,-,60,42,18
98學年,獨立學院,計,49,49,-,472,298,174
98學年,獨立學院,國立,26,26,-,178,93,85
98學年,獨立學院,直轄市立,-,-,-,15,11,4
98學年,獨立學院,私立,23,23,-,279,194,85
98學年,大學,計,601,591,10,3658,1958,1700
98學年,大學,國立,388,384,4,2383,1294,1089
98學年,大學,直轄市立,6,6,-,31,13,18
98學年,大學,私立,207,201,6,1244,651,593
97學年,總計,計,678,668,10,4276,2366,1910
97學年,總計,國立,427,423,4,2649,1446,1203
97學年,總計,直轄市立,6,6,-,44,20,24
97學年,總計,私立,245,239,6,1583,900,683
97學年,專科學校,計,5,5,-,96,63,33
97學年,專科學校,國立,-,-,-,32,16,16
97學年,專科學校,直轄市立,-,-,-,-,-,-
97學年,專科學校,私立,5,5,-,64,47,17
97學年,獨立學院,計,57,57,-,541,323,218
97學年,獨立學院,國立,23,23,-,165,84,81
97學年,獨立學院,直轄市立,-,-,-,15,9,6
97學年,獨立學院,私立,34,34,-,361,230,131
97學年,大學,計,616,606,10,3639,1980,1659
97學年,大學,國立,404,400,4,2452,1346,1106
97學年,大學,直轄市立,6,6,-,29,11,18
97學年,大學,私立,206,200,6,1158,623,535
""
