學年別,學期別,等級別,新增辦理休學人數總計計,新增辦理休學人數總計男,新增辦理休學人數總計女,新增辦理休學人數國立計,新增辦理休學人數國立男,新增辦理休學人數國立女,新增辦理休學人數直轄市立計,新增辦理休學人數直轄市立男,新增辦理休學人數直轄市立女,新增辦理休學人數私立計,新增辦理休學人數私立男,新增辦理休學人數私立女,至學期底總休學人數總計計,至學期底總休學人數總計男,至學期底總休學人數總計女,至學期底總休學人數國立計,至學期底總休學人數國立男,至學期底總休學人數國立女,至學期底總休學人數直轄市立計,至學期底總休學人數直轄市立男,至學期底總休學人數直轄市立女,至學期底總休學人數私立計,至學期底總休學人數私立男,至學期底總休學人數私立女
102學年,第1學期,學士班,27547,16344,11203,5662,3411,2251,102,67,35,21783,12866,8917,58662,35786,22876,9418,5736,3682,206,133,73,49038,29917,19121
102學年,第1學期,碩士班,14431,7269,7162,9582,4813,4769,214,60,154,4635,2396,2239,28997,15142,13855,17381,8794,8587,416,132,284,11200,6216,4984
102學年,第1學期,博士班,3592,2289,1303,2952,1928,1024,24,9,15,616,352,264,7306,4835,2471,5839,3933,1906,57,25,32,1410,877,533
102學年,第2學期,總計,30150,17675,12475,12006,7046,4960,220,103,117,17924,10526,7398,97862,57575,40287,33317,19026,14291,672,300,372,63873,38249,25624
102學年,第2學期,五專,1116,439,677,79,22,57,-,-,-,1037,417,620,3307,1483,1824,204,74,130,-,-,-,3103,1409,1694
102學年,第2學期,二專,260,150,110,52,16,36,-,-,-,208,134,74,1364,867,497,164,64,100,-,-,-,1200,803,397
102學年,第2學期,學士班,16031,9980,6051,3271,2214,1057,90,61,29,12670,7705,4965,57018,35234,21784,9707,6086,3621,213,145,68,47098,29003,18095
102學年,第2學期,碩士班,9813,5159,4654,6173,3140,3033,116,37,79,3524,1982,1542,28848,15115,13733,17370,8821,8549,409,134,275,11069,6160,4909
102學年,第2學期,博士班,2930,1947,983,2431,1654,777,14,5,9,485,288,197,7325,4876,2449,5872,3981,1891,50,21,29,1403,874,529
101學年,第1學期,總計,49499,27418,22081,19093,10564,8529,354,165,189,30052,16689,13363,96348,55923,40425,32167,18211,13956,578,270,308,63603,37442,26161
101學年,第1學期,五專,1895,756,1139,160,61,99,-,-,-,1735,695,1040,3828,1822,2006,215,81,134,-,-,-,3613,1741,1872
101學年,第1學期,二專,494,272,222,100,44,56,-,-,-,394,228,166,1703,1112,591,198,92,106,-,-,-,1505,1020,485
101學年,第1學期,學士班,28208,16287,11921,5742,3519,2223,122,86,36,22344,12682,9662,55409,33266,22143,8897,5511,3386,191,127,64,46321,27628,18693
101學年,第1學期,碩士班,15041,7522,7519,9854,4770,5084,207,64,143,4980,2688,2292,28104,14775,13329,16942,8487,8455,343,116,227,10819,6172,4647
101學年,第1學期,博士班,3861,2581,1280,3237,2170,1067,25,15,10,599,396,203,7304,4948,2356,5915,4040,1875,44,27,17,1345,881,464
101學年,第2學期,總計,31750,18483,13267,11688,6775,4913,203,84,119,19859,11624,8235,95999,56362,39637,31825,18270,13555,644,292,352,63530,37800,25730
101學年,第2學期,五專,1148,450,698,68,19,49,-,-,-,1080,431,649,3456,1694,1762,240,90,150,-,-,-,3216,1604,1612
101學年,第2學期,二專,315,181,134,66,23,43,-,-,-,249,158,91,1549,985,564,177,71,106,-,-,-,1372,914,458
101學年,第2學期,學士班,17271,10627,6644,2956,1934,1022,72,42,30,14243,8651,5592,55850,33981,21869,9042,5641,3401,218,144,74,46590,28196,18394
101學年,第2學期,碩士班,9907,5176,4731,5974,3048,2926,110,37,73,3823,2091,1732,27867,14743,13124,16443,8378,8065,373,123,250,11051,6242,4809
101學年,第2學期,博士班,3109,2049,1060,2624,1751,873,21,5,16,464,293,171,7277,4959,2318,5923,4090,1833,53,25,28,1301,844,457
100學年,第1學期,總計,47077,26045,21032,18161,10169,7992,324,131,193,28592,15745,12847,90120,52495,37625,30273,17454,12819,478,175,303,59369,34866,24503
100學年,第1學期,五專,1967,821,1146,146,42,104,-,-,-,1821,779,1042,3829,1823,2006,216,68,148,-,-,-,3613,1755,1858
100學年,第1學期,二專,789,415,374,129,51,78,-,-,-,660,364,296,2427,1529,898,266,120,146,-,-,-,2161,1409,752
100學年,第1學期,學士班,26658,15187,11471,5568,3335,2233,104,56,48,20986,11796,9190,51552,30724,20828,8748,5305,3443,168,91,77,42636,25328,17308
100學年,第1學期,碩士班,13818,7022,6796,9124,4548,4576,199,64,135,4495,2410,2085,25440,13672,11768,15438,8038,7400,283,72,211,9719,5562,4157
100學年,第1學期,博士班,3845,2600,1245,3194,2193,1001,21,11,10,630,396,234,6872,4747,2125,5605,3923,1682,27,12,15,1240,812,428
100學年,第2學期,總計,30637,17576,13061,11610,6694,4916,168,65,103,18859,10817,8042,90572,53206,37366,30622,17761,12861,526,211,315,59424,35234,24190
100學年,第2學期,五專,1248,514,734,78,25,53,-,-,-,1170,489,681,3570,1712,1858,165,52,113,-,-,-,3405,1660,1745
100學年,第2學期,二專,350,204,146,72,35,37,-,-,-,278,169,109,1971,1308,663,234,115,119,-,-,-,1737,1193,544
100學年,第2學期,學士班,16128,9680,6448,2937,1913,1024,56,29,27,13135,7738,5397,51786,31306,20480,8885,5561,3324,176,103,73,42725,25642,17083
100學年,第2學期,碩士班,9750,5068,4682,5878,2942,2936,91,23,68,3781,2103,1678,26012,13930,12082,15465,7968,7497,310,87,223,10237,5875,4362
100學年,第2學期,博士班,3161,2110,1051,2645,1779,866,21,13,8,495,318,177,7233,4950,2283,5873,4065,1808,40,21,19,1320,864,456
99學年,第1學期,總計,45450,25194,20256,17630,9816,7814,248,94,154,27572,15284,12288,82373,48280,34093,27865,16257,11608,300,111,189,54208,31912,22296
99學年,第1學期,五專,1802,724,1078,152,40,112,-,-,-,1650,684,966,3457,1679,1778,254,86,168,-,-,-,3203,1593,1610
99學年,第1學期,二專,1078,582,496,180,63,117,-,-,-,898,519,379,3090,1938,1152,341,138,203,-,-,-,2749,1800,949
99學年,第1學期,學士班,25190,14320,10870,5265,3137,2128,102,53,49,19823,11130,8693,46894,27807,19087,8135,4904,3231,120,67,53,38639,22836,15803
99學年,第1學期,碩士班,13691,7088,6603,8974,4485,4489,134,36,98,4583,2567,2016,22787,12569,10218,14027,7511,6516,164,38,126,8596,5020,3576
99學年,第1學期,博士班,3689,2480,1209,3059,2091,968,12,5,7,618,384,234,6145,4287,1858,5108,3618,1490,16,6,10,1021,663,358
99學年,第2學期,總計,28784,16493,12291,11142,6429,4713,148,70,78,17494,9994,7500,80626,47404,33222,28416,16408,12008,424,163,261,51786,30833,20953
99學年,第2學期,五專,1243,520,723,78,23,55,-,-,-,1165,497,668,3323,1604,1719,249,79,170,-,-,-,3074,1525,1549
99學年,第2學期,二專,411,232,179,73,34,39,-,-,-,338,198,140,2550,1610,940,279,122,157,-,-,-,2271,1488,783
99學年,第2學期,學士班,14839,8804,6035,2796,1769,1027,58,34,24,11985,7001,4984,44650,26874,17776,8264,5006,3258,157,84,73,36229,21784,14445
99學年,第2學期,碩士班,9456,4990,4466,5810,2951,2859,80,32,48,3566,2007,1559,23549,12776,10773,14212,7406,6806,244,68,176,9093,5302,3791
99學年,第2學期,博士班,2835,1947,888,2385,1652,733,10,4,6,440,291,149,6554,4540,2014,5412,3795,1617,23,11,12,1119,734,385
98學年,第1學期,總計,45932,25388,20544,16899,9523,7376,231,83,148,28802,15782,13020,82801,47736,35065,25780,15020,10760,346,139,207,56675,32577,24098
98學年,第1學期,五專,1968,839,1129,163,49,114,-,-,-,1805,790,1015,3902,1825,2077,237,90,147,-,-,-,3665,1735,1930
98學年,第1學期,二專,1622,999,623,216,100,116,-,-,-,1406,899,507,4652,3025,1627,469,232,237,-,-,-,4183,2793,1390
98學年,第1學期,學士班,25332,14105,11227,5093,3025,2068,71,36,35,20168,11044,9124,47075,27116,19959,7578,4551,3027,127,68,59,39370,22497,16873
98學年,第1學期,碩士班,13577,7128,6449,8654,4454,4200,150,41,109,4773,2633,2140,21507,11781,9726,12943,6892,6051,204,63,141,8360,4826,3534
98學年,第1學期,博士班,3433,2317,1116,2773,1895,878,10,6,4,650,416,234,5665,3989,1676,4553,3255,1298,15,8,7,1097,726,371
98學年,第2學期,總計,28893,16955,11938,11394,6776,4618,168,58,110,17331,10121,7210,76039,44702,31337,25814,15177,10637,209,85,124,50016,29440,20576
98學年,第2學期,五專,1051,469,582,72,20,52,-,-,-,979,449,530,3086,1538,1548,172,61,111,-,-,-,2914,1477,1437
98學年,第2學期,二專,625,377,248,94,43,51,-,-,-,531,334,197,3473,2272,1201,328,156,172,-,-,-,3145,2116,1029
98學年,第2學期,學士班,14698,8868,5830,3037,1936,1101,55,27,28,11606,6905,4701,42894,25289,17605,7809,4730,3079,72,37,35,35013,20522,14491
98學年,第2學期,碩士班,9730,5294,4436,5888,3145,2743,103,24,79,3739,2125,1614,20821,11533,9288,12808,6876,5932,127,41,86,7886,4616,3270
98學年,第2學期,博士班,2789,1947,842,2303,1632,671,10,7,3,476,308,168,5765,4070,1695,4697,3354,1343,10,7,3,1058,709,349
""
