學年別,縣市別,校數總計,校數公立,校數私立,教師數總計,教師數公立,教師數私立,職員數總計,職員數公立,職員數私立,學生數總計,學生數公立,學生數私立,上學年畢業生數總計,上學年畢業生數公立,上學年畢業生數私立
100學年,臺中市,18,6,12,6578,1791,4787,3528,1057,2471,192144,47831,144313,43830,11735,32095
100學年,臺南市,16,4,12,5136,1715,3421,2358,994,1364,139162,32719,106443,33134,7876,25258
100學年,高雄市,19,7,12,5461,2070,3391,3144,1230,1914,148700,54019,94681,34366,13850,20516
100學年,宜蘭縣,4,1,3,683,239,444,346,141,205,16286,5485,10801,3371,1253,2118
100學年,桃園縣,12,2,10,4224,756,3468,2149,456,1693,112839,14620,98219,26005,3737,22268
100學年,新竹縣,2,-,2,634,-,634,251,-,251,19090,-,19090,4491,-,4491
100學年,苗栗縣,4,1,3,868,295,573,451,141,310,24890,8185,16705,5567,1714,3853
100學年,彰化縣,5,1,4,1374,389,985,781,226,555,39314,8418,30896,9622,2189,7433
100學年,南投縣,2,1,1,493,266,227,252,173,79,12246,5871,6375,2845,1386,1459
100學年,雲林縣,3,2,1,909,705,204,546,439,107,26377,20196,6181,7107,5463,1644
100學年,嘉義縣,4,1,3,1084,557,527,646,353,293,25225,12141,13084,6624,3065,3559
100學年,屏東縣,8,3,5,1650,750,900,735,336,399,45923,20126,25797,10911,4783,6128
100學年,臺東縣,2,2,-,234,234,-,190,190,-,5931,5931,-,1375,1375,-
100學年,花蓮縣,5,1,4,1169,480,689,769,347,422,21746,10392,11354,5135,2527,2608
100學年,澎湖縣,1,1,-,112,112,-,95,95,-,3105,3105,-,746,746,-
100學年,基隆市,3,1,2,681,419,262,371,223,148,16215,8392,7823,3934,2282,1652
100學年,新竹市,6,3,3,2207,1514,693,1669,1250,419,54030,31277,22753,13522,7792,5730
100學年,嘉義市,3,1,2,740,528,212,353,257,96,19558,13130,6428,4119,2988,1131
100學年,金門縣,1,1,-,102,102,-,11,11,-,3208,3208,-,511,511,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,163,54,109,50684,19375,31309,27249,10572,16677,1343603,436216,907387,315039,104608,210431
99學年,臺北市,27,13,14,10967,6168,4799,7486,3928,3558,265286,116934,148352,59879,27935,31944
99學年,高雄市,9,6,3,2668,1793,875,1486,1054,432,65044,46809,18235,15618,11642,3976
99學年,臺北縣,18,2,16,5027,509,4518,2769,167,2602,157162,14844,142318,36243,3547,32696
99學年,宜蘭縣,4,1,3,694,237,457,339,139,200,16231,5411,10820,3273,1209,2064
99學年,桃園縣,12,2,10,4210,696,3514,1805,205,1600,111439,14610,96829,26761,3620,23141
99學年,新竹縣,2,-,2,650,-,650,264,-,264,19230,-,19230,5007,-,5007
99學年,苗栗縣,4,1,3,876,292,584,283,40,243,25127,8129,16998,5610,1548,4062
99學年,臺中縣,6,1,5,2118,299,1819,1208,157,1051,69720,10407,59313,16004,2466,13538
99學年,彰化縣,5,1,4,1424,395,1029,629,95,534,38477,8438,30039,9422,2054,7368
99學年,南投縣,2,1,1,495,267,228,254,167,87,12360,5819,6541,2705,1281,1424
99學年,雲林縣,3,2,1,914,703,211,531,429,102,26480,20227,6253,7020,5243,1777
99學年,嘉義縣,4,1,3,1089,541,548,640,363,277,25339,12154,13185,6789,3100,3689
99學年,臺南縣,11,1,10,3431,94,3337,1341,104,1237,104189,1604,102585,24337,318,24019
99學年,高雄縣,10,1,9,2845,254,2591,1497,95,1402,81845,7264,74581,19574,1864,17710
99學年,屏東縣,8,3,5,1725,747,978,658,327,331,46451,20071,26380,11364,4579,6785
99學年,臺東縣,2,2,-,216,216,-,162,162,-,5688,5688,-,1277,1277,-
99學年,花蓮縣,5,1,4,1164,477,687,739,326,413,21883,10506,11377,5060,2431,2629
99學年,澎湖縣,1,1,-,109,109,-,97,97,-,3117,3117,-,704,704,-
99學年,基隆市,3,1,2,685,416,269,359,212,147,16419,8542,7877,3785,2239,1546
99學年,新竹市,6,3,3,2213,1491,722,1202,805,397,54171,31153,23018,13065,7565,5500
99學年,臺中市,12,5,7,4530,1465,3065,2440,851,1589,121220,37713,83507,27631,9095,18536
99學年,嘉義市,3,1,2,735,515,220,333,248,85,19261,13084,6177,4061,2922,1139
99學年,臺南市,5,3,2,1808,1600,208,713,587,126,34562,30790,3772,9366,7485,1881
99學年,金門縣,1,1,-,91,91,-,14,14,-,2902,2902,-,484,484,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,164,54,110,50658,19047,31611,23794,7346,16448,1336659,430308,906351,317162,103598,213564
98學年,臺北市,27,13,14,10737,5976,4761,6482,3006,3476,259982,115429,144553,61295,27817,33478
98學年,高雄市,9,6,3,2602,1768,834,947,532,415,64487,46319,18168,15562,11887,3675
98學年,臺北縣,19,2,17,5039,508,4531,2804,195,2609,157727,15034,142693,36395,3471,32924
98學年,宜蘭縣,4,1,3,680,243,437,273,81,192,15974,5322,10652,3030,1128,1902
98學年,桃園縣,12,2,10,4147,691,3456,1748,213,1535,110785,14427,96358,26167,3635,22532
98學年,新竹縣,2,-,2,665,-,665,276,-,276,20191,-,20191,5343,-,5343
98學年,苗栗縣,4,1,3,907,296,611,308,42,266,25020,7780,17240,5668,1581,4087
98學年,臺中縣,6,1,5,2131,299,1832,1186,84,1102,68218,10091,58127,15847,2431,13416
98學年,彰化縣,5,1,4,1462,395,1067,688,101,587,38417,8380,30037,9322,2003,7319
98學年,南投縣,2,1,1,501,257,244,158,80,78,12084,5544,6540,2991,1229,1762
98學年,雲林縣,3,2,1,911,694,217,284,205,79,26692,20089,6603,6804,5007,1797
98學年,嘉義縣,4,1,3,1079,510,569,409,129,280,26058,12115,13943,6949,2940,4009
98學年,臺南縣,11,1,10,3508,89,3419,1207,35,1172,103597,1651,101946,23934,295,23639
98學年,高雄縣,10,1,9,2897,261,2636,1355,100,1255,81583,7098,74485,20099,1895,18204
98學年,屏東縣,8,3,5,1801,753,1048,601,235,366,47621,19794,27827,11979,4737,7242
98學年,臺東縣,2,2,-,209,209,-,88,88,-,5348,5348,-,1024,1024,-
98學年,花蓮縣,5,1,4,1148,481,667,564,118,446,22167,10431,11736,5057,2491,2566
98學年,澎湖縣,1,1,-,119,119,-,38,38,-,3122,3122,-,697,697,-
98學年,基隆市,3,1,2,661,407,254,253,136,117,16209,8591,7618,3922,2203,1719
98學年,新竹市,6,3,3,2232,1488,744,1229,772,457,54026,30596,23430,13407,7811,5596
98學年,臺中市,12,5,7,4596,1453,3143,2123,594,1529,120373,37508,82865,28699,8893,19806
98學年,嘉義市,3,1,2,719,513,206,201,139,62,18545,12781,5764,3496,2845,651
98學年,臺南市,5,3,2,1827,1557,270,557,408,149,35920,30345,5575,9031,7134,1897
98學年,金門縣,1,1,-,80,80,-,15,15,-,2513,2513,-,444,444,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,162,53,109,51501,19567,31934,23041,7710,15331,1337455,422736,914719,323540,101953,221587
97學年,臺北市,27,13,14,11359,6383,4976,5591,2588,3003,257966,114368,143598,61468,27097,34371
97學年,高雄市,9,6,3,2607,1773,834,1038,633,405,63584,45631,17953,15404,11696,3708
97學年,臺北縣,18,2,16,5075,560,4515,2534,242,2292,157963,14994,142969,37512,3562,33950
97學年,宜蘭縣,4,1,3,658,243,415,256,82,174,15401,5128,10273,3268,1191,2077
97學年,桃園縣,12,2,10,4107,686,3421,1672,203,1469,110100,14123,95977,25284,3585,21699
97學年,新竹縣,2,-,2,717,-,717,255,-,255,21469,-,21469,5703,-,5703
97學年,苗栗縣,4,1,3,957,293,664,317,42,275,25682,7560,18122,5866,1586,4280
97學年,臺中縣,6,1,5,2075,294,1781,1108,77,1031,67189,9915,57274,16115,2526,13589
97學年,彰化縣,5,1,4,1482,400,1082,682,88,594,38780,8135,30645,9951,2068,7883
97學年,南投縣,2,1,1,495,251,244,148,68,80,12267,5295,6972,3111,1178,1933
97學年,雲林縣,3,2,1,895,680,215,368,266,102,26785,19870,6915,7478,5445,2033
97學年,嘉義縣,4,1,3,1087,498,589,602,328,274,27488,12044,15444,7100,2992,4108
97學年,臺南縣,11,1,10,3487,90,3397,1187,31,1156,103686,1601,102085,25475,268,25207
97學年,高雄縣,10,1,9,2962,260,2702,1345,173,1172,83346,6990,76356,21100,1839,19261
97學年,屏東縣,8,3,5,1790,744,1046,584,230,354,48538,19417,29121,12164,4315,7849
97學年,臺東縣,2,2,-,220,220,-,157,157,-,4799,4799,-,1301,1301,-
97學年,花蓮縣,5,1,4,1177,518,659,552,122,430,22265,10541,11724,5102,2328,2774
97學年,澎湖縣,1,1,-,113,113,-,36,36,-,3073,3073,-,641,641,-
97學年,基隆市,3,1,2,681,427,254,230,112,118,16250,8496,7754,3656,2079,1577
97學年,新竹市,6,3,3,2236,1486,750,1537,1111,426,53667,29663,24004,13377,7183,6194
97學年,臺中市,11,4,7,4682,1520,3162,2058,557,1501,120430,37017,83413,29187,8706,20481
97學年,嘉義市,3,1,2,692,510,182,206,140,66,17310,12396,4914,3659,2828,831
97學年,臺南市,5,3,2,1872,1543,329,564,410,154,37286,29549,7737,9232,7153,2079
97學年,金門縣,1,1,-,75,75,-,14,14,-,2131,2131,-,386,386,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
