學年別,年齡別,總計計小計,總計計男,總計計女,總計教授小計,總計教授男,總計教授女,總計副教授小計,總計副教授男,總計副教授女,總計助理教授小計,總計助理教授男,總計助理教授女,總計講師小計,總計講師男,總計講師女,總計其他小計,總計其他男,總計其他女,總計助教小計,總計助教男,總計助教女,專科學校計小計,專科學校計男,專科學校計女,專科學校教授小計,專科學校教授男,專科學校教授女,專科學校副教授小計,專科學校副教授男,專科學校副教授女,專科學校助理教授小計,專科學校助理教授男,專科學校助理教授女,專科學校講師小計,專科學校講師男,專科學校講師女,專科學校其他小計,專科學校其他男,專科學校其他女,專科學校助教小計,專科學校助教男,專科學校助教女,獨立學院計小計,獨立學院計男,獨立學院計女,獨立學院教授小計,獨立學院教授男,獨立學院教授女,獨立學院副教授小計,獨立學院副教授男,獨立學院副教授女,獨立學院助理教授小計,獨立學院助理教授男,獨立學院助理教授女,獨立學院講師小計,獨立學院講師男,獨立學院講師女,獨立學院其他小計,獨立學院其他男,獨立學院其他女,獨立學院助教小計,獨立學院助教男,獨立學院助教女,大學計小計,大學計男,大學計女,大學教授小計,大學教授男,大學教授女,大學副教授小計,大學副教授男,大學副教授女,大學助理教授小計,大學助理教授男,大學助理教授女,大學講師小計,大學講師男,大學講師女,大學其他小計,大學其他男,大學其他女,大學助教小計,大學助教男,大學助教女
101學年,總計,50158,32757,17401,10907,8846,2061,14910,10301,4609,13960,8812,5148,7621,3519,4102,2404,1196,1208,356,83,273,1738,544,1194,22,20,2,79,49,30,299,161,138,1013,252,761,325,62,263,-,-,-,3976,2442,1534,206,177,29,1053,734,319,1078,690,388,1366,670,696,266,170,96,7,1,6,44444,29771,14673,10679,8649,2030,13778,9518,4260,12583,7961,4622,5242,2597,2645,1813,964,849,349,82,267
101學年,未滿25歲,6,2,4,-,-,-,-,-,-,-,-,-,2,1,1,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,4,2,2,-,-,-,-,-,-,-,-,-,1,1,-,3,1,2,-,-,-
101學年,25歲至未滿30歲,230,74,156,-,-,-,-,-,-,59,26,33,109,38,71,62,10,52,-,-,-,54,4,50,-,-,-,-,-,-,-,-,-,30,4,26,24,-,24,-,-,-,16,5,11,-,-,-,-,-,-,2,2,-,11,3,8,3,-,3,-,-,-,160,65,95,-,-,-,-,-,-,57,24,33,68,31,37,35,10,25,-,-,-
101學年,30歲至未滿35歲,2087,1013,1074,4,2,2,114,74,40,1332,746,586,396,147,249,239,44,195,2,-,2,276,50,226,-,-,-,-,-,-,24,10,14,158,34,124,94,6,88,-,-,-,153,74,79,-,-,-,4,2,2,94,48,46,40,16,24,15,8,7,-,-,-,1658,889,769,4,2,2,110,72,38,1214,688,526,198,97,101,130,30,100,2,-,2
101學年,35歲至未滿40歲,5803,3284,2519,122,99,23,1046,724,322,3478,2071,1407,736,274,462,393,111,282,28,5,23,409,103,306,-,-,-,3,1,2,69,35,34,247,56,191,90,11,79,-,-,-,430,221,209,5,4,1,33,20,13,238,127,111,102,43,59,52,27,25,-,-,-,4964,2960,2004,117,95,22,1010,703,307,3171,1909,1262,387,175,212,251,73,178,28,5,23
101學年,40歲至未滿45歲,9878,5606,4272,818,624,194,2680,1613,1067,3949,2400,1549,1558,535,1023,749,413,336,124,21,103,473,149,324,2,2,-,11,7,4,89,45,44,303,74,229,68,21,47,-,-,-,830,443,387,14,9,5,138,66,72,301,197,104,295,119,176,81,52,29,1,-,1,8575,5014,3561,802,613,189,2531,1540,991,3559,2158,1401,960,342,618,600,340,260,123,21,102
101學年,45歲至未滿50歲,11925,7591,4334,2284,1746,538,4203,2725,1478,2905,1959,946,1896,818,1078,525,312,213,112,31,81,288,117,171,4,3,1,26,16,10,66,41,25,160,40,120,32,17,15,-,-,-,1049,643,406,43,36,7,330,225,105,229,149,80,383,188,195,61,44,17,3,1,2,10588,6831,3757,2237,1707,530,3847,2484,1363,2610,1769,841,1353,590,763,432,251,181,109,30,79
101學年,50歲至未滿55歲,9565,6782,2783,2936,2348,588,3480,2520,960,1389,980,409,1516,818,698,180,102,78,64,14,50,117,56,61,4,4,-,15,8,7,27,16,11,63,24,39,8,4,4,-,-,-,784,537,247,48,45,3,295,221,74,126,98,28,288,155,133,26,18,8,1,-,1,8664,6189,2475,2884,2299,585,3170,2291,879,1236,866,370,1165,639,526,146,80,66,63,14,49
101學年,55歲至未滿60歲,6489,5049,1440,2615,2201,414,2235,1752,483,587,427,160,921,575,346,115,85,30,16,9,7,79,43,36,8,8,-,9,8,1,19,12,7,38,14,24,5,1,4,-,-,-,461,338,123,56,50,6,163,130,33,61,46,15,163,98,65,18,14,4,-,-,-,5949,4668,1281,2551,2143,408,2063,1614,449,507,369,138,720,463,257,92,70,22,16,9,7
101學年,60歲至未滿65歲,3626,2862,764,1693,1425,268,1107,863,244,249,191,58,475,307,168,92,73,19,10,3,7,38,20,18,2,1,1,13,9,4,5,2,3,14,6,8,4,2,2,-,-,-,232,169,63,31,25,6,85,68,17,27,23,4,78,46,32,9,7,2,2,-,2,3356,2673,683,1660,1399,261,1009,786,223,217,166,51,383,255,128,79,64,15,8,3,5
