學年別,年齡別,總計計,總計男,總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,4年級計,4年級男,4年級女,延修生計,延修生男,延修生女
101學年,16至未滿17歲,121188,67130,54058,6352,4194,2158,113345,62189,51156,1491,747,744,-,-,-,-,-,-
101學年,17至未滿18歲,114167,62927,51240,1215,841,374,5930,3731,2199,107002,58339,48663,9,5,4,11,11,-
101學年,18至未滿19歲,7827,4779,3048,276,183,93,1014,663,351,5673,3442,2231,699,360,339,165,131,34
101學年,19至未滿20歲,1450,877,573,68,40,28,238,150,88,940,563,377,111,41,70,93,83,10
101學年,20至未滿21歲,393,261,132,28,20,8,68,37,31,221,139,82,18,13,5,58,52,6
101學年,21至未滿22歲,114,70,44,17,6,11,29,20,9,48,29,19,14,9,5,6,6,-
101學年,22歲以上,76,51,25,11,7,4,24,13,11,33,24,9,7,6,1,1,1,-
100學年,總計,366449,203473,162976,131943,74320,57623,120191,66511,53680,113230,62060,51170,851,407,444,234,175,59
100學年,未滿14歲,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,14至未滿15歲,1560,819,741,1558,818,740,2,1,1,-,-,-,-,-,-,-,-,-
100學年,15至未滿16歲,124321,69528,54793,122750,68729,54021,1570,798,772,1,1,-,-,-,-,-,-,-
100學年,16至未滿17歲,117936,65282,52654,5880,3620,2260,110468,60843,49625,1588,819,769,-,-,-,-,-,-
100學年,17至未滿18歲,111786,61473,50313,1232,818,414,6665,3943,2722,103879,56707,47172,6,2,4,4,3,1
100學年,18至未滿19歲,8688,5022,3666,328,215,113,1111,682,429,6481,3719,2762,666,327,339,102,79,23
100學年,19至未滿20歲,1542,952,590,105,58,47,269,176,93,967,615,352,134,53,81,67,50,17
100學年,20至未滿21歲,388,243,145,44,28,16,58,34,24,237,151,86,20,10,10,29,20,9
100學年,21至未滿22歲,144,101,43,29,20,9,26,19,7,50,33,17,14,9,5,25,20,5
100學年,22歲以上,83,52,31,16,13,3,22,15,7,27,15,12,11,6,5,7,3,4
99學年,總計,362514,201424,161090,130424,73387,57037,117642,65050,52592,113264,62254,51010,832,440,392,352,293,59
99學年,未滿14歲,4,3,1,3,3,-,1,-,1,-,-,-,-,-,-,-,-,-
99學年,14至未滿15歲,1744,920,824,1744,920,824,-,-,-,-,-,-,-,-,-,-,-,-
99學年,15至未滿16歲,120016,67096,52920,118360,66223,52137,1656,873,783,-,-,-,-,-,-,-,-,-
99學年,16至未滿17歲,117430,64974,52456,8156,4849,3307,107194,59052,48142,2080,1073,1007,-,-,-,-,-,-
99學年,17至未滿18歲,112058,61671,50387,1546,998,548,7238,4143,3095,103257,56517,46740,6,5,1,11,8,3
99學年,18至未滿19歲,8787,5210,3577,408,274,134,1101,709,392,6425,3703,2722,641,354,287,212,170,42
99學年,19至未滿20歲,1689,1060,629,105,57,48,310,195,115,1049,677,372,143,57,86,82,74,8
99學年,20至未滿21歲,519,337,182,66,42,24,101,56,45,301,203,98,25,13,12,26,23,3
99學年,21至未滿22歲,138,77,61,10,5,5,20,11,9,87,45,42,6,4,2,15,12,3
99學年,22歲以上,129,76,53,26,16,10,21,11,10,65,36,29,11,7,4,6,6,-
98學年,總計,354608,197745,156863,127244,71304,55940,117114,64793,52321,107588,59865,47723,810,389,421,1852,1394,458
98學年,未滿14歲,8,3,5,8,3,5,-,-,-,-,-,-,-,-,-,-,-,-
98學年,14至未滿15歲,1882,1025,857,1880,1024,856,1,1,-,1,-,1,-,-,-,-,-,-
98學年,15至未滿16歲,117047,65024,52023,114752,63852,50900,2295,1172,1123,-,-,-,-,-,-,-,-,-
98學年,16至未滿17歲,116619,64257,52362,8404,4993,3411,105944,58116,47828,2271,1148,1123,-,-,-,-,-,-
98學年,17至未滿18歲,105648,58902,46746,1494,989,505,7183,4396,2787,96955,53507,43448,3,1,2,13,9,4
98學年,18至未滿19歲,10095,6348,3747,481,308,173,1184,789,395,6996,4334,2662,629,302,327,805,615,190
98學年,19至未滿20歲,2478,1639,839,154,89,65,329,219,110,1061,689,372,140,62,78,794,580,214
98學年,20至未滿21歲,496,320,176,38,23,15,95,53,42,207,128,79,22,15,7,134,101,33
98學年,21至未滿22歲,186,115,71,21,15,6,55,30,25,69,39,30,9,5,4,32,26,6
98學年,22歲以上,149,112,37,12,8,4,28,17,11,28,20,8,7,4,3,74,63,11
97學年,總計,346563,193827,152736,126471,71028,55443,111367,62314,49053,105542,58395,47147,1029,521,508,2154,1569,585
97學年,未滿14歲,4,2,2,3,2,1,1,-,1,-,-,-,-,-,-,-,-,-
97學年,14至未滿15歲,2194,1174,1020,2194,1174,1020,-,-,-,-,-,-,-,-,-,-,-,-
97學年,15至未滿16歲,114455,64013,50442,112262,62865,49397,2192,1148,1044,1,-,1,-,-,-,-,-,-
97學年,16至未滿17歲,111052,61837,49215,9538,5357,4181,99371,55332,44039,2143,1148,995,-,-,-,-,-,-
97學年,17至未滿18歲,104253,57867,46386,1616,1070,546,8104,4746,3358,94467,52001,42466,5,3,2,61,47,14
97學年,18至未滿19歲,11379,6838,4541,586,387,199,1253,813,440,7655,4454,3201,761,385,376,1124,799,325
97學年,19至未滿20歲,2344,1537,807,164,107,57,300,188,112,979,620,359,167,79,88,734,543,191
97學年,20至未滿21歲,618,392,226,71,42,29,92,51,41,231,134,97,40,26,14,184,139,45
97學年,21至未滿22歲,182,122,60,21,14,7,44,32,12,46,27,19,27,15,12,44,34,10
97學年,22歲以上,82,45,37,16,10,6,10,4,6,20,11,9,29,13,16,7,7,-
""
