學年別,縣市別,總計校數計,總計校數公立,總計校數私立,總計教師數計,總計教師數公立,總計教師數私立,總計職員數計,總計職員數公立,總計職員數私立,總計班級數計,總計班級數公立,總計班級數私立,總計學生數計,總計學生數公立,總計學生數私立,總計上學年畢業生數計,總計上學年畢業生數公立,總計上學年畢業生數私立,高中進修學校校數計,高中進修學校校數公立,高中進修學校校數私立,高中進修學校教師數計,高中進修學校教師數公立,高中進修學校教師數私立,高中進修學校職員數計,高中進修學校職員數公立,高中進修學校職員數私立,高中進修學校班級數計,高中進修學校班級數公立,高中進修學校班級數私立,高中進修學校學生數計,高中進修學校學生數公立,高中進修學校學生數私立,高中進修學校上學年畢業生數計,高中進修學校上學年畢業生數公立,高中進修學校上學年畢業生數私立,職業進修學校校數計,職業進修學校校數公立,職業進修學校校數私立,職業進修學校教師數計,職業進修學校教師數公立,職業進修學校教師數私立,職業進修學校職員數計,職業進修學校職員數公立,職業進修學校職員數私立,職業進修學校班級數計,職業進修學校班級數公立,職業進修學校班級數私立,職業進修學校學生數計,職業進修學校學生數公立,職業進修學校學生數私立,職業進修學校上學年畢業生數計,職業進修學校上學年畢業生數公立,職業進修學校上學年畢業生數私立
99學年,臺南市,10,4,6,40,32,8,12,8,4,110,59,51,2622,1415,1207,876,471,405,1,1,-,...,...,...,...,...,...,15,15,-,264,264,-,112,112,-,9,3,6,...,...,...,...,...,...,95,44,51,2358,1151,1207,764,359,405
99學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-
98學年,總計,223,104,119,1241,256,985,296,91,205,2665,1100,1565,92752,37258,55494,30246,11570,18676,30,18,12,...,...,...,...,...,...,150,100,50,4390,2662,1728,1261,794,467,203,89,114,...,...,...,...,...,...,2515,1000,1515,88362,34596,53766,28985,10776,18209
98學年,臺北市,19,2,17,240,63,177,81,24,57,297,41,256,10940,1551,9389,3475,465,3010,5,-,5,...,...,...,...,...,...,25,-,25,788,-,788,304,-,304,17,2,15,...,...,...,...,...,...,272,41,231,10152,1551,8601,3171,465,2706
98學年,高雄市,11,5,6,118,84,34,24,11,13,158,82,76,5038,2974,2064,1963,953,1010,1,1,-,...,...,...,...,...,...,9,9,-,328,328,-,104,104,-,10,4,6,...,...,...,...,...,...,149,73,76,4710,2646,2064,1859,849,1010
98學年,臺北縣,30,15,15,150,16,134,41,6,35,371,120,251,13236,3866,9370,4500,1249,3251,9,9,-,...,...,...,...,...,...,42,42,-,1109,1109,-,373,373,-,21,6,15,...,...,...,...,...,...,329,78,251,12127,2757,9370,4127,876,3251
98學年,宜蘭縣,6,6,-,11,11,-,6,6,-,65,65,-,2156,2156,-,694,694,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,6,6,-,...,...,...,...,...,...,65,65,-,2156,2156,-,694,694,-
98學年,桃園縣,19,5,14,242,-,242,36,6,30,351,67,284,14174,2549,11625,4448,799,3649,3,-,3,...,...,...,...,...,...,13,-,13,574,-,574,85,-,85,18,5,13,...,...,...,...,...,...,338,67,271,13600,2549,11051,4363,799,3564
98學年,新竹縣,6,1,5,53,-,53,4,-,4,73,6,67,2558,238,2320,900,85,815,2,1,1,...,...,...,...,...,...,6,3,3,217,116,101,42,42,-,6,1,5,...,...,...,...,...,...,67,3,64,2341,122,2219,858,43,815
98學年,苗栗縣,7,2,5,17,-,17,4,1,3,68,15,53,1927,544,1383,735,174,561,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,7,2,5,...,...,...,...,...,...,68,15,53,1927,544,1383,735,174,561
98學年,臺中縣,15,6,9,111,-,111,19,-,19,207,67,140,7532,2473,5059,2311,723,1588,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,15,6,9,...,...,...,...,...,...,207,67,140,7532,2473,5059,2311,723,1588
98學年,彰化縣,15,12,3,39,-,39,23,9,14,194,152,42,7019,5458,1561,2314,1693,621,1,1,-,...,...,...,...,...,...,6,6,-,213,213,-,-,-,-,14,11,3,...,...,...,...,...,...,188,146,42,6806,5245,1561,2314,1693,621
98學年,南投縣,7,6,1,-,-,-,4,3,1,58,55,3,2069,1972,97,626,576,50,1,1,-,...,...,...,...,...,...,3,3,-,114,114,-,31,31,-,7,6,1,...,...,...,...,...,...,55,52,3,1955,1858,97,595,545,50
98學年,雲林縣,7,4,3,10,-,10,4,3,1,37,22,15,1110,686,424,325,207,118,1,1,-,...,...,...,...,...,...,3,3,-,69,69,-,19,19,-,6,3,3,...,...,...,...,...,...,34,19,15,1041,617,424,306,188,118
98學年,嘉義縣,3,1,2,3,-,3,-,-,-,11,6,5,277,162,115,68,35,33,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,3,1,2,...,...,...,...,...,...,11,6,5,277,162,115,68,35,33
98學年,臺南縣,16,9,7,18,12,6,1,-,1,83,56,27,2042,1426,616,709,488,221,2,1,1,...,...,...,...,...,...,5,2,3,115,25,90,42,17,25,15,9,6,...,...,...,...,...,...,78,54,24,1927,1401,526,667,471,196
98學年,高雄縣,8,2,6,25,-,25,1,-,1,73,37,36,2139,1304,835,832,451,381,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,8,2,6,...,...,...,...,...,...,73,37,36,2139,1304,835,832,451,381
98學年,屏東縣,8,3,5,30,-,30,10,-,10,64,27,37,2037,795,1242,517,197,320,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,8,3,5,...,...,...,...,...,...,64,27,37,2037,795,1242,517,197,320
98學年,臺東縣,3,3,-,8,8,-,-,-,-,22,22,-,493,493,-,161,161,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,3,3,-,...,...,...,...,...,...,22,22,-,493,493,-,161,161,-
98學年,花蓮縣,7,4,3,6,-,6,4,4,-,51,32,19,1495,910,585,381,260,121,1,-,1,...,...,...,...,...,...,3,-,3,73,-,73,25,-,25,6,4,2,...,...,...,...,...,...,48,32,16,1422,910,512,356,260,96
98學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-
98學年,基隆市,5,3,2,3,-,3,-,-,-,48,33,15,1881,1243,638,516,367,149,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,5,3,2,...,...,...,...,...,...,48,33,15,1881,1243,638,516,367,149
98學年,新竹市,6,3,3,21,-,21,3,-,3,85,21,64,3008,771,2237,1034,230,804,1,1,-,...,...,...,...,...,...,6,6,-,160,160,-,35,35,-,5,2,3,...,...,...,...,...,...,79,15,64,2848,611,2237,999,195,804
98學年,臺中市,8,4,4,70,30,40,19,10,9,191,81,110,7956,3407,4549,2396,1016,1380,1,-,1,...,...,...,...,...,...,3,-,3,102,-,102,28,-,28,8,4,4,...,...,...,...,...,...,188,81,107,7854,3407,4447,2368,1016,1352
98學年,嘉義市,6,4,2,10,-,10,-,-,-,40,31,9,961,693,268,369,244,125,1,1,-,...,...,...,...,...,...,9,9,-,216,216,-,70,70,-,5,3,2,...,...,...,...,...,...,31,22,9,745,477,268,299,174,125
98學年,臺南市,11,4,7,56,32,24,12,8,4,118,62,56,2704,1587,1117,972,503,469,1,1,-,...,...,...,...,...,...,17,17,-,312,312,-,103,103,-,10,3,7,...,...,...,...,...,...,101,45,56,2392,1275,1117,869,400,469
98學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-
97學年,總計,224,104,120,1218,233,985,300,94,206,2740,1110,1630,98376,38585,59791,29962,11374,18588,30,18,12,...,...,...,...,...,...,149,101,48,4437,2751,1686,1447,856,591,204,89,115,...,...,...,...,...,...,2591,1009,1582,93939,35834,58105,28515,10518,17997
97學年,臺北市,20,2,18,228,65,163,77,20,57,303,41,262,11641,1579,10062,3217,424,2793,5,-,5,...,...,...,...,...,...,26,-,26,832,-,832,323,-,323,18,2,16,...,...,...,...,...,...,277,41,236,10809,1579,9230,2894,424,2470
97學年,高雄市,11,5,6,126,82,44,21,11,10,171,83,88,5494,3113,2381,1940,888,1052,1,1,-,...,...,...,...,...,...,9,9,-,329,329,-,98,98,-,10,4,6,...,...,...,...,...,...,162,74,88,5165,2784,2381,1842,790,1052
97學年,臺北縣,30,15,15,134,-,134,46,12,34,388,120,268,14360,3898,10462,4514,1201,3313,9,9,-,...,...,...,...,...,...,42,42,-,1131,1131,-,362,362,-,21,6,15,...,...,...,...,...,...,346,78,268,13229,2767,10462,4152,839,3313
97學年,宜蘭縣,6,6,-,17,17,-,6,6,-,68,68,-,2369,2369,-,776,776,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,6,6,-,...,...,...,...,...,...,68,68,-,2369,2369,-,776,776,-
97學年,桃園縣,19,5,14,234,-,234,35,6,29,356,68,288,14906,2642,12264,4296,798,3498,3,-,3,...,...,...,...,...,...,10,-,10,471,-,471,122,-,122,18,5,13,...,...,...,...,...,...,346,68,278,14435,2642,11793,4174,798,3376
97學年,新竹縣,6,1,5,54,-,54,5,-,5,81,6,75,2869,248,2621,1044,93,951,2,1,1,...,...,...,...,...,...,6,3,3,241,123,118,48,48,-,6,1,5,...,...,...,...,...,...,75,3,72,2628,125,2503,996,45,951
97學年,苗栗縣,7,2,5,25,-,25,4,1,3,71,15,56,2227,527,1700,775,198,577,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,7,2,5,...,...,...,...,...,...,71,15,56,2227,527,1700,775,198,577
97學年,臺中縣,15,6,9,112,-,112,27,-,27,208,67,141,7531,2495,5036,2240,660,1580,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,15,6,9,...,...,...,...,...,...,208,67,141,7531,2495,5036,2240,660,1580
97學年,彰化縣,15,12,3,42,-,42,23,9,14,200,153,47,7393,5636,1757,2207,1583,624,1,1,-,...,...,...,...,...,...,6,6,-,234,234,-,-,-,-,14,11,3,...,...,...,...,...,...,194,147,47,7159,5402,1757,2207,1583,624
97學年,南投縣,7,6,1,2,-,2,4,3,1,59,55,4,2076,1956,120,629,588,41,1,1,-,...,...,...,...,...,...,3,3,-,110,110,-,23,23,-,7,6,1,...,...,...,...,...,...,56,52,4,1966,1846,120,606,565,41
97學年,雲林縣,7,4,3,13,-,13,5,3,2,36,22,14,1151,735,416,322,194,128,1,1,-,...,...,...,...,...,...,3,3,-,64,64,-,20,20,-,6,3,3,...,...,...,...,...,...,33,19,14,1087,671,416,302,174,128
97學年,嘉義縣,3,1,2,3,-,3,-,-,-,9,6,3,237,163,74,106,58,48,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,3,1,2,...,...,...,...,...,...,9,6,3,237,163,74,106,58,48
97學年,臺南縣,16,9,7,25,-,25,2,-,2,83,57,26,2337,1657,680,729,530,199,2,1,1,...,...,...,...,...,...,6,3,3,154,66,88,56,25,31,15,9,6,...,...,...,...,...,...,77,54,23,2183,1591,592,673,505,168
97學年,高雄縣,8,2,6,26,-,26,1,-,1,79,40,39,2453,1422,1031,811,476,335,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,8,2,6,...,...,...,...,...,...,79,40,39,2453,1422,1031,811,476,335
97學年,屏東縣,8,3,5,17,-,17,3,-,3,63,28,35,2060,807,1253,563,223,340,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,8,3,5,...,...,...,...,...,...,63,28,35,2060,807,1253,563,223,340
97學年,臺東縣,3,3,-,8,8,-,-,-,-,22,22,-,553,553,-,152,152,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,3,3,-,...,...,...,...,...,...,22,22,-,553,553,-,152,152,-
97學年,花蓮縣,7,4,3,-,-,-,4,4,-,51,32,19,1423,937,486,315,192,123,1,-,1,...,...,...,...,...,...,3,-,3,75,-,75,28,-,28,6,4,2,...,...,...,...,...,...,48,32,16,1348,937,411,287,192,95
97學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-
97學年,基隆市,5,3,2,3,-,3,-,-,-,46,31,15,1834,1221,613,448,291,157,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,5,3,2,...,...,...,...,...,...,46,31,15,1834,1221,613,448,291,157
97學年,新竹市,6,3,3,18,-,18,3,-,3,86,21,65,3307,779,2528,995,222,773,1,1,-,...,...,...,...,...,...,6,6,-,137,137,-,60,60,-,5,2,3,...,...,...,...,...,...,80,15,65,3170,642,2528,935,162,773
97學年,臺中市,8,4,4,68,31,37,20,11,9,193,81,112,8164,3431,4733,2330,966,1364,1,-,1,...,...,...,...,...,...,3,-,3,102,-,102,33,-,33,8,4,4,...,...,...,...,...,...,190,81,109,8062,3431,4631,2297,966,1331
97學年,嘉義市,6,4,2,8,-,8,-,-,-,42,32,10,1034,747,287,445,286,159,1,1,-,...,...,...,...,...,...,9,9,-,211,211,-,130,76,54,5,3,2,...,...,...,...,...,...,33,23,10,823,536,287,315,210,105
97學年,臺南市,11,4,7,55,30,25,14,8,6,125,62,63,2957,1670,1287,1108,575,533,1,1,-,...,...,...,...,...,...,17,17,-,346,346,-,144,144,-,10,3,7,...,...,...,...,...,...,108,45,63,2611,1324,1287,964,431,533
97學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-
""
