學年別,縣市別,總計計,總計國立,總計直轄市立,總計縣市立,總計私立,普通科計,普通科國立,普通科直轄市立,普通科縣市立,普通科私立,專業群(職業)科計,專業群(職業)科國立,專業群(職業)科直轄市立,專業群(職業)科縣市立,專業群(職業)科私立
103學年,新竹縣,48,6,-,-,42,4,3,-,-,1,44,3,-,-,41
103學年,苗栗縣,56,15,-,-,41,-,-,-,-,-,56,15,-,-,41
103學年,彰化縣,147,132,-,-,15,7,7,-,-,-,140,125,-,-,15
103學年,南投縣,49,45,-,-,4,3,3,-,-,-,46,42,-,-,4
103學年,雲林縣,29,13,-,3,13,3,-,-,3,-,26,13,-,-,13
103學年,嘉義縣,13,6,-,-,7,1,-,-,-,1,12,6,-,-,6
103學年,屏東縣,54,25,-,-,29,-,-,-,-,-,54,25,-,-,29
103學年,臺東縣,18,18,-,-,-,-,-,-,-,-,18,18,-,-,-
103學年,花蓮縣,34,25,-,-,9,3,-,-,-,3,31,25,-,-,6
103學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,27,20,-,-,7,-,-,-,-,-,27,20,-,-,7
103學年,新竹市,62,15,-,3,44,3,-,-,3,-,59,15,-,-,44
103學年,嘉義市,43,33,-,-,10,9,9,-,-,-,34,24,-,-,10
103學年,金門縣,3,3,-,-,-,-,-,-,-,-,3,3,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,2248,745,235,8,1260,119,33,53,6,27,2129,712,182,2,1233
102學年,新北市,307,-,121,-,186,42,-,42,-,-,265,-,79,-,186
102學年,臺北市,270,9,43,-,218,14,-,-,-,14,256,9,43,-,204
102學年,臺中市,323,123,3,-,197,6,-,3,-,3,317,123,-,-,194
102學年,臺南市,163,98,-,-,65,15,12,-,-,3,148,86,-,-,62
102學年,高雄市,228,33,68,-,127,8,-,8,-,-,220,33,60,-,127
102學年,宜蘭縣,55,54,-,1,-,-,-,-,-,-,55,54,-,1,-
102學年,桃園縣,280,57,-,-,223,3,-,-,-,3,277,57,-,-,220
102學年,新竹縣,52,6,-,-,46,4,3,-,-,1,48,3,-,-,45
102學年,苗栗縣,58,15,-,-,43,-,-,-,-,-,58,15,-,-,43
102學年,彰化縣,157,134,-,-,23,6,6,-,-,-,151,128,-,-,23
102學年,南投縣,54,50,-,-,4,3,3,-,-,-,51,47,-,-,4
102學年,雲林縣,29,14,-,3,12,3,-,-,3,-,26,14,-,-,12
102學年,嘉義縣,12,6,-,-,6,-,-,-,-,-,12,6,-,-,6
102學年,屏東縣,60,25,-,-,35,-,-,-,-,-,60,25,-,-,35
102學年,臺東縣,20,19,-,1,-,-,-,-,-,-,20,19,-,1,-
102學年,花蓮縣,35,26,-,-,9,3,-,-,-,3,32,26,-,-,6
102學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,31,24,-,-,7,-,-,-,-,-,31,24,-,-,7
102學年,新竹市,66,15,-,3,48,3,-,-,3,-,63,15,-,-,48
102學年,嘉義市,45,34,-,-,11,9,9,-,-,-,36,25,-,-,11
102學年,金門縣,3,3,-,-,-,-,-,-,-,-,3,3,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,2387,857,152,9,1369,133,35,56,7,35,2254,822,96,2,1334
