學年別,洲別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
98學年,亞洲,386,268,118,126,94,32,-,-,-,260,174,86,51,47,4,24,21,3,-,-,-,27,26,1,61,46,15,19,15,4,-,-,-,42,31,11,188,125,63,61,44,17,-,-,-,127,81,46,77,41,36,15,7,8,-,-,-,62,34,28,9,9,-,7,7,-,-,-,-,2,2,-
98學年,大洋洲,25,23,2,7,7,-,-,-,-,18,16,2,4,4,-,4,4,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,-,1,1,-,10,8,2,1,1,-,-,-,-,9,7,2,7,7,-,1,1,-,-,-,-,6,6,-,2,2,-,-,-,-,-,-,-,2,2,-
98學年,非洲,11,9,2,2,2,-,-,-,-,9,7,2,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,2,2,-,-,-,-,-,-,-,2,2,-,5,4,1,1,1,-,-,-,-,4,3,1,2,1,1,-,-,-,-,-,-,2,1,1
98學年,歐洲,206,168,38,73,63,10,-,-,-,133,105,28,24,24,-,12,12,-,-,-,-,12,12,-,45,35,10,15,12,3,-,-,-,30,23,7,79,61,18,34,29,5,-,-,-,45,32,13,51,41,10,9,7,2,-,-,-,42,34,8,7,7,-,3,3,-,-,-,-,4,4,-
98學年,美洲,431,365,66,155,127,28,3,3,-,273,235,38,68,59,9,39,35,4,-,-,-,29,24,5,77,63,14,32,25,7,-,-,-,45,38,7,114,100,14,39,33,6,1,1,-,74,66,8,155,127,28,32,22,10,2,2,-,121,103,18,17,16,1,13,12,1,-,-,-,4,4,-
97學年,總計,1055,834,221,338,273,65,3,3,-,714,558,156,156,143,13,74,69,5,-,-,-,82,74,8,190,146,44,66,51,15,-,-,-,124,95,29,366,287,79,119,97,22,1,1,-,246,189,57,311,229,82,58,37,21,2,2,-,251,190,61,32,29,3,21,19,2,-,-,-,11,10,1
97學年,亞洲,374,259,115,116,83,33,-,-,-,258,176,82,53,50,3,21,20,1,-,-,-,32,30,2,62,45,17,20,14,6,-,-,-,42,31,11,167,115,52,54,37,17,-,-,-,113,78,35,84,41,43,16,7,9,-,-,-,68,34,34,8,8,-,5,5,-,-,-,-,3,3,-
97學年,大洋洲,27,26,1,7,7,-,-,-,-,20,19,1,4,4,-,3,3,-,-,-,-,1,1,-,3,3,-,2,2,-,-,-,-,1,1,-,10,9,1,1,1,-,-,-,-,9,8,1,9,9,-,1,1,-,-,-,-,8,8,-,1,1,-,-,-,-,-,-,-,1,1,-
97學年,非洲,7,7,-,1,1,-,-,-,-,6,6,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,4,4,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,歐洲,201,164,37,67,60,7,-,-,-,134,104,30,23,22,1,9,9,-,-,-,-,14,13,1,44,35,9,13,11,2,-,-,-,31,24,7,76,60,16,32,30,2,-,-,-,44,30,14,53,43,10,9,7,2,-,-,-,44,36,8,5,4,1,4,3,1,-,-,-,1,1,-
97學年,美洲,446,378,68,147,122,25,3,3,-,296,253,43,75,66,9,40,36,4,-,-,-,35,30,5,81,63,18,31,24,7,-,-,-,50,39,11,109,99,10,32,29,3,1,1,-,76,69,7,163,134,29,32,22,10,2,2,-,129,110,19,18,16,2,12,11,1,-,-,-,6,5,1
""
