學年別,縣市別,總計計,總計男,總計女,國立計,國立男,國立女,直轄市立計,直轄市立男,直轄市立女,縣市立計,縣市立男,縣市立女,私立計,私立男,私立女
103學年,新竹市,7017,3430,3587,2880,1437,1443,-,-,-,855,440,415,3282,1553,1729
103學年,嘉義市,6988,3258,3730,4033,1881,2152,-,-,-,-,-,-,2955,1377,1578
103學年,金門縣,599,318,281,599,318,281,-,-,-,-,-,-,-,-,-
103學年,連江縣,129,66,63,129,66,63,-,-,-,-,-,-,-,-,-
102學年,總計,277047,144167,132880,84858,45007,39851,50812,26683,24129,6910,3320,3590,134467,69157,65310
102學年,新北市,31643,16243,15400,504,232,272,13143,6965,6178,-,-,-,17996,9046,8950
102學年,臺北市,41595,20731,20864,1483,823,660,22383,12047,10336,-,-,-,17729,7861,9868
102學年,臺中市,37224,19255,17969,12423,6982,5441,2888,1317,1571,-,-,-,21913,10956,10957
102學年,臺南市,23031,12167,10864,11383,6220,5163,598,316,282,-,-,-,11050,5631,5419
102學年,高雄市,32724,17460,15264,4868,2558,2310,11800,6038,5762,-,-,-,16056,8864,7192
102學年,宜蘭縣,4859,2635,2224,4358,2325,2033,-,-,-,88,45,43,413,265,148
102學年,桃園縣,27918,14753,13165,7622,3963,3659,-,-,-,2947,1350,1597,17349,9440,7909
102學年,新竹縣,5274,2860,2414,1584,726,858,-,-,-,199,93,106,3491,2041,1450
102學年,苗栗縣,6674,3389,3285,3284,1578,1706,-,-,-,382,173,209,3008,1638,1370
102學年,彰化縣,15268,8216,7052,9301,4997,4304,-,-,-,605,289,316,5362,2930,2432
102學年,南投縣,5506,2789,2717,3957,2004,1953,-,-,-,268,118,150,1281,667,614
102學年,雲林縣,7617,4278,3339,3757,2060,1697,-,-,-,397,203,194,3463,2015,1448
102學年,嘉義縣,3601,2148,1453,1068,742,326,-,-,-,187,87,100,2346,1319,1027
102學年,屏東縣,7618,4212,3406,4364,2521,1843,-,-,-,568,250,318,2686,1441,1245
102學年,臺東縣,2008,983,1025,1557,755,802,-,-,-,23,14,9,428,214,214
102學年,花蓮縣,4103,2149,1954,2366,1251,1115,-,-,-,43,27,16,1694,871,823
102學年,澎湖縣,800,391,409,800,391,409,-,-,-,-,-,-,-,-,-
102學年,基隆市,5026,2420,2606,2647,1129,1518,-,-,-,371,259,112,2008,1032,976
102學年,新竹市,6859,3413,3446,2843,1466,1377,-,-,-,832,412,420,3184,1535,1649
102學年,嘉義市,6929,3291,3638,3919,1900,2019,-,-,-,-,-,-,3010,1391,1619
102學年,金門縣,662,326,336,662,326,336,-,-,-,-,-,-,-,-,-
102學年,連江縣,108,58,50,108,58,50,-,-,-,-,-,-,-,-,-
101學年,總計,277910,144788,133122,84989,45077,39912,50564,26880,23684,6387,2984,3403,135970,69847,66123
101學年,新北市,31944,16378,15566,524,248,276,13153,6910,6243,-,-,-,18267,9220,9047
101學年,臺北市,41088,20719,20369,1607,962,645,22009,12167,9842,-,-,-,17472,7590,9882
101學年,臺中市,36393,18791,17602,12492,6990,5502,2884,1415,1469,-,-,-,21017,10386,10631
101學年,臺南市,23181,12194,10987,11207,6045,5162,571,277,294,-,-,-,11403,5872,5531
101學年,高雄市,33504,17910,15594,4850,2640,2210,11947,6111,5836,-,-,-,16707,9159,7548
101學年,宜蘭縣,4930,2665,2265,4421,2347,2074,-,-,-,65,34,31,444,284,160
101學年,桃園縣,27689,14787,12902,7639,4017,3622,-,-,-,2818,1283,1535,17232,9487,7745
101學年,新竹縣,5389,2916,2473,1517,702,815,-,-,-,204,109,95,3668,2105,1563
101學年,苗栗縣,6622,3324,3298,3195,1502,1693,-,-,-,366,178,188,3061,1644,1417
101學年,彰化縣,15307,8304,7003,9251,4997,4254,-,-,-,457,200,257,5599,3107,2492
101學年,南投縣,5434,2722,2712,4020,1976,2044,-,-,-,212,96,116,1202,650,552
101學年,雲林縣,7445,4138,3307,3633,1997,1636,-,-,-,366,185,181,3446,1956,1490
101學年,嘉義縣,3819,2263,1556,1045,722,323,-,-,-,175,70,105,2599,1471,1128
101學年,屏東縣,7809,4190,3619,4338,2481,1857,-,-,-,558,198,360,2913,1511,1402
101學年,臺東縣,2236,1178,1058,1720,903,817,-,-,-,16,15,1,500,260,240
101學年,花蓮縣,4252,2186,2066,2404,1237,1167,-,-,-,40,24,16,1808,925,883
101學年,澎湖縣,864,445,419,864,445,419,-,-,-,-,-,-,-,-,-
101學年,基隆市,5245,2484,2761,2693,1094,1599,-,-,-,346,204,142,2206,1186,1020
101學年,新竹市,7017,3438,3579,2843,1471,1372,-,-,-,764,388,376,3410,1579,1831
101學年,嘉義市,6951,3348,3603,3935,1893,2042,-,-,-,-,-,-,3016,1455,1561
101學年,金門縣,691,359,332,691,359,332,-,-,-,-,-,-,-,-,-
101學年,連江縣,100,49,51,100,49,51,-,-,-,-,-,-,-,-,-
100學年,總計,279381,146193,133188,96219,51357,44862,41987,22034,19953,5877,2870,3007,135298,69932,65366
100學年,新北市,32779,17078,15701,9105,5380,3725,5040,2309,2731,-,-,-,18634,9389,9245
100學年,臺北市,41395,21115,20280,1606,952,654,21967,12066,9901,-,-,-,17822,8097,9725
100學年,臺中市,36404,19208,17196,12968,7238,5730,2543,1233,1310,-,-,-,20893,10737,10156
