學年別,學習中心,二專總計,二專男,二專女,二技總計,二技男,二技女,學士班總計,學士班男,學士班女
99學年,臺北,2279,793,1486,1456,332,1124,5978,1885,4093
99學年,宜蘭,210,65,145,68,9,59,354,151,203
99學年,桃園,276,90,186,195,60,135,-,-,-
99學年,新竹,306,125,181,146,45,101,756,324,432
99學年,臺中,2106,898,1208,1542,483,1059,2209,889,1320
99學年,彰化,402,129,273,359,96,263,-,-,-
99學年,嘉義,103,56,47,-,-,-,719,358,361
99學年,臺南,463,205,258,267,96,171,932,380,552
99學年,高雄,346,146,200,183,53,130,3984,1784,2200
99學年,花蓮,353,182,171,216,76,140,524,181,343
99學年,臺東,335,121,214,151,61,90,286,114,172
99學年,澎湖,48,20,28,-,-,-,408,214,194
99學年,金門,37,17,20,-,-,-,144,69,75
99學年,連江,17,10,7,-,-,-,-,-,-
98學年,總計,8727,3687,5040,5296,1442,3854,16029,5803,10226
98學年,基隆,216,100,116,131,33,98,421,150,271
98學年,臺北,2470,903,1567,1721,358,1363,4651,1188,3463
98學年,臺北二,-,-,-,-,-,-,1504,554,950
98學年,宜蘭,323,120,203,134,25,109,342,137,205
98學年,桃園,287,101,186,172,57,115,-,-,-
98學年,新竹,368,166,202,167,54,113,807,292,515
98學年,臺中,2417,1110,1307,1628,468,1160,2100,798,1302
98學年,彰化,529,163,366,382,106,276,-,-,-
98學年,嘉義,162,107,55,-,-,-,661,347,314
98學年,臺南,517,262,255,309,118,191,858,316,542
98學年,高雄,464,212,252,225,55,170,3275,1443,1832
98學年,花蓮,422,198,224,255,101,154,524,179,345
98學年,臺東,439,189,250,172,67,105,309,119,190
98學年,澎湖,49,22,27,-,-,-,413,210,203
98學年,金門,45,24,21,-,-,-,164,70,94
98學年,連江,19,10,9,-,-,-,-,-,-
97學年,總計,10389,4947,5442,5831,1477,4354,16751,5521,11230
97學年,基隆,633,297,336,159,46,113,453,155,298
97學年,臺北,2789,1119,1670,2182,462,1720,5336,1326,4010
97學年,臺北二,-,-,-,-,-,-,1544,480,1064
97學年,宜蘭,348,159,189,158,40,118,311,107,204
97學年,桃園,301,101,200,182,45,137,-,-,-
97學年,新竹,480,246,234,166,41,125,790,243,547
97學年,臺中,2749,1358,1391,1659,419,1240,2112,713,1399
97學年,彰化,591,185,406,407,109,298,-,-,-
97學年,嘉義,283,218,65,-,-,-,701,311,390
97學年,臺南,604,307,297,275,103,172,928,294,634
97學年,高雄,328,213,115,259,68,191,3246,1358,1888
97學年,花蓮,556,333,223,220,89,131,457,140,317
97學年,臺東,502,257,245,164,55,109,311,116,195
97學年,澎湖,152,116,36,-,-,-,411,221,190
97學年,金門,56,26,30,-,-,-,151,57,94
97學年,連江,17,12,5,-,-,-,-,-,-
""
