學年別,縣市別,專科進修學校(不含空專)總計,專科進修學校(不含空專)國立,專科進修學校(不含空專)直轄市立,專科進修學校(不含空專)私立,進修學院(不含空院)總計,進修學院(不含空院)國立,進修學院(不含空院)直轄市立,進修學院(不含空院)私立,空中進修專校總計,空中進修專校國立,空中進修專校直轄市立,空中進修專校私立,空中進修學院總計,空中進修學院國立,空中進修學院直轄市立,空中進修學院私立,空中大學總計,空中大學國立,空中大學直轄市立,空中大學私立
104學年,嘉義縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,屏東縣,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,花蓮縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹市,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,嘉義市,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,45,4,-,41,44,5,-,39,1,1,-,-,2,2,-,-,2,1,1,-
103學年,新北市,7,-,-,7,6,-,-,6,1,1,-,-,-,-,-,-,1,1,-,-
103學年,臺北市,6,1,-,5,6,1,-,5,-,-,-,-,1,1,-,-,-,-,-,-
103學年,臺中市,4,2,-,2,5,2,-,3,-,-,-,-,1,1,-,-,-,-,-,-
103學年,臺南市,2,-,-,2,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
103學年,高雄市,6,-,-,6,5,1,-,4,-,-,-,-,-,-,-,-,1,-,1,-
103學年,宜蘭縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,桃園縣,4,-,-,4,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
103學年,新竹縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,苗栗縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,彰化縣,2,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,南投縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,雲林縣,2,1,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,嘉義縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,屏東縣,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
103學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,花蓮縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
103學年,新竹市,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,嘉義市,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,46,4,-,42,45,5,-,40,1,1,-,-,2,2,-,-,2,1,1,-
102學年,新北市,7,-,-,7,6,-,-,6,1,1,-,-,-,-,-,-,1,1,-,-
102學年,臺北市,6,1,-,5,6,1,-,5,-,-,-,-,1,1,-,-,-,-,-,-
102學年,臺中市,4,2,-,2,5,2,-,3,-,-,-,-,1,1,-,-,-,-,-,-
102學年,臺南市,2,-,-,2,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
102學年,高雄市,6,-,-,6,5,1,-,4,-,-,-,-,-,-,-,-,1,-,1,-
102學年,宜蘭縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,桃園縣,4,-,-,4,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
102學年,新竹縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,苗栗縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,彰化縣,2,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,南投縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,雲林縣,2,1,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,嘉義縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,屏東縣,3,-,-,3,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-
102學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,花蓮縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
102學年,新竹市,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,嘉義市,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,46,4,-,42,45,5,-,40,1,1,-,-,2,2,-,-,2,1,1,-
101學年,新北市,7,-,-,7,6,-,-,6,1,1,-,-,-,-,-,-,1,1,-,-
101學年,臺北市,6,1,-,5,6,1,-,5,-,-,-,-,1,1,-,-,-,-,-,-
101學年,臺中市,4,2,-,2,5,2,-,3,-,-,-,-,1,1,-,-,-,-,-,-
101學年,臺南市,2,-,-,2,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
101學年,高雄市,6,-,-,6,5,1,-,4,-,-,-,-,-,-,-,-,1,-,1,-
101學年,宜蘭縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
101學年,桃園縣,4,-,-,4,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
101學年,新竹縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
101學年,苗栗縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
101學年,彰化縣,2,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
101學年,南投縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
101學年,雲林縣,2,1,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
101學年,嘉義縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
101學年,屏東縣,3,-,-,3,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-
101學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,花蓮縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
101學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,基隆市,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
101學年,新竹市,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
101學年,嘉義市,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,46,4,-,42,45,5,-,40,1,1,-,-,2,2,-,-,2,1,1,-
100學年,新北市,7,-,-,7,6,-,-,6,1,1,-,-,-,-,-,-,1,1,-,-
100學年,臺北市,6,1,-,5,6,1,-,5,-,-,-,-,1,1,-,-,-,-,-,-
100學年,臺中市,4,2,-,2,5,2,-,3,-,-,-,-,1,1,-,-,-,-,-,-
100學年,臺南市,2,-,-,2,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
100學年,高雄市,6,-,-,6,5,1,-,4,-,-,-,-,-,-,-,-,1,-,1,-
100學年,宜蘭縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
100學年,桃園縣,4,-,-,4,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
100學年,新竹縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
100學年,苗栗縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
100學年,彰化縣,2,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
100學年,南投縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
100學年,雲林縣,2,1,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
100學年,嘉義縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
100學年,屏東縣,3,-,-,3,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-
100學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,花蓮縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
100學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,基隆市,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
100學年,新竹市,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
100學年,嘉義市,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,46,4,-,42,45,5,-,40,1,1,-,-,2,2,-,-,2,1,1,-
99學年,臺北市,6,1,-,5,6,1,-,5,-,-,-,-,1,1,-,-,-,-,-,-
99學年,高雄市,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-
99學年,臺北縣,7,-,-,7,6,-,-,6,1,1,-,-,-,-,-,-,1,1,-,-
99學年,宜蘭縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
99學年,桃園縣,4,-,-,4,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
99學年,新竹縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
99學年,苗栗縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
99學年,臺中縣,2,1,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
99學年,彰化縣,2,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
99學年,南投縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
99學年,雲林縣,2,1,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
99學年,嘉義縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
99學年,臺南縣,2,-,-,2,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
99學年,高雄縣,6,-,-,6,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
99學年,屏東縣,3,-,-,3,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-
99學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,花蓮縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
99學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
99學年,新竹市,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
99學年,臺中市,2,1,-,1,3,1,-,2,-,-,-,-,1,1,-,-,-,-,-,-
99學年,嘉義市,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,41,3,-,38,41,5,-,36,1,1,-,-,2,2,-,-,2,1,1,-
98學年,臺北市,6,1,-,5,6,1,-,5,-,-,-,-,1,1,-,-,-,-,-,-
98學年,高雄市,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-
98學年,臺北縣,5,-,-,5,5,-,-,5,1,1,-,-,-,-,-,-,1,1,-,-
98學年,宜蘭縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
98學年,桃園縣,2,-,-,2,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-
98學年,新竹縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
98學年,苗栗縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
98學年,臺中縣,2,1,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
98學年,彰化縣,2,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
98學年,南投縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
98學年,雲林縣,1,-,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
98學年,嘉義縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
98學年,臺南縣,2,-,-,2,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-
98學年,高雄縣,6,-,-,6,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
98學年,屏東縣,3,-,-,3,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-
98學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,花蓮縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
98學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,基隆市,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
98學年,新竹市,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
98學年,臺中市,2,1,-,1,2,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-
98學年,嘉義市,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
