學年別,等級別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立4年級小計,國立4年級男,國立4年級女,國立5年級小計,國立5年級男,國立5年級女,國立6年級小計,國立6年級男,國立6年級女,國立7年級小計,國立7年級男,國立7年級女,國立延修生小計,國立延修生男,國立延修生女,直轄市立計小計,直轄市立計男,直轄市立計女,直轄市立1年級小計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級小計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級小計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級小計,直轄市立4年級男,直轄市立4年級女,直轄市立5年級小計,直轄市立5年級男,直轄市立5年級女,直轄市立6年級小計,直轄市立6年級男,直轄市立6年級女,直轄市立7年級小計,直轄市立7年級男,直轄市立7年級女,直轄市立延修生小計,直轄市立延修生男,直轄市立延修生女,私立計小計,私立計男,私立計女,私立1年級小計,私立1年級男,私立1年級女,私立2年級小計,私立2年級男,私立2年級女,私立3年級小計,私立3年級男,私立3年級女,私立4年級小計,私立4年級男,私立4年級女,私立5年級小計,私立5年級男,私立5年級女,私立6年級小計,私立6年級男,私立6年級女,私立7年級小計,私立7年級男,私立7年級女,私立延修生小計,私立延修生男,私立延修生女
98學年,五專,85614,22302,63312,17612,4393,13219,17195,4530,12665,17379,4512,12867,15819,4064,11755,15002,3655,11347,27,12,15,5,1,4,2575,1135,1440,7986,1663,6323,1685,395,1290,1637,335,1302,1639,331,1308,1442,281,1161,1373,243,1130,-,-,-,-,-,-,210,78,132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77628,20639,56989,15927,3998,11929,15558,4195,11363,15740,4181,11559,14377,3783,10594,13629,3412,10217,27,12,15,5,1,4,2365,1057,1308
98學年,二專,22941,11490,11451,7939,3720,4219,11103,5493,5610,939,274,665,32,20,12,-,-,-,-,-,-,-,-,-,2928,1983,945,3713,1432,2281,1394,578,816,1548,563,985,397,73,324,-,-,-,-,-,-,-,-,-,-,-,-,374,218,156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19228,10058,9170,6545,3142,3403,9555,4930,4625,542,201,341,32,20,12,-,-,-,-,-,-,-,-,-,2554,1765,789
98學年,學士班,1010952,517021,493931,239395,124032,115363,236208,121872,114336,246656,122691,123965,236893,116348,120545,9422,3277,6145,1731,1108,623,1409,967,442,39238,26726,12512,267928,143644,124284,64733,34812,29921,63216,33808,29408,64457,33966,30491,61439,31916,29523,2950,1399,1551,389,261,128,302,222,80,10442,7260,3182,4494,2016,2478,1130,494,636,1087,464,623,1045,464,581,997,435,562,-,-,-,-,-,-,-,-,-,235,159,76,738530,371361,367169,173532,88726,84806,171905,87600,84305,181154,88261,92893,174457,83997,90460,6472,1878,4594,1342,847,495,1107,745,362,28561,19307,9254
98學年,碩士班,183401,105084,78317,70368,40707,29661,66433,38895,27538,25816,14192,11624,13265,6967,6298,1764,987,777,747,408,339,25,6,19,4983,2922,2061,115911,65989,49922,44735,26011,18724,42498,24867,17631,17268,9273,7995,8141,4115,4026,1041,514,527,385,174,211,11,2,9,1832,1033,799,2230,767,1463,823,282,541,737,265,472,396,131,265,194,61,133,28,6,22,26,10,16,14,4,10,12,8,4,65260,38328,26932,24810,14414,10396,23198,13763,9435,8152,4788,3364,4930,2791,2139,695,467,228,336,224,112,-,-,-,3139,1881,1258
98學年,博士班,33751,24141,9610,6832,4882,1950,5804,4072,1732,5697,4058,1639,5019,3585,1434,4235,3077,1158,3125,2257,868,2544,1886,658,495,324,171,27869,20211,7658,5631,4064,1567,4789,3400,1389,4679,3380,1299,4282,3098,1184,3579,2640,939,2613,1919,694,2092,1587,505,204,123,81,177,86,91,38,19,19,36,17,19,30,16,14,27,10,17,18,9,9,15,9,6,13,6,7,-,-,-,5705,3844,1861,1163,799,364,979,655,324,988,662,326,710,477,233,638,428,210,497,329,168,439,293,146,291,201,90
97學年,總計,1337455,683114,654341,351800,183862,167938,332720,174257,158463,295963,145585,150378,270075,130393,139682,30838,11567,19271,5240,3635,1605,3692,2664,1028,47127,31151,15976,416089,230349,185740,117535,65553,51982,111759,62958,48801,86763,46119,40644,73718,39350,34368,9756,5121,4635,3161,2254,907,2222,1661,561,11175,7333,3842,6647,2741,3906,1889,766,1123,1820,756,1064,1462,594,868,1079,393,686,49,23,26,44,20,24,7,5,2,297,184,113,914719,450024,464695,232376,117543,114833,219141,110543,108598,207738,98872,108866,195278,90650,104628,21033,6423,14610,2035,1361,674,1463,998,465,35655,23634,12021
97學年,五專,84787,23124,61663,16938,4322,12616,17904,4776,13128,16717,4477,12240,15875,4138,11737,14055,3846,10209,-,-,-,-,-,-,3298,1565,1733,7855,1568,6287,1642,340,1302,1651,342,1309,1547,317,1230,1409,257,1152,1376,216,1160,-,-,-,-,-,-,230,96,134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76932,21556,55376,15296,3982,11314,16253,4434,11819,15170,4160,11010,14466,3881,10585,12679,3630,9049,-,-,-,-,-,-,3068,1469,1599
97學年,二專,32866,17451,15415,12407,6224,6183,15011,7756,7255,1280,600,680,-,-,-,-,-,-,-,-,-,-,-,-,4168,2871,1297,4299,1720,2579,1585,598,987,1770,688,1082,431,124,307,-,-,-,-,-,-,-,-,-,-,-,-,513,310,203,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28567,15731,12836,10822,5626,5196,13241,7068,6173,849,476,373,-,-,-,-,-,-,-,-,-,-,-,-,3655,2561,1094
97學年,學士班,1006102,513338,492764,245356,127281,118075,228044,117989,110055,245048,121295,123753,236192,115607,120585,11119,3849,7270,1696,1141,555,1422,965,457,37225,25211,12014,262399,140717,121682,64169,34456,29713,61025,32760,28265,62676,32846,29830,60659,32066,28593,3909,1819,2090,391,273,118,306,223,83,9264,6274,2990,4383,1943,2440,1098,474,624,1079,485,594,1012,447,565,900,355,545,-,-,-,-,-,-,-,-,-,294,182,112,739320,370678,368642,180089,92351,87738,165940,84744,81196,181360,88002,93358,174633,83186,91447,7210,2030,5180,1305,868,437,1116,742,374,27667,18755,8912
97學年,碩士班,180809,105470,75339,70682,41515,29167,65432,39236,26196,27322,15173,12149,12639,6735,5904,1639,944,695,641,357,284,18,6,12,2436,1504,932,114237,66361,47876,44828,26364,18464,41973,25325,16648,17472,9445,8027,7453,3880,3573,1020,556,464,305,132,173,18,6,12,1168,653,515,2125,730,1395,755,275,480,714,256,458,425,137,288,158,28,130,33,14,19,37,18,19,-,-,-,3,2,1,64447,38379,26068,25099,14876,10223,22745,13655,9090,9425,5591,3834,5028,2827,2201,586,374,212,299,207,92,-,-,-,1265,849,416
97學年,博士班,32891,23731,9160,6417,4520,1897,6329,4500,1829,5596,4040,1556,5369,3913,1456,4025,2928,1097,2903,2137,766,2252,1693,559,-,-,-,27299,19983,7316,5311,3795,1516,5340,3843,1497,4637,3387,1250,4197,3147,1050,3451,2530,921,2465,1849,616,1898,1432,466,-,-,-,139,68,71,36,17,19,27,15,12,25,10,15,21,10,11,16,9,7,7,2,5,7,5,2,-,-,-,5453,3680,1773,1070,708,362,962,642,320,934,643,291,1151,756,395,558,389,169,431,286,145,347,256,91,-,-,-
""
