學年別,學歷別,總計計小計,總計計男,總計計女,總計教授小計,總計教授男,總計教授女,總計副教授小計,總計副教授男,總計副教授女,總計助理教授小計,總計助理教授男,總計助理教授女,總計講師小計,總計講師男,總計講師女,總計其他小計,總計其他男,總計其他女,總計助教小計,總計助教男,總計助教女,專科學校計小計,專科學校計男,專科學校計女,專科學校教授小計,專科學校教授男,專科學校教授女,專科學校副教授小計,專科學校副教授男,專科學校副教授女,專科學校助理教授小計,專科學校助理教授男,專科學校助理教授女,專科學校講師小計,專科學校講師男,專科學校講師女,專科學校其他小計,專科學校其他男,專科學校其他女,專科學校助教小計,專科學校助教男,專科學校助教女,獨立學院計小計,獨立學院計男,獨立學院計女,獨立學院教授小計,獨立學院教授男,獨立學院教授女,獨立學院副教授小計,獨立學院副教授男,獨立學院副教授女,獨立學院助理教授小計,獨立學院助理教授男,獨立學院助理教授女,獨立學院講師小計,獨立學院講師男,獨立學院講師女,獨立學院其他小計,獨立學院其他男,獨立學院其他女,獨立學院助教小計,獨立學院助教男,獨立學院助教女,大學計小計,大學計男,大學計女,大學教授小計,大學教授男,大學教授女,大學副教授小計,大學副教授男,大學副教授女,大學助理教授小計,大學助理教授男,大學助理教授女,大學講師小計,大學講師男,大學講師女,大學其他小計,大學其他男,大學其他女,大學助教小計,大學助教男,大學助教女
99學年,學士,2788,1664,1124,320,274,46,474,366,108,238,203,35,594,364,230,922,417,505,240,40,200,218,37,181,-,-,-,2,2,-,1,-,1,8,1,7,207,34,173,-,-,-,363,195,168,19,15,4,49,37,12,13,10,3,111,55,56,144,75,69,27,3,24,2207,1432,775,301,259,42,423,327,96,224,193,31,475,308,167,571,308,263,213,37,176
99學年,專科,205,149,56,7,5,2,34,25,9,24,20,4,37,20,17,71,62,9,32,17,15,8,6,2,-,-,-,-,-,-,2,2,-,4,2,2,2,2,-,-,-,-,57,46,11,1,1,-,5,5,-,4,4,-,13,9,4,21,20,1,13,7,6,140,97,43,6,4,2,29,20,9,18,14,4,20,9,11,48,40,8,19,10,9
99學年,其他,63,49,14,6,4,2,7,5,2,14,12,2,8,4,4,28,24,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,17,4,-,-,-,1,1,-,5,4,1,4,2,2,11,10,1,-,-,-,42,32,10,6,4,2,6,4,2,9,8,1,4,2,2,17,14,3,-,-,-
98學年,總計,50658,33632,17026,9958,8219,1739,14199,10166,4033,13572,8945,4627,10367,5095,5272,2029,1065,964,533,142,391,1467,478,989,23,16,7,78,49,29,229,131,98,951,234,717,186,48,138,-,-,-,7769,4655,3114,418,338,80,1741,1250,491,1809,1226,583,3294,1605,1689,446,223,223,61,13,48,41422,28499,12923,9517,7865,1652,12380,8867,3513,11534,7588,3946,6122,3256,2866,1397,794,603,472,129,343
98學年,博士,33516,24284,9232,8977,7406,1571,11979,8639,3340,12171,8010,4161,290,151,139,95,77,18,4,1,3,307,186,121,22,15,7,59,37,22,219,128,91,7,6,1,-,-,-,-,-,-,3339,2360,979,313,254,59,1381,1006,375,1566,1058,508,70,35,35,9,7,2,-,-,-,29870,21738,8132,8642,7137,1505,10539,7596,2943,10386,6824,3562,213,110,103,86,70,16,4,1,3
98學年,碩士,13998,7388,6610,643,525,118,1671,1107,564,1140,709,431,9453,4539,4914,903,447,456,188,61,127,1004,246,758,-,-,-,16,9,7,9,3,6,940,225,715,39,9,30,-,-,-,3878,1959,1919,81,64,17,303,202,101,214,143,71,3035,1463,1572,227,85,142,18,2,16,9116,5183,3933,562,461,101,1352,896,456,917,563,354,5478,2851,2627,637,353,284,170,59,111
98學年,學士,2884,1763,1121,330,282,48,511,393,118,228,199,29,583,377,206,928,450,478,304,62,242,152,43,109,1,1,-,3,3,-,1,-,1,3,2,1,144,37,107,-,-,-,463,261,202,23,19,4,52,37,15,14,11,3,167,91,76,177,98,79,30,5,25,2269,1459,810,306,262,44,456,353,103,213,188,25,413,284,129,607,315,292,274,57,217
98學年,專科,205,152,53,8,6,2,32,24,8,17,13,4,32,22,10,79,69,10,37,18,19,4,3,1,-,-,-,-,-,-,-,-,-,1,1,-,3,2,1,-,-,-,62,52,10,1,1,-,5,5,-,7,7,-,15,12,3,21,21,-,13,6,7,139,97,42,7,5,2,27,19,8,10,6,4,16,9,7,55,46,9,24,12,12
98學年,其他,55,45,10,-,-,-,6,3,3,16,14,2,9,6,3,24,22,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,23,4,-,-,-,-,-,-,8,7,1,7,4,3,12,12,-,-,-,-,28,22,6,-,-,-,6,3,3,8,7,1,2,2,-,12,10,2,-,-,-
97學年,總計,51501,33816,17685,9657,8010,1647,13782,9936,3846,12875,8616,4259,11390,5689,5701,1906,1094,812,1891,471,1420,1423,468,955,24,15,9,76,50,26,199,118,81,924,237,687,141,48,93,59,-,59,8736,5281,3455,427,354,73,1853,1349,504,1882,1312,570,3996,1991,2005,457,247,210,121,28,93,41342,28067,13275,9206,7641,1565,11853,8537,3316,10794,7186,3608,6470,3461,3009,1308,799,509,1711,443,1268
97學年,博士,32167,23549,8618,8635,7171,1464,11448,8326,3122,11732,7838,3894,263,147,116,81,63,18,8,4,4,271,169,102,20,12,8,60,40,20,186,113,73,5,4,1,-,-,-,-,-,-,3478,2531,947,314,265,49,1434,1058,376,1662,1166,496,61,36,25,7,6,1,-,-,-,28418,20849,7569,8301,6894,1407,9954,7228,2726,9884,6559,3325,197,107,90,74,57,17,8,4,4
97學年,碩士,15273,8018,7255,660,533,127,1748,1160,588,896,561,335,10384,5065,5319,797,439,358,788,260,528,976,250,726,1,-,1,14,8,6,12,4,8,918,232,686,28,6,22,3,-,3,4558,2352,2206,82,63,19,343,237,106,198,126,72,3692,1825,1867,209,94,115,34,7,27,9739,5416,4323,577,470,107,1391,915,476,686,431,255,5774,3008,2766,560,339,221,751,253,498
97學年,學士,3749,2023,1726,348,294,54,545,420,125,213,186,27,691,444,247,912,498,414,1040,181,859,167,44,123,3,3,-,2,2,-,1,1,-,-,-,-,105,38,67,56,-,56,601,325,276,30,25,5,70,48,22,12,10,2,215,114,101,210,117,93,64,11,53,2981,1654,1327,315,266,49,473,370,103,200,175,25,476,330,146,597,343,254,920,170,750
97學年,專科,254,177,77,9,7,2,34,25,9,23,21,2,47,31,16,87,68,19,54,25,29,9,5,4,-,-,-,-,-,-,-,-,-,1,1,-,8,4,4,-,-,-,76,54,22,1,1,-,5,5,-,4,4,-,25,16,9,18,18,-,23,10,13,169,118,51,8,6,2,29,20,9,19,17,2,21,14,7,61,46,15,31,15,16
97學年,其他,58,49,9,5,5,-,7,5,2,11,10,1,5,2,3,29,26,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,19,4,-,-,-,1,1,-,6,6,-,3,-,3,13,12,1,-,-,-,35,30,5,5,5,-,6,4,2,5,4,1,2,2,-,16,14,2,1,1,-
""
