學年別,設立別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計延修生小計,總計延修生男,總計延修生女,普通科計小計,普通科計男,普通科計女,普通科1年級小計,普通科1年級男,普通科1年級女,普通科2年級小計,普通科2年級男,普通科2年級女,普通科3年級小計,普通科3年級男,普通科3年級女,普通科延修生小計,普通科延修生男,普通科延修生女,專業群(職業)科計小計,專業群(職業)科計男,專業群(職業)科計女,專業群(職業)科1年級小計,專業群(職業)科1年級男,專業群(職業)科1年級女,專業群(職業)科2年級小計,專業群(職業)科2年級男,專業群(職業)科2年級女,專業群(職業)科3年級小計,專業群(職業)科3年級男,專業群(職業)科3年級女,專業群(職業)科延修生小計,專業群(職業)科延修生男,專業群(職業)科延修生女
99學年,縣市立,1457,495,962,548,190,358,468,152,316,440,152,288,1,1,-,1316,437,879,500,172,328,426,134,292,389,130,259,1,1,-,141,58,83,48,18,30,42,18,24,51,22,29,-,-,-
99學年,私立,53492,31476,22016,18193,10691,7502,17124,10122,7002,18086,10603,7483,89,60,29,1670,1139,531,404,305,99,559,389,170,707,445,262,-,-,-,51822,30337,21485,17789,10386,7403,16565,9733,6832,17379,10158,7221,89,60,29
98學年,總計,92752,52631,40121,32030,18594,13436,30983,17532,13451,29681,16457,13224,58,48,10,4390,2173,2217,1538,789,749,1544,776,768,1308,608,700,-,-,-,88362,50458,37904,30492,17805,12687,29439,16756,12683,28373,15849,12524,58,48,10
98學年,國立,31889,17238,14651,11871,6718,5153,10402,5529,4873,9616,4991,4625,-,-,-,996,533,463,365,205,160,365,189,176,266,139,127,-,-,-,30893,16705,14188,11506,6513,4993,10037,5340,4697,9350,4852,4498,-,-,-
98學年,直轄市立,3883,2329,1554,1350,823,527,1228,730,498,1302,773,529,3,3,-,328,84,244,107,30,77,116,28,88,105,26,79,-,-,-,3555,2245,1310,1243,793,450,1112,702,410,1197,747,450,3,3,-
98學年,縣市立,1486,512,974,596,217,379,443,146,297,447,149,298,-,-,-,1338,439,899,544,189,355,385,122,263,409,128,281,-,-,-,148,73,75,52,28,24,58,24,34,38,21,17,-,-,-
98學年,私立,55494,32552,22942,18213,10836,7377,18910,11127,7783,18316,10544,7772,55,45,10,1728,1117,611,522,365,157,678,437,241,528,315,213,-,-,-,53766,31435,22331,17691,10471,7220,18232,10690,7542,17788,10229,7559,55,45,10
97學年,總計,98376,55333,43043,35443,20415,15028,31582,17634,13948,31253,17202,14051,98,82,16,4437,2158,2279,1773,879,894,1365,628,737,1299,651,648,-,-,-,93939,53175,40764,33670,19536,14134,30217,17006,13211,29954,16551,13403,98,82,16
97學年,國立,33090,17572,15518,12489,6978,5511,10438,5497,4941,10163,5097,5066,-,-,-,1090,596,494,495,267,228,324,176,148,271,153,118,-,-,-,32000,16976,15024,11994,6711,5283,10114,5321,4793,9892,4944,4948,-,-,-
97學年,直轄市立,4021,2374,1647,1402,825,577,1379,831,548,1239,717,522,1,1,-,329,73,256,115,23,92,108,25,83,106,25,81,-,-,-,3692,2301,1391,1287,802,485,1271,806,465,1133,692,441,1,1,-
97學年,縣市立,1474,481,993,549,184,365,460,154,306,465,143,322,-,-,-,1332,419,913,477,152,325,422,134,288,433,133,300,-,-,-,142,62,80,72,32,40,38,20,18,32,10,22,-,-,-
97學年,私立,59791,34906,24885,21003,12428,8575,19305,11152,8153,19386,11245,8141,97,81,16,1686,1070,616,686,437,249,511,293,218,489,340,149,-,-,-,58105,33836,24269,20317,11991,8326,18794,10859,7935,18897,10905,7992,97,81,16
""
