學年別,學程類別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
103學年,學術學程,37890,18052,19838,18449,8794,9655,9167,4328,4839,10251,4912,5339,23,18,5,10849,4997,5852,18995,8746,10249,7961,3676,4285,5084,2290,2794,5935,2768,3167,15,12,3,6293,2907,3386,7360,3803,3557,3294,1750,1544,2068,1031,1037,1994,1019,975,4,3,1,2180,1003,1177,1025,417,608,503,209,294,252,97,155,270,111,159,-,-,-,225,95,130,10510,5086,5424,6691,3159,3532,1763,910,853,2052,1014,1038,4,3,1,2151,992,1159
103學年,專門學程,27152,13069,14083,-,-,-,12851,6355,6496,14228,6657,7571,73,57,16,14550,6638,7912,8756,4194,4562,-,-,-,4277,2024,2253,4452,2151,2301,27,19,8,4435,1988,2447,2596,1433,1163,-,-,-,1290,702,588,1302,727,575,4,4,-,1162,638,524,519,270,249,-,-,-,355,199,156,164,71,93,-,-,-,169,82,87,15281,7172,8109,-,-,-,6929,3430,3499,8310,3708,4602,42,34,8,8784,3930,4854
102學年,總計,73891,35238,38653,22590,11037,11553,25099,11976,13123,26160,12192,13968,42,33,9,26197,11883,14314,31216,14659,16557,9511,4406,5105,10640,5092,5548,11034,5135,5899,31,26,5,10734,4826,5908,10348,5367,4981,3437,1785,1652,3407,1823,1584,3503,1758,1745,1,1,-,3342,1724,1618,1499,689,810,646,316,330,454,194,260,399,179,220,-,-,-,594,268,326,30828,14523,16305,8996,4530,4466,10598,4867,5731,11224,5120,6104,10,6,4,11527,5065,6462
102學年,學術學程,44207,21297,22910,22590,11037,11553,10451,5045,5406,11159,5210,5949,7,5,2,10640,4828,5812,21973,10269,11704,9511,4406,5105,6052,2849,3203,6403,3009,3394,7,5,2,6303,2778,3525,7698,3875,3823,3437,1785,1652,2025,1038,987,2236,1052,1184,-,-,-,2093,1053,1040,1143,526,617,646,316,330,271,115,156,226,95,131,-,-,-,227,107,120,13393,6627,6766,8996,4530,4466,2103,1043,1060,2294,1054,1240,-,-,-,2017,890,1127
102學年,專門學程,29684,13941,15743,-,-,-,14648,6931,7717,15001,6982,8019,35,28,7,15557,7055,8502,9243,4390,4853,-,-,-,4588,2243,2345,4631,2126,2505,24,21,3,4431,2048,2383,2650,1492,1158,-,-,-,1382,785,597,1267,706,561,1,1,-,1249,671,578,356,163,193,-,-,-,183,79,104,173,84,89,-,-,-,367,161,206,17435,7896,9539,-,-,-,8495,3824,4671,8930,4066,4864,10,6,4,9510,4175,5335
101學年,總計,79519,37392,42127,25815,12374,13441,26824,12653,14171,26857,12347,14510,23,18,5,27467,12561,14906,33601,15818,17783,10942,5267,5675,11411,5383,6028,11230,5154,6076,18,14,4,11592,5275,6317,10065,5289,4776,3291,1757,1534,3500,1805,1695,3273,1726,1547,1,1,-,3092,1573,1519,1517,678,839,497,214,283,420,192,228,600,272,328,-,-,-,628,276,352,34336,15607,18729,11085,5136,5949,11493,5273,6220,11754,5195,6559,4,3,1,12155,5437,6718
101學年,學術學程,48012,22689,25323,25815,12374,13441,11374,5352,6022,10820,4961,5859,3,2,1,10882,4999,5883,24019,11304,12715,10942,5267,5675,6595,3119,3476,6479,2916,3563,3,2,1,6516,2940,3576,7525,3851,3674,3291,1757,1534,2219,1071,1148,2015,1023,992,-,-,-,1979,961,1018,959,421,538,497,214,283,233,98,135,229,109,120,-,-,-,286,129,157,15509,7113,8396,11085,5136,5949,2327,1064,1263,2097,913,1184,-,-,-,2101,969,1132
101學年,專門學程,31507,14703,16804,-,-,-,15450,7301,8149,16037,7386,8651,20,16,4,16585,7562,9023,9582,4514,5068,-,-,-,4816,2264,2552,4751,2238,2513,15,12,3,5076,2335,2741,2540,1438,1102,-,-,-,1281,734,547,1258,703,555,1,1,-,1113,612,501,558,257,301,-,-,-,187,94,93,371,163,208,-,-,-,342,147,195,18827,8494,10333,-,-,-,9166,4209,4957,9657,4282,5375,4,3,1,10054,4468,5586
100學年,總計,83674,39252,44422,27660,13192,14468,27719,12916,14803,28250,13109,15141,45,35,10,31022,14201,16821,35029,16356,18673,11561,5460,6101,11530,5358,6172,11919,5524,6395,19,14,5,12302,5520,6782,10258,5398,4860,3553,1830,1723,3422,1848,1574,3272,1710,1562,11,10,1,3208,1553,1655,1702,765,937,447,209,238,621,278,343,634,278,356,-,-,-,822,347,475,36685,16733,19952,12099,5693,6406,12146,5432,6714,12425,5597,6828,15,11,4,14690,6781,7909
100學年,學術學程,50037,23619,26418,27660,13192,14468,11061,5160,5901,11301,5255,6046,15,12,3,11567,5333,6234,24852,11542,13310,11561,5460,6101,6603,3009,3594,6685,3071,3614,3,2,1,6584,2958,3626,7722,3953,3769,3553,1830,1723,2093,1088,1005,2066,1026,1040,10,9,1,1982,922,1060,963,446,517,447,209,238,230,108,122,286,129,157,-,-,-,367,144,223,16500,7678,8822,12099,5693,6406,2135,955,1180,2264,1029,1235,2,1,1,2634,1309,1325
