學年別,縣市別,總計計,總計1年級,總計2年級,總計3年級,國立計,國立1年級,國立2年級,國立3年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,私立計,私立1年級,私立2年級,私立3年級
104學年,新竹縣,116,48,40,28,76,30,30,16,-,-,-,-,18,10,4,4,22,8,6,8
104學年,苗栗縣,169,58,56,55,123,41,41,41,-,-,-,-,19,7,6,6,27,10,9,8
104學年,彰化縣,322,109,107,106,194,65,65,64,-,-,-,-,82,28,27,27,46,16,15,15
104學年,南投縣,137,47,46,44,90,30,30,30,-,-,-,-,21,7,7,7,26,10,9,7
104學年,雲林縣,224,76,75,73,105,35,35,35,-,-,-,-,42,14,14,14,77,27,26,24
104學年,嘉義縣,80,27,27,26,33,11,11,11,-,-,-,-,23,8,8,7,24,8,8,8
104學年,屏東縣,262,91,88,83,158,53,53,52,-,-,-,-,62,22,21,19,42,16,14,12
104學年,臺東縣,25,9,8,8,21,7,7,7,-,-,-,-,-,-,-,-,4,2,1,1
104學年,花蓮縣,122,41,40,41,78,26,26,26,-,-,-,-,6,2,2,2,38,13,12,13
104學年,澎湖縣,35,11,12,12,35,11,12,12,-,-,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,161,53,55,53,90,29,31,30,-,-,-,-,47,15,16,16,24,9,8,7
104學年,新竹市,226,78,74,74,132,44,44,44,-,-,-,-,60,20,20,20,34,14,10,10
104學年,嘉義市,168,57,55,56,111,37,37,37,-,-,-,-,-,-,-,-,57,20,18,19
104學年,金門縣,30,10,10,10,30,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,8156,2739,2685,2732,2801,947,929,925,2858,964,952,942,602,210,201,191,1895,618,603,674
103學年,新北市,1012,352,332,328,3,1,1,1,718,254,237,227,-,-,-,-,291,97,94,100
103學年,臺北市,1637,533,542,562,98,32,33,33,1242,411,415,416,-,-,-,-,297,90,94,113
103學年,臺中市,939,314,311,314,411,137,137,137,218,73,73,72,-,-,-,-,310,104,101,105
103學年,臺南市,678,221,220,237,366,121,121,124,51,17,17,17,-,-,-,-,261,83,82,96
103學年,高雄市,965,320,319,326,214,74,72,68,629,209,210,210,-,-,-,-,122,37,37,48
103學年,宜蘭縣,167,56,55,56,129,43,43,43,-,-,-,-,6,2,2,2,32,11,10,11
103學年,桃園縣,716,249,236,231,317,107,107,103,-,-,-,-,236,83,77,76,163,59,52,52
103學年,新竹縣,96,40,28,28,62,30,16,16,-,-,-,-,12,4,4,4,22,6,8,8
103學年,苗栗縣,164,56,55,53,123,41,41,41,-,-,-,-,14,6,6,2,27,9,8,10
103學年,彰化縣,317,107,106,104,194,65,64,65,-,-,-,-,76,27,27,22,47,15,15,17
103學年,南投縣,133,46,45,42,84,30,30,24,-,-,-,-,21,7,7,7,28,9,8,11
103學年,雲林縣,223,75,73,75,105,35,35,35,-,-,-,-,42,14,14,14,76,26,24,26
103學年,嘉義縣,80,27,26,27,33,11,11,11,-,-,-,-,21,8,7,6,26,8,8,10
103學年,屏東縣,259,88,83,88,157,53,52,52,-,-,-,-,60,21,19,20,42,14,12,16
103學年,臺東縣,24,8,8,8,21,7,7,7,-,-,-,-,-,-,-,-,3,1,1,1
103學年,花蓮縣,123,40,41,42,78,26,26,26,-,-,-,-,6,2,2,2,39,12,13,14
103學年,澎湖縣,36,12,12,12,36,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,168,55,53,60,97,31,30,36,-,-,-,-,48,16,16,16,23,8,7,8
103學年,新竹市,222,74,74,74,132,44,44,44,-,-,-,-,60,20,20,20,30,10,10,10
103學年,嘉義市,167,56,56,55,111,37,37,37,-,-,-,-,-,-,-,-,56,19,19,18
103學年,金門縣,30,10,10,10,30,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,8131,2685,2732,2714,2767,928,925,914,2833,951,941,941,571,201,191,179,1960,605,675,680
102學年,新北市,991,333,329,329,3,1,1,1,687,237,227,223,-,-,-,-,301,95,101,105
102學年,臺北市,1674,540,561,573,99,32,33,34,1250,414,415,421,-,-,-,-,325,94,113,118
102學年,臺中市,930,311,314,305,410,137,137,136,213,73,72,68,-,-,-,-,307,101,105,101
102學年,臺南市,699,222,238,239,369,121,124,124,51,17,17,17,-,-,-,-,279,84,97,98
102學年,高雄市,977,320,326,331,208,72,68,68,632,210,210,212,-,-,-,-,137,38,48,51
102學年,宜蘭縣,167,55,56,56,129,43,43,43,-,-,-,-,6,2,2,2,32,10,11,11
102學年,桃園縣,693,236,231,226,313,107,103,103,-,-,-,-,224,77,76,71,156,52,52,52
102學年,新竹縣,85,28,28,29,48,16,16,16,-,-,-,-,13,4,4,5,24,8,8,8
102學年,苗栗縣,148,55,53,40,110,41,41,28,-,-,-,-,10,6,2,2,28,8,10,10
102學年,彰化縣,310,106,104,100,194,64,65,65,-,-,-,-,68,27,22,19,48,15,17,16
102學年,南投縣,129,46,42,41,78,30,24,24,-,-,-,-,21,7,7,7,30,9,11,10
102學年,雲林縣,223,73,75,75,105,35,35,35,-,-,-,-,42,14,14,14,76,24,26,26
