學年別,學門別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
103學年,生命科學學門,3724,2073,1651,-,-,-,3,-,3,-,-,-,160,44,116,3112,1770,1342,422,239,183,27,20,7
103學年,自然科學學門,977,630,347,-,-,-,-,-,-,-,-,-,-,-,-,758,488,270,117,66,51,102,76,26
103學年,數學及統計學門,231,90,141,-,-,-,-,-,-,-,-,-,-,-,-,231,90,141,-,-,-,-,-,-
103學年,電算機學門,47496,32792,14704,3355,1984,1371,749,415,334,-,-,-,1423,848,575,40025,28209,11816,1827,1245,582,117,91,26
103學年,工程學門,142919,128938,13981,4642,4300,342,778,745,33,7,6,1,3043,2592,451,117073,106291,10782,15549,13373,2176,1827,1631,196
103學年,建築及都市規劃學門,4984,2784,2200,165,123,42,131,79,52,-,-,-,106,53,53,4000,2174,1826,509,298,211,73,57,16
103學年,農業科學學門,10925,5343,5582,241,113,128,195,111,84,-,-,-,1,1,-,9468,4555,4913,883,482,401,137,81,56
103學年,獸醫學門,615,294,321,-,-,-,-,-,-,-,-,-,-,-,-,509,226,283,85,53,32,21,15,6
103學年,醫藥衛生學門,78126,14566,63560,43782,5467,38315,1212,759,453,18,4,14,13364,1187,12177,18330,6830,11500,1347,302,1045,73,17,56
103學年,社會服務學門,22438,2489,19949,3396,210,3186,1362,152,1210,-,-,-,3280,350,2930,13857,1684,12173,543,93,450,-,-,-
103學年,民生學門,117853,45068,72785,14788,3993,10795,2918,1270,1648,10,1,9,3898,1225,2673,94483,37847,56636,1739,723,1016,17,9,8
103學年,運輸服務學門,3587,1610,1977,406,260,146,101,84,17,119,101,18,234,109,125,2534,951,1583,193,105,88,-,-,-
103學年,環境保護學門,931,638,293,-,-,-,-,-,-,-,-,-,-,-,-,823,576,247,108,62,46,-,-,-
103學年,軍警國防安全學門,791,725,66,-,-,-,-,-,-,-,-,-,-,-,-,755,692,63,36,33,3,-,-,-
103學年,其他學門,567,322,245,-,-,-,-,-,-,-,-,-,-,-,-,445,278,167,99,33,66,23,11,12
102學年,總計,668212,324602,343610,90157,21819,68338,11261,5528,5733,200,158,42,35602,10039,25563,490923,260564,230359,36840,23974,12866,3229,2520,709
102學年,教育學門,1976,325,1651,-,-,-,-,-,-,-,-,-,47,5,42,1222,116,1106,633,174,459,74,30,44
102學年,藝術學門,5753,1913,3840,2122,594,1528,11,7,4,-,-,-,511,69,442,2854,1157,1697,255,86,169,-,-,-
102學年,人文學門,38759,9279,29480,7219,1302,5917,49,21,28,-,-,-,1638,360,1278,28802,7266,21536,1051,330,721,-,-,-
102學年,設計學門,47390,18783,28607,2669,1226,1443,224,138,86,10,5,5,899,342,557,41439,16020,25419,1947,946,1001,202,106,96
102學年,社會及行為科學學門,413,132,281,-,-,-,-,-,-,-,-,-,-,-,-,316,89,227,97,43,54,-,-,-
102學年,傳播學門,4893,1964,2929,-,-,-,-,-,-,-,-,-,27,14,13,4848,1943,2905,18,7,11,-,-,-
102學年,商業及管理學門,127154,47433,79721,7224,1860,5364,2258,1174,1084,39,22,17,6203,2319,3884,102994,37726,65268,7902,3985,3917,534,347,187
102學年,法律學門,1155,545,610,-,-,-,-,-,-,-,-,-,-,-,-,798,326,472,357,219,138,-,-,-
102學年,生命科學學門,4313,2393,1920,34,22,12,33,1,32,-,-,-,183,54,129,3568,2022,1546,465,275,190,30,19,11
102學年,自然科學學門,999,636,363,-,-,-,-,-,-,-,-,-,-,-,-,790,499,291,123,71,52,86,66,20
102學年,數學及統計學門,232,97,135,-,-,-,-,-,-,-,-,-,-,-,-,232,97,135,-,-,-,-,-,-
102學年,電算機學門,51405,35141,16264,4035,2405,1630,929,482,447,-,-,-,1569,991,578,42740,29758,12982,2030,1425,605,102,80,22
102學年,工程學門,148816,134471,14345,5133,4724,409,995,949,46,27,21,6,3401,2908,493,121062,110048,11014,16329,14130,2199,1869,1691,178
102學年,建築及都市規劃學門,4882,2770,2112,181,135,46,133,82,51,-,-,-,110,60,50,3845,2125,1720,545,318,227,68,50,18
102學年,農業科學學門,11188,5491,5697,208,95,113,175,101,74,-,-,-,-,-,-,9706,4672,5034,961,538,423,138,85,53
102學年,獸醫學門,591,286,305,-,-,-,-,-,-,-,-,-,-,-,-,480,209,271,92,61,31,19,16,3
102學年,醫藥衛生學門,77245,13963,63282,43669,5348,38321,990,579,411,-,-,-,13654,1152,12502,17505,6580,10925,1347,289,1058,80,15,65
102學年,社會服務學門,22239,2245,19994,3223,178,3045,1460,173,1287,-,-,-,3141,263,2878,13891,1539,12352,524,92,432,-,-,-
102學年,民生學門,113157,43473,69684,14080,3701,10379,3921,1744,2177,3,1,2,3933,1350,2583,89469,35946,53523,1739,724,1015,12,7,5
102學年,運輸服務學門,3278,1495,1783,360,229,131,83,77,6,121,109,12,286,152,134,2255,826,1429,173,102,71,-,-,-
102學年,環境保護學門,1048,757,291,-,-,-,-,-,-,-,-,-,-,-,-,935,667,268,113,90,23,-,-,-
102學年,軍警國防安全學門,742,673,69,-,-,-,-,-,-,-,-,-,-,-,-,705,640,65,37,33,4,-,-,-
102學年,其他學門,584,337,247,-,-,-,-,-,-,-,-,-,-,-,-,467,293,174,102,36,66,15,8,7
101學年,總計,672503,329661,342842,88815,21620,67195,12364,6088,6276,211,140,71,38673,11366,27307,491390,262935,228455,37849,24979,12870,3201,2533,668
101學年,教育學門,2049,338,1711,-,-,-,-,-,-,-,-,-,69,4,65,1281,126,1155,639,183,456,60,25,35
101學年,藝術學門,5489,1728,3761,2117,573,1544,19,10,9,-,-,-,521,33,488,2573,1035,1538,259,77,182,-,-,-
101學年,人文學門,39251,9287,29964,7348,1302,6046,79,27,52,-,-,-,1961,439,1522,28764,7182,21582,1099,337,762,-,-,-
101學年,設計學門,43496,16892,26604,2225,974,1251,270,167,103,24,11,13,874,317,557,37990,14393,23597,1891,913,978,222,117,105
101學年,社會及行為科學學門,367,120,247,-,-,-,-,-,-,-,-,-,-,-,-,257,73,184,110,47,63,-,-,-
101學年,傳播學門,4978,1979,2999,-,-,-,-,-,-,-,-,-,33,19,14,4924,1948,2976,21,12,9,-,-,-
101學年,商業及管理學門,129968,48195,81773,7499,1984,5515,2073,1083,990,48,27,21,6526,2413,4113,105518,38440,67078,7796,3912,3884,508,336,172
101學年,法律學門,1223,576,647,-,-,-,-,-,-,-,-,-,-,-,-,872,353,519,351,223,128,-,-,-
101學年,生命科學學門,4717,2620,2097,34,22,12,42,1,41,-,-,-,253,77,176,3857,2209,1648,507,294,213,24,17,7
101學年,自然科學學門,1043,675,368,-,-,-,-,-,-,-,-,-,-,-,-,813,525,288,153,89,64,77,61,16
101學年,數學及統計學門,234,96,138,-,-,-,-,-,-,-,-,-,-,-,-,234,96,138,-,-,-,-,-,-
101學年,電算機學門,54543,36930,17613,4571,2706,1865,1131,627,504,-,-,-,2160,1410,750,44385,30494,13891,2188,1610,578,108,83,25
101學年,工程學門,156174,141300,14874,5566,5117,449,1482,1332,150,46,30,16,4211,3594,617,125890,114629,11261,17081,14866,2215,1898,1732,166
101學年,建築及都市規劃學門,5493,3122,2371,178,135,43,163,103,60,-,-,-,132,71,61,4389,2438,1951,567,325,242,64,50,14
101學年,農業科學學門,11231,5500,5731,165,69,96,175,91,84,-,-,-,4,4,-,9764,4702,5062,1004,562,442,119,72,47
101學年,獸醫學門,569,297,272,-,-,-,-,-,-,-,-,-,-,-,-,449,208,241,101,74,27,19,15,4
101學年,醫藥衛生學門,77188,13670,63518,43285,5032,38253,1076,606,470,-,-,-,14262,1103,13159,17175,6629,10546,1312,288,1024,78,12,66
101學年,社會服務學門,22665,2114,20551,2783,139,2644,1777,193,1584,-,-,-,3215,236,2979,14332,1444,12888,558,102,456,-,-,-
101學年,民生學門,105404,40364,65040,12738,3367,9371,3925,1728,2197,20,7,13,4082,1434,2648,83027,33156,49871,1604,666,938,8,6,2
101學年,運輸服務學門,3118,1454,1664,306,200,106,152,120,32,73,65,8,370,212,158,2064,748,1316,153,109,44,-,-,-
101學年,環境保護學門,1945,1364,581,-,-,-,-,-,-,-,-,-,-,-,-,1631,1144,487,314,220,94,-,-,-
101學年,軍警國防安全學門,755,683,72,-,-,-,-,-,-,-,-,-,-,-,-,719,652,67,36,31,5,-,-,-
101學年,其他學門,603,357,246,-,-,-,-,-,-,-,-,-,-,-,-,482,311,171,105,39,66,16,7,9
100學年,總計,668831,329488,339343,87823,21566,66257,13229,6376,6853,299,183,116,41630,13409,28221,485371,260691,224680,37303,24757,12546,3176,2506,670
