學年別,學門別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
97學年,生命科學學門,5579,3334,2245,-,-,-,-,-,-,-,-,-,421,131,290,4562,2840,1722,558,332,226,38,31,7
97學年,自然科學學門,1058,741,317,-,-,-,-,-,-,-,-,-,1,1,-,946,659,287,111,81,30,-,-,-
97學年,數學及統計學門,212,73,139,-,-,-,-,-,-,-,-,-,-,-,-,212,73,139,-,-,-,-,-,-
97學年,電算機學門,56089,35110,20979,5829,3304,2525,3881,2526,1355,-,-,-,6485,4352,2133,37888,23440,14448,1868,1378,490,138,110,28
97學年,工程學門,180592,164097,16495,9586,8847,739,6755,6181,574,-,-,-,17737,16003,1734,129545,117889,11656,15403,13740,1663,1566,1437,129
97學年,建築及都市規劃學門,5717,3409,2308,331,267,64,190,125,65,-,-,-,340,218,122,4149,2353,1796,641,399,242,66,47,19
97學年,農業科學學門,9731,4992,4739,124,72,52,338,204,134,-,-,-,644,302,342,7667,3880,3787,895,492,403,63,42,21
97學年,獸醫學門,425,243,182,-,-,-,-,-,-,-,-,-,-,-,-,320,165,155,92,68,24,13,10,3
97學年,醫藥衛生學門,76081,13072,63009,40927,4506,36421,2746,890,1856,-,-,-,15101,1137,13964,16322,6342,9980,946,194,752,39,3,36
97學年,社會服務學門,24964,1144,23820,1166,40,1126,2644,75,2569,-,-,-,4083,148,3935,16665,827,15838,406,54,352,-,-,-
97學年,民生學門,64747,22793,41954,4973,1473,3500,7628,3357,4271,-,-,-,5695,2040,3655,45340,15459,29881,1111,464,647,-,-,-
97學年,運輸服務學門,3193,1447,1746,270,185,85,307,206,101,-,-,-,631,298,333,1900,698,1202,85,60,25,-,-,-
97學年,環境保護學門,2156,1441,715,-,-,-,14,14,-,-,-,-,121,88,33,1669,1066,603,337,259,78,15,14,1
97學年,軍警國防安全學門,521,464,57,-,-,-,-,-,-,-,-,-,67,58,9,454,406,48,-,-,-,-,-,-
97學年,其他學門,793,440,353,-,-,-,-,-,-,-,-,-,-,-,-,681,396,285,103,39,64,9,5,4
""
