學年別,等級別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立4年級小計,國立4年級男,國立4年級女,國立5年級小計,國立5年級男,國立5年級女,國立6年級小計,國立6年級男,國立6年級女,國立7年級小計,國立7年級男,國立7年級女,國立延修生小計,國立延修生男,國立延修生女,直轄市立計小計,直轄市立計男,直轄市立計女,直轄市立1年級小計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級小計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級小計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級小計,直轄市立4年級男,直轄市立4年級女,直轄市立5年級小計,直轄市立5年級男,直轄市立5年級女,直轄市立6年級小計,直轄市立6年級男,直轄市立6年級女,直轄市立7年級小計,直轄市立7年級男,直轄市立7年級女,直轄市立延修生小計,直轄市立延修生男,直轄市立延修生女,私立計小計,私立計男,私立計女,私立1年級小計,私立1年級男,私立1年級女,私立2年級小計,私立2年級男,私立2年級女,私立3年級小計,私立3年級男,私立3年級女,私立4年級小計,私立4年級男,私立4年級女,私立5年級小計,私立5年級男,私立5年級女,私立6年級小計,私立6年級男,私立6年級女,私立7年級小計,私立7年級男,私立7年級女,私立延修生小計,私立延修生男,私立延修生女
98學年,大學四年制(含四技),448572,241071,207501,120935,64582,56353,115395,61514,53881,103867,55352,48515,92991,49162,43829,645,200,445,-,-,-,-,-,-,14739,10261,4478,80691,44864,35827,21869,11978,9891,20377,11184,9193,18754,10338,8416,17127,9517,7610,138,28,110,-,-,-,-,-,-,2426,1819,607,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,367881,196207,171674,99066,52604,46462,95018,50330,44688,85113,45014,40099,75864,39645,36219,507,172,335,-,-,-,-,-,-,12313,8442,3871
98學年,碩士班,34767,23533,11234,15170,10139,5031,13844,9452,4392,3210,2203,1007,955,652,303,51,39,12,9,7,2,-,-,-,1528,1041,487,20610,14207,6403,9109,6223,2886,8290,5748,2542,2120,1445,675,724,489,235,38,32,6,6,5,1,-,-,-,323,265,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14157,9326,4831,6061,3916,2145,5554,3704,1850,1090,758,332,231,163,68,13,7,6,3,2,1,-,-,-,1205,776,429
98學年,博士班,2786,2205,581,698,535,163,560,444,116,499,388,111,399,309,90,272,224,48,175,144,31,171,152,19,12,9,3,2675,2111,564,657,502,155,532,419,113,480,373,107,391,302,89,265,217,48,170,139,31,171,152,19,9,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111,94,17,41,33,8,28,25,3,19,15,4,8,7,1,7,7,-,5,5,-,-,-,-,3,2,1
97學年,總計,652365,325466,326899,168136,87154,80982,152418,78837,73581,148330,71543,76787,140808,66906,73902,19020,5232,13788,192,157,35,153,135,18,23308,15502,7806,124981,69412,55569,33716,19125,14591,31228,17949,13279,27723,14873,12850,25099,13387,11712,3356,1268,2088,182,148,34,152,134,18,3525,2528,997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,527384,256054,271330,134420,68029,66391,121190,60888,60302,120607,56670,63937,115709,53519,62190,15664,3964,11700,10,9,1,1,1,-,19783,12974,6809
97學年,五專(含七年),84567,23056,61511,16860,4296,12564,17836,4760,13076,16643,4451,12192,15875,4138,11737,14055,3846,10209,-,-,-,-,-,-,3298,1565,1733,7635,1500,6135,1564,314,1250,1583,326,1257,1473,291,1182,1409,257,1152,1376,216,1160,-,-,-,-,-,-,230,96,134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76932,21556,55376,15296,3982,11314,16253,4434,11819,15170,4160,11010,14466,3881,10585,12679,3630,9049,-,-,-,-,-,-,3068,1469,1599
97學年,二專,32864,17449,15415,12407,6224,6183,15011,7756,7255,1280,600,680,-,-,-,-,-,-,-,-,-,-,-,-,4166,2869,1297,4297,1718,2579,1585,598,987,1770,688,1082,431,124,307,-,-,-,-,-,-,-,-,-,-,-,-,511,308,203,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28567,15731,12836,10822,5626,5196,13241,7068,6173,849,476,373,-,-,-,-,-,-,-,-,-,-,-,-,3655,2561,1094
97學年,大學二年制(含二技),74425,32443,41982,-,-,-,-,-,-,30685,12777,17908,37186,16815,20371,3553,753,2800,-,-,-,-,-,-,3001,2098,903,14243,7451,6792,-,-,-,-,-,-,5762,2813,2949,6760,3595,3165,1104,576,528,-,-,-,-,-,-,617,467,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60182,24992,35190,-,-,-,-,-,-,24923,9964,14959,30426,13220,17206,2449,177,2272,-,-,-,-,-,-,2384,1631,753
97學年,大學四年制(含四技),425051,227637,197414,123303,65929,57374,106095,56819,49276,95620,50834,44786,86561,45064,41497,1095,377,718,-,-,-,-,-,-,12377,8614,3763,76061,42408,33653,21029,11561,9468,19191,10648,8543,17417,9739,7678,15919,8770,7149,573,232,341,-,-,-,-,-,-,1932,1458,474,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,348990,185229,163761,102274,54368,47906,86904,46171,40733,78203,41095,37108,70642,36294,34348,522,145,377,-,-,-,-,-,-,10445,7156,3289
97學年,碩士班,32777,22726,10051,14916,10196,4720,12906,9043,3863,3628,2519,1109,806,567,239,48,39,9,7,6,1,-,-,-,466,356,110,20149,14255,5894,8918,6170,2748,8133,5842,2291,2180,1556,624,642,454,188,40,33,7,1,1,-,-,-,-,235,199,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12628,8471,4157,5998,4026,1972,4773,3201,1572,1448,963,485,164,113,51,8,6,2,6,5,1,-,-,-,231,157,74
97學年,博士班,2681,2155,526,650,509,141,570,459,111,474,362,112,380,322,58,269,217,52,185,151,34,153,135,18,-,-,-,2596,2080,516,620,482,138,551,445,106,460,350,110,369,311,58,263,211,52,181,147,34,152,134,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,75,10,30,27,3,19,14,5,14,12,2,11,11,-,6,6,-,4,4,-,1,1,-,-,-,-
""
