學年別,等級別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立4年級小計,國立4年級男,國立4年級女,國立5年級小計,國立5年級男,國立5年級女,國立6年級小計,國立6年級男,國立6年級女,國立7年級小計,國立7年級男,國立7年級女,國立延修生小計,國立延修生男,國立延修生女,直轄市立計小計,直轄市立計男,直轄市立計女,直轄市立1年級小計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級小計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級小計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級小計,直轄市立4年級男,直轄市立4年級女,直轄市立5年級小計,直轄市立5年級男,直轄市立5年級女,直轄市立6年級小計,直轄市立6年級男,直轄市立6年級女,直轄市立7年級小計,直轄市立7年級男,直轄市立7年級女,直轄市立延修生小計,直轄市立延修生男,直轄市立延修生女,私立計小計,私立計男,私立計女,私立1年級小計,私立1年級男,私立1年級女,私立2年級小計,私立2年級男,私立2年級女,私立3年級小計,私立3年級男,私立3年級女,私立4年級小計,私立4年級男,私立4年級女,私立5年級小計,私立5年級男,私立5年級女,私立6年級小計,私立6年級男,私立6年級女,私立7年級小計,私立7年級男,私立7年級女,私立延修生小計,私立延修生男,私立延修生女
100學年,總計,668831,329488,339343,172982,88873,84109,157421,80034,77387,149769,71093,78676,144437,68692,75745,19444,4609,14835,276,213,63,194,159,35,24308,15815,8493,129268,70655,58613,35262,20023,15239,32956,18649,14307,28097,14626,13471,25753,13269,12484,3005,1095,1910,268,207,61,190,156,34,3737,2630,1107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,539563,258833,280730,137720,68850,68870,124465,61385,63080,121672,56467,65205,118684,55423,63261,16439,3514,12925,8,6,2,4,3,1,20571,13185,7386
100學年,五專(含七年),87823,21566,66257,18840,4565,14275,18733,4588,14145,17168,4223,12945,15713,3902,11811,15468,3592,11876,-,-,-,-,-,-,1901,696,1205,8359,1838,6521,1856,458,1398,1820,390,1430,1571,346,1225,1503,291,1212,1467,283,1184,-,-,-,-,-,-,142,70,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79464,19728,59736,16984,4107,12877,16913,4198,12715,15597,3877,11720,14210,3611,10599,14001,3309,10692,-,-,-,-,-,-,1759,626,1133
100學年,二專,13229,6376,6853,6280,3101,3179,5396,2468,2928,327,96,231,15,10,5,-,-,-,-,-,-,-,-,-,1211,701,510,2092,839,1253,852,333,519,837,363,474,192,45,147,-,-,-,-,-,-,-,-,-,-,-,-,211,98,113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11137,5537,5600,5428,2768,2660,4559,2105,2454,135,51,84,15,10,5,-,-,-,-,-,-,-,-,-,1000,603,397
100學年,學士後學士學位,299,183,116,184,110,74,107,68,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5,3,180,103,77,121,69,52,57,32,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119,80,39,63,41,22,50,36,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,3
100學年,大學二年制(含二技),41630,13409,28221,-,-,-,-,-,-,18535,5709,12826,18521,6266,12255,3084,555,2529,-,-,-,-,-,-,1490,879,611,8799,3793,5006,-,-,-,-,-,-,3567,1417,2150,3826,1633,2193,962,463,499,-,-,-,-,-,-,444,280,164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32831,9616,23215,-,-,-,-,-,-,14968,4292,10676,14695,4633,10062,2122,92,2030,-,-,-,-,-,-,1046,599,447
100學年,大學四年制(含四技),485371,260691,224680,131133,70076,61057,118148,62818,55330,110195,58670,51525,108539,57362,51177,487,148,339,-,-,-,-,-,-,16869,11617,5252,84783,46750,38033,22166,12193,9973,20866,11395,9471,20035,10937,9098,19063,10387,8676,195,55,140,-,-,-,-,-,-,2458,1783,675,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400588,213941,186647,108967,57883,51084,97282,51423,45859,90160,47733,42427,89476,46975,42501,292,93,199,-,-,-,-,-,-,14411,9834,4577
100學年,碩士班,37303,24757,12546,15834,10460,5374,14398,9600,4798,3020,1975,1045,1209,807,402,68,50,18,18,12,6,1,-,1,2755,1853,902,22043,14967,7076,9605,6451,3154,8775,6011,2764,2240,1486,754,941,633,308,56,41,15,12,8,4,-,-,-,414,337,77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15260,9790,5470,6229,4009,2220,5623,3589,2034,780,489,291,268,174,94,12,9,3,6,4,2,1,-,1,2341,1516,825
100學年,博士班,3176,2506,670,711,561,150,639,492,147,524,420,104,440,345,95,337,264,73,258,201,57,193,159,34,74,64,10,3012,2365,647,662,519,143,601,458,143,492,395,97,420,325,95,325,253,72,256,199,57,190,156,34,66,60,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164,141,23,49,42,7,38,34,4,32,25,7,20,20,-,12,11,1,2,2,-,3,3,-,8,4,4
99學年,總計,655492,323620,331872,167451,85722,81729,152539,77893,74646,152507,73202,79305,139394,66114,73280,19049,4559,14490,209,172,37,172,151,21,24171,15807,8364,127192,69755,57437,34531,19626,14905,32450,18390,14060,27911,14544,13367,25263,13125,12138,2778,990,1788,201,166,35,168,147,21,3890,2767,1123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,528300,253865,274435,132920,66096,66824,120089,59503,60586,124596,58658,65938,114131,52989,61142,16271,3569,12702,8,6,2,4,4,-,20281,13040,7241
99學年,五專(含七年),86728,21892,64836,18896,4621,14275,17663,4455,13208,16625,4281,12344,16496,4102,12394,14864,3568,11296,-,-,-,-,-,-,2184,865,1319,8024,1683,6341,1837,406,1431,1575,348,1227,1531,296,1235,1514,296,1218,1405,271,1134,-,-,-,-,-,-,162,66,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78704,20209,58495,17059,4215,12844,16088,4107,11981,15094,3985,11109,14982,3806,11176,13459,3297,10162,-,-,-,-,-,-,2022,799,1223
