學年別,縣市別,總計計,總計1年級,總計2年級,總計3年級,國立計,國立1年級,國立2年級,國立3年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,私立計,私立1年級,私立2年級,私立3年級
100學年,彰化縣,127,41,43,43,97,31,33,33,-,-,-,-,-,-,-,-,30,10,10,10
100學年,南投縣,72,21,21,30,72,21,21,30,-,-,-,-,-,-,-,-,-,-,-,-
100學年,雲林縣,51,18,17,16,26,9,8,9,-,-,-,-,-,-,-,-,25,9,9,7
100學年,嘉義縣,17,5,6,6,-,-,-,-,-,-,-,-,-,-,-,-,17,5,6,6
100學年,屏東縣,68,21,23,24,62,21,20,21,-,-,-,-,-,-,-,-,6,-,3,3
100學年,臺東縣,127,42,42,43,113,37,37,39,-,-,-,-,3,1,1,1,11,4,4,3
100學年,花蓮縣,89,30,30,29,27,9,9,9,-,-,-,-,2,1,1,-,60,20,20,20
100學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,基隆市,12,4,4,4,12,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-
100學年,新竹市,110,30,38,42,24,8,8,8,-,-,-,-,12,-,6,6,74,22,24,28
100學年,嘉義市,57,17,20,20,42,12,15,15,-,-,-,-,-,-,-,-,15,5,5,5
100學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,12,4,4,4,12,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,2195,682,719,794,997,316,332,349,208,69,70,69,115,36,37,42,875,261,280,334
99學年,臺北市,192,59,62,71,-,-,-,-,114,38,38,38,-,-,-,-,78,21,24,33
99學年,高雄市,168,52,56,60,18,6,6,6,94,31,32,31,-,-,-,-,56,15,18,23
99學年,臺北縣,152,48,51,53,59,19,20,20,-,-,-,-,39,13,13,13,54,16,18,20
99學年,宜蘭縣,45,15,15,15,39,13,13,13,-,-,-,-,6,2,2,2,-,-,-,-
99學年,桃園縣,195,57,66,72,64,21,21,22,-,-,-,-,-,-,-,-,131,36,45,50
99學年,新竹縣,110,36,35,39,54,18,18,18,-,-,-,-,5,-,-,5,51,18,17,16
99學年,苗栗縣,121,38,40,43,55,17,17,21,-,-,-,-,25,8,9,8,41,13,14,14
99學年,臺中縣,143,42,40,61,39,13,13,13,-,-,-,-,18,6,6,6,86,23,21,42
99學年,彰化縣,123,41,41,41,93,31,31,31,-,-,-,-,-,-,-,-,30,10,10,10
99學年,南投縣,89,21,30,38,89,21,30,38,-,-,-,-,-,-,-,-,-,-,-,-
99學年,雲林縣,54,16,16,22,26,8,9,9,-,-,-,-,-,-,-,-,28,8,7,13
99學年,嘉義縣,18,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,18,6,6,6
99學年,臺南縣,176,58,59,59,160,52,54,54,-,-,-,-,-,-,-,-,16,6,5,5
99學年,高雄縣,58,17,19,22,-,-,-,-,-,-,-,-,-,-,-,-,58,17,19,22
99學年,屏東縣,70,23,24,23,62,20,21,21,-,-,-,-,-,-,-,-,8,3,3,2
99學年,臺東縣,129,42,43,44,115,37,39,39,-,-,-,-,3,1,1,1,11,4,3,4
99學年,花蓮縣,84,28,28,28,27,9,9,9,-,-,-,-,-,-,-,-,57,19,19,19
99學年,澎湖縣,4,-,-,4,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,13,4,4,5,12,4,4,4,-,-,-,-,-,-,-,-,1,-,-,1
99學年,新竹市,126,38,43,45,24,8,8,8,-,-,-,-,19,6,6,7,83,24,29,30
99學年,臺中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,嘉義市,60,20,20,20,45,15,15,15,-,-,-,-,-,-,-,-,15,5,5,5
99學年,臺南市,53,17,17,19,-,-,-,-,-,-,-,-,-,-,-,-,53,17,17,19
99學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,12,4,4,4,12,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,2369,722,792,855,1028,332,349,347,208,69,69,70,120,37,42,41,1013,284,332,397
98學年,臺北市,209,65,71,73,-,-,-,-,115,38,38,39,-,-,-,-,94,27,33,34
98學年,高雄市,169,56,60,53,12,6,6,-,93,31,31,31,-,-,-,-,64,19,23,22
98學年,臺北縣,160,50,53,57,60,20,20,20,-,-,-,-,39,13,13,13,61,17,20,24
98學年,宜蘭縣,45,15,15,15,39,13,13,13,-,-,-,-,6,2,2,2,-,-,-,-
98學年,桃園縣,217,65,72,80,65,21,22,22,-,-,-,-,-,-,-,-,152,44,50,58
98學年,新竹縣,114,36,39,39,54,18,18,18,-,-,-,-,10,-,5,5,50,18,16,16
98學年,苗栗縣,126,40,42,44,59,17,21,21,-,-,-,-,25,9,8,8,42,14,13,15
98學年,臺中縣,170,40,61,69,39,13,13,13,-,-,-,-,18,6,6,6,113,21,42,50
98學年,彰化縣,130,41,41,48,93,31,31,31,-,-,-,-,-,-,-,-,37,10,10,17
98學年,南投縣,106,30,38,38,106,30,38,38,-,-,-,-,-,-,-,-,-,-,-,-
98學年,雲林縣,59,16,22,21,26,9,9,8,-,-,-,-,-,-,-,-,33,7,13,13
98學年,嘉義縣,18,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,18,6,6,6
98學年,臺南縣,179,59,58,62,162,54,54,54,-,-,-,-,-,-,-,-,17,5,4,8
98學年,高雄縣,65,20,22,23,-,-,-,-,-,-,-,-,-,-,-,-,65,20,22,23
98學年,屏東縣,72,24,23,25,63,21,21,21,-,-,-,-,-,-,-,-,9,3,2,4
98學年,臺東縣,130,43,44,43,117,39,39,39,-,-,-,-,3,1,1,1,10,3,4,3
98學年,花蓮縣,84,28,28,28,27,9,9,9,-,-,-,-,-,-,-,-,57,19,19,19
98學年,澎湖縣,8,-,4,4,8,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-
98學年,基隆市,19,4,5,10,17,4,4,9,-,-,-,-,-,-,-,-,2,-,1,1
98學年,新竹市,132,43,45,44,24,8,8,8,-,-,-,-,19,6,7,6,89,29,30,30
98學年,臺中市,25,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,25
98學年,嘉義市,61,20,20,21,45,15,15,15,-,-,-,-,-,-,-,-,16,5,5,6
98學年,臺南市,59,17,19,23,-,-,-,-,-,-,-,-,-,-,-,-,59,17,19,23
98學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,12,4,4,4,12,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,2551,797,857,897,1041,349,347,345,210,69,71,70,124,42,41,41,1176,337,398,441
97學年,臺北市,238,71,74,93,-,-,-,-,117,38,40,39,-,-,-,-,121,33,34,54
97學年,高雄市,178,60,53,65,6,6,-,-,93,31,31,31,-,-,-,-,79,23,22,34
97學年,臺北縣,172,54,59,59,60,20,20,20,-,-,-,-,39,13,13,13,73,21,26,26
97學年,宜蘭縣,45,15,15,15,39,13,13,13,-,-,-,-,6,2,2,2,-,-,-,-
97學年,桃園縣,237,72,80,85,65,22,22,21,-,-,-,-,-,-,-,-,172,50,58,64
97學年,新竹縣,118,40,39,39,54,18,18,18,-,-,-,-,15,5,5,5,49,17,16,16
97學年,苗栗縣,129,43,43,43,63,21,21,21,-,-,-,-,24,8,8,8,42,14,14,14
97學年,臺中縣,202,61,69,72,39,13,13,13,-,-,-,-,18,6,6,6,145,42,50,53
97學年,彰化縣,140,41,48,51,93,31,31,31,-,-,-,-,-,-,-,-,47,10,17,20
97學年,南投縣,110,38,38,34,110,38,38,34,-,-,-,-,-,-,-,-,-,-,-,-
97學年,雲林縣,64,22,21,21,26,9,8,9,-,-,-,-,-,-,-,-,38,13,13,12
97學年,嘉義縣,18,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,18,6,6,6
97學年,臺南縣,184,58,62,64,164,54,54,56,-,-,-,-,-,-,-,-,20,4,8,8
97學年,高雄縣,67,23,23,21,-,-,-,-,-,-,-,-,-,-,-,-,67,23,23,21
97學年,屏東縣,77,23,25,29,63,21,21,21,-,-,-,-,-,-,-,-,14,2,4,8
97學年,臺東縣,129,44,43,42,117,39,39,39,-,-,-,-,3,1,1,1,9,4,3,2
97學年,花蓮縣,85,29,28,28,27,9,9,9,-,-,-,-,-,-,-,-,58,20,19,19
97學年,澎湖縣,12,4,4,4,12,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,25,5,10,10,22,4,9,9,-,-,-,-,-,-,-,-,3,1,1,1
97學年,新竹市,131,45,44,42,24,8,8,8,-,-,-,-,19,7,6,6,88,30,30,28
97學年,臺中市,50,-,25,25,-,-,-,-,-,-,-,-,-,-,-,-,50,-,25,25
97學年,嘉義市,63,20,21,22,45,15,15,15,-,-,-,-,-,-,-,-,18,5,6,7
97學年,臺南市,65,19,23,23,-,-,-,-,-,-,-,-,-,-,-,-,65,19,23,23
97學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,12,4,4,4,12,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-
""
