學年別,縣市別,總計計,總計男,總計女,普通科計,普通科男,普通科女,專業群(職業)科計,專業群(職業)科男,專業群(職業)科女
102學年,彰化縣,4875,2970,1905,286,181,105,4589,2789,1800
102學年,南投縣,1333,802,531,57,41,16,1276,761,515
102學年,雲林縣,814,511,303,55,28,27,759,483,276
102學年,嘉義縣,359,220,139,-,-,-,359,220,139
102學年,屏東縣,1674,1040,634,-,-,-,1674,1040,634
102學年,臺東縣,416,214,202,-,-,-,416,214,202
102學年,花蓮縣,810,486,324,86,86,-,724,400,324
102學年,澎湖縣,-,-,-,-,-,-,-,-,-
102學年,基隆市,959,527,432,-,-,-,959,527,432
102學年,新竹市,2310,1381,929,48,30,18,2262,1351,911
102學年,嘉義市,764,525,239,152,128,24,612,397,215
102學年,金門縣,63,23,40,-,-,-,63,23,40
102學年,連江縣,-,-,-,-,-,-,-,-,-
101學年,總計,74698,43644,31054,3498,1803,1695,71200,41841,29359
101學年,新北市,10124,5692,4432,1030,267,763,9094,5425,3669
101學年,臺北市,9317,4871,4446,663,421,242,8654,4450,4204
101學年,臺中市,12442,7466,4976,109,64,45,12333,7402,4931
101學年,臺南市,3844,2302,1542,344,235,109,3500,2067,1433
101學年,高雄市,6127,3490,2637,271,81,190,5856,3409,2447
101學年,宜蘭縣,1604,976,628,-,-,-,1604,976,628
101學年,桃園縣,11552,7046,4506,230,155,75,11322,6891,4431
101學年,新竹縣,1927,1187,740,110,50,60,1817,1137,680
101學年,苗栗縣,1682,911,771,-,-,-,1682,911,771
101學年,彰化縣,5338,3224,2114,263,173,90,5075,3051,2024
101學年,南投縣,1456,859,597,64,44,20,1392,815,577
101學年,雲林縣,892,588,304,54,25,29,838,563,275
101學年,嘉義縣,347,239,108,-,-,-,347,239,108
101學年,屏東縣,1907,1202,705,-,-,-,1907,1202,705
101學年,臺東縣,455,221,234,-,-,-,455,221,234
101學年,花蓮縣,985,559,426,89,89,-,896,470,426
101學年,澎湖縣,-,-,-,-,-,-,-,-,-
101學年,基隆市,1215,653,562,-,-,-,1215,653,562
101學年,新竹市,2600,1560,1040,85,49,36,2515,1511,1004
101學年,嘉義市,828,572,256,186,150,36,642,422,220
101學年,金門縣,56,26,30,-,-,-,56,26,30
101學年,連江縣,-,-,-,-,-,-,-,-,-
100學年,總計,82763,48165,34598,3916,2079,1837,78847,46086,32761
100學年,新北市,11605,6580,5025,1080,311,769,10525,6269,4256
100學年,臺北市,9749,5068,4681,669,443,226,9080,4625,4455
100學年,臺中市,13880,8280,5600,105,67,38,13775,8213,5562
100學年,臺南市,4264,2539,1725,342,221,121,3922,2318,1604
100學年,高雄市,6569,3837,2732,329,110,219,6240,3727,2513
100學年,宜蘭縣,1884,1168,716,-,-,-,1884,1168,716
100學年,桃園縣,13041,7844,5197,447,292,155,12594,7552,5042
100學年,新竹縣,2082,1302,780,113,46,67,1969,1256,713
100學年,苗栗縣,1750,944,806,-,-,-,1750,944,806
100學年,彰化縣,5838,3475,2363,308,217,91,5530,3258,2272
100學年,南投縣,1618,927,691,77,47,30,1541,880,661
100學年,雲林縣,1011,650,361,61,29,32,950,621,329
100學年,嘉義縣,353,247,106,-,-,-,353,247,106
100學年,屏東縣,2120,1351,769,-,-,-,2120,1351,769
100學年,臺東縣,475,222,253,-,-,-,475,222,253
100學年,花蓮縣,1320,730,590,88,88,-,1232,642,590
100學年,澎湖縣,-,-,-,-,-,-,-,-,-
100學年,基隆市,1559,827,732,-,-,-,1559,827,732
100學年,新竹市,2792,1598,1194,119,59,60,2673,1539,1134
100學年,嘉義市,819,564,255,178,149,29,641,415,226
100學年,金門縣,34,12,22,-,-,-,34,12,22
100學年,連江縣,-,-,-,-,-,-,-,-,-
99學年,總計,87494,50175,37319,4235,2206,2029,83259,47969,35290
99學年,臺北市,10567,5521,5046,742,494,248,9825,5027,4798
99學年,高雄市,4674,2659,2015,335,105,230,4339,2554,1785
99學年,臺北縣,12449,6979,5470,1112,325,787,11337,6654,4683
99學年,宜蘭縣,2025,1227,798,-,-,-,2025,1227,798
99學年,桃園縣,13377,7965,5412,565,357,208,12812,7608,5204
99學年,新竹縣,2260,1437,823,207,90,117,2053,1347,706
99學年,苗栗縣,1747,920,827,-,-,-,1747,920,827
99學年,臺中縣,7519,5021,2498,-,-,-,7519,5021,2498
99學年,彰化縣,6362,3643,2719,250,155,95,6112,3488,2624
99學年,南投縣,1824,1011,813,92,52,40,1732,959,773
99學年,雲林縣,1061,688,373,62,34,28,999,654,345
99學年,嘉義縣,340,245,95,-,-,-,340,245,95
99學年,臺南縣,1856,1102,754,114,108,6,1742,994,748
99學年,高雄縣,1857,1078,779,-,-,-,1857,1078,779
99學年,屏東縣,2132,1331,801,-,-,-,2132,1331,801
99學年,臺東縣,476,245,231,-,-,-,476,245,231
99學年,花蓮縣,1485,824,661,81,81,-,1404,743,661
99學年,澎湖縣,-,-,-,-,-,-,-,-,-
99學年,基隆市,1837,946,891,-,-,-,1837,946,891
99學年,新竹市,2898,1640,1258,142,78,64,2756,1562,1194
99學年,臺中市,7257,3618,3639,75,46,29,7182,3572,3610
99學年,嘉義市,869,576,293,194,150,44,675,426,249
99學年,臺南市,2622,1499,1123,264,131,133,2358,1368,990
99學年,金門縣,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-
98學年,總計,92752,52631,40121,4390,2173,2217,88362,50458,37904
98學年,臺北市,10940,5727,5213,788,509,279,10152,5218,4934
98學年,高雄市,5038,2812,2226,328,84,244,4710,2728,1982
98學年,臺北縣,13236,7462,5774,1109,321,788,12127,7141,4986
98學年,宜蘭縣,2156,1254,902,-,-,-,2156,1254,902
98學年,桃園縣,14174,8270,5904,574,336,238,13600,7934,5666
98學年,新竹縣,2558,1589,969,217,102,115,2341,1487,854
98學年,苗栗縣,1927,997,930,-,-,-,1927,997,930
98學年,臺中縣,7532,4990,2542,-,-,-,7532,4990,2542
98學年,彰化縣,7019,3951,3068,213,112,101,6806,3839,2967
98學年,南投縣,2069,1117,952,114,69,45,1955,1048,907
98學年,雲林縣,1110,707,403,69,33,36,1041,674,367
98學年,嘉義縣,277,196,81,-,-,-,277,196,81
98學年,臺南縣,2042,1243,799,115,105,10,1927,1138,789
98學年,高雄縣,2139,1286,853,-,-,-,2139,1286,853
98學年,屏東縣,2037,1311,726,-,-,-,2037,1311,726
98學年,臺東縣,493,263,230,-,-,-,493,263,230
98學年,花蓮縣,1495,843,652,73,73,-,1422,770,652
98學年,澎湖縣,-,-,-,-,-,-,-,-,-
98學年,基隆市,1881,925,956,-,-,-,1881,925,956
98學年,新竹市,3008,1722,1286,160,85,75,2848,1637,1211
98學年,臺中市,7956,3873,4083,102,53,49,7854,3820,4034
98學年,嘉義市,961,617,344,216,150,66,745,467,278
98學年,臺南市,2704,1476,1228,312,141,171,2392,1335,1057
98學年,金門縣,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-
97學年,總計,98376,55333,43043,4437,2158,2279,93939,53175,40764
97學年,臺北市,11641,6122,5519,832,541,291,10809,5581,5228
97學年,高雄市,5494,3076,2418,329,73,256,5165,3003,2162
97學年,臺北縣,14360,7934,6426,1131,313,818,13229,7621,5608
97學年,宜蘭縣,2369,1315,1054,-,-,-,2369,1315,1054
97學年,桃園縣,14906,8700,6206,471,254,217,14435,8446,5989
97學年,新竹縣,2869,1726,1143,241,106,135,2628,1620,1008
97學年,苗栗縣,2227,1148,1079,-,-,-,2227,1148,1079
97學年,臺中縣,7531,4891,2640,-,-,-,7531,4891,2640
97學年,彰化縣,7393,4084,3309,234,124,110,7159,3960,3199
97學年,南投縣,2076,1079,997,110,65,45,1966,1014,952
97學年,雲林縣,1151,727,424,64,33,31,1087,694,393
97學年,嘉義縣,237,155,82,-,-,-,237,155,82
97學年,臺南縣,2337,1355,982,154,126,28,2183,1229,954
97學年,高雄縣,2453,1476,977,-,-,-,2453,1476,977
97學年,屏東縣,2060,1300,760,-,-,-,2060,1300,760
97學年,臺東縣,553,297,256,-,-,-,553,297,256
97學年,花蓮縣,1423,811,612,75,75,-,1348,736,612
97學年,澎湖縣,-,-,-,-,-,-,-,-,-
97學年,基隆市,1834,896,938,-,-,-,1834,896,938
97學年,新竹市,3307,1898,1409,137,73,64,3170,1825,1345
97學年,臺中市,8164,4065,4099,102,50,52,8062,4015,4047
97學年,嘉義市,1034,633,401,211,151,60,823,482,341
97學年,臺南市,2957,1645,1312,346,174,172,2611,1471,1140
97學年,金門縣,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-
""
