學年別,年齡別,總計計,總計男,總計女,7年級計,7年級男,7年級女,8年級計,8年級男,8年級女,9年級計,9年級男,9年級女
98學年,總計,948534,493111,455423,313942,163604,150338,318052,165342,152710,316540,164165,152375
98學年,未滿12歲,1719,877,842,1634,835,799,84,41,43,1,1,-
98學年,12至未滿13歲,314333,163550,150783,309850,161400,148450,4455,2134,2321,28,16,12
98學年,13至未滿14歲,317751,165131,152620,2224,1243,981,310798,161669,149129,4729,2219,2510
98學年,14至未滿15歲,311267,161619,149648,189,105,84,2439,1346,1093,308639,160168,148471
98學年,15至未滿16歲,3067,1708,1359,31,15,16,220,122,98,2816,1571,1245
98學年,16至未滿17歲,300,169,131,7,4,3,36,16,20,257,149,108
98學年,17至未滿18歲,56,40,16,2,1,1,9,7,2,45,32,13
98學年,18至未滿19歲,22,8,14,1,-,1,4,2,2,17,6,11
98學年,19歲以上,19,9,10,4,1,3,7,5,2,8,3,5
97學年,總計,951976,494875,457101,318239,165430,152809,316818,164359,152459,316919,165086,151833
97學年,未滿12歲,4390,2105,2285,4370,2094,2276,20,11,9,-,-,-
97學年,12至未滿13歲,316395,164269,152126,311057,161760,149297,5313,2496,2817,25,13,12
97學年,13至未滿14歲,314884,163335,151549,2531,1422,1109,306766,159201,147565,5587,2712,2875
97學年,14至未滿15歲,306486,159766,146720,210,120,90,4363,2451,1912,301913,157195,144718
97學年,15至未滿16歲,9042,4966,4076,44,21,23,284,160,124,8714,4785,3929
97學年,16至未滿17歲,643,360,283,12,7,5,47,28,19,584,325,259
97學年,17至未滿18歲,96,52,44,7,5,2,15,8,7,74,39,35
97學年,18至未滿19歲,17,12,5,2,1,1,4,2,2,11,9,2
97學年,19歲以上,23,10,13,6,-,6,6,2,4,11,8,3
""
