學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
102學年,專科學校,6,5,1,-,-,-,-,-,-,6,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,獨立學院,28,22,6,4,4,-,-,-,-,24,18,6,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,9,7,2,2,2,-,-,-,-,7,5,2,17,13,4,2,2,-,-,-,-,15,11,4,-,-,-,-,-,-,-,-,-,-,-,-
102學年,大學,1071,853,218,422,343,79,9,8,1,640,502,138,138,117,21,88,78,10,-,-,-,50,39,11,205,176,29,96,81,15,-,-,-,109,95,14,339,254,85,121,97,24,-,-,-,218,157,61,202,151,51,35,22,13,2,2,-,165,127,38,187,155,32,82,65,17,7,6,1,98,84,14
101學年,總計,1102,871,231,434,352,82,1,1,-,667,518,149,137,119,18,88,80,8,-,-,-,49,39,10,198,165,33,89,72,17,-,-,-,109,93,16,357,269,88,130,104,26,-,-,-,227,165,62,241,179,62,42,28,14,1,1,-,198,150,48,169,139,30,85,68,17,-,-,-,84,71,13
101學年,專科學校,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,4,3,1,-,-,-,-,-,-,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-
101學年,獨立學院,55,41,14,4,4,-,-,-,-,51,37,14,1,-,1,-,-,-,-,-,-,1,-,1,6,5,1,-,-,-,-,-,-,6,5,1,23,19,4,2,2,-,-,-,-,21,17,4,25,17,8,2,2,-,-,-,-,23,15,8,-,-,-,-,-,-,-,-,-,-,-,-
101學年,大學,1042,826,216,430,348,82,1,1,-,611,477,134,136,119,17,88,80,8,-,-,-,48,39,9,192,160,32,89,72,17,-,-,-,103,88,15,333,249,84,128,102,26,-,-,-,205,147,58,212,159,53,40,26,14,1,1,-,171,132,39,169,139,30,85,68,17,-,-,-,84,71,13
100學年,總計,1077,851,226,414,332,82,2,2,-,661,517,144,158,138,20,99,88,11,-,-,-,59,50,9,180,149,31,73,56,17,-,-,-,107,93,14,404,314,90,159,133,26,-,-,-,245,181,64,288,211,77,66,40,26,2,2,-,220,169,51,47,39,8,17,15,2,-,-,-,30,24,6
100學年,專科學校,6,4,2,-,-,-,-,-,-,6,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,2,1,1,4,3,1,-,-,-,-,-,-,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-
100學年,獨立學院,76,58,18,10,8,2,-,-,-,66,50,16,-,-,-,-,-,-,-,-,-,-,-,-,5,4,1,-,-,-,-,-,-,5,4,1,32,26,6,7,5,2,-,-,-,25,21,4,31,23,8,3,3,-,-,-,-,28,20,8,8,5,3,-,-,-,-,-,-,8,5,3
